result/io_traces.ns732.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    16374, 2200000 req, miss ratio 0.2221, byte miss ratio 0.2221
result/io_traces.ns732.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    32749, 2200000 req, miss ratio 0.0882, byte miss ratio 0.0882
result/io_traces.ns732.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    65498, 2200000 req, miss ratio 0.0408, byte miss ratio 0.0408
result/io_traces.ns732.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       81, 2200000 req, miss ratio 0.4232, byte miss ratio 0.4232
result/io_traces.ns732.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      245, 2200000 req, miss ratio 0.3843, byte miss ratio 0.3843
result/io_traces.ns732.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      818, 2200000 req, miss ratio 0.3739, byte miss ratio 0.3739
result/io_traces.ns732.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2456, 2200000 req, miss ratio 0.3458, byte miss ratio 0.3458
result/io_traces.ns732.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     8187, 2200000 req, miss ratio 0.2926, byte miss ratio 0.2926
result/io_traces.ns732.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    16374, 2200000 req, miss ratio 0.2289, byte miss ratio 0.2289
result/io_traces.ns732.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    32749, 2200000 req, miss ratio 0.0999, byte miss ratio 0.0999
result/io_traces.ns732.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    65498, 2200000 req, miss ratio 0.0439, byte miss ratio 0.0439
