result/io_traces.ns269.oracleGeneral.zst TwoQ cache size     7813, 10400000 req, miss ratio 0.4090, byte miss ratio 0.4090
result/io_traces.ns269.oracleGeneral.zst TwoQ cache size    26045, 10400000 req, miss ratio 0.3672, byte miss ratio 0.3672
result/io_traces.ns269.oracleGeneral.zst TwoQ cache size    78136, 10400000 req, miss ratio 0.3085, byte miss ratio 0.3085
result/io_traces.ns269.oracleGeneral.zst TwoQ cache size   260456, 10400000 req, miss ratio 0.2976, byte miss ratio 0.2976
result/io_traces.ns269.oracleGeneral.zst TwoQ cache size   520913, 10400000 req, miss ratio 0.2909, byte miss ratio 0.2909
result/io_traces.ns269.oracleGeneral.zst TwoQ cache size  1041826, 10400000 req, miss ratio 0.2787, byte miss ratio 0.2787
result/io_traces.ns269.oracleGeneral.zst TwoQ cache size  2083652, 10400000 req, miss ratio 0.2562, byte miss ratio 0.2562
result/io_traces.ns269.oracleGeneral.zst S3FIFO-d cache size     2604, 10400000 req, miss ratio 0.6278, byte miss ratio 0.6278
result/io_traces.ns269.oracleGeneral.zst S3FIFO-d cache size     7813, 10400000 req, miss ratio 0.3764, byte miss ratio 0.3764
result/io_traces.ns269.oracleGeneral.zst S3FIFO-d cache size    26045, 10400000 req, miss ratio 0.3662, byte miss ratio 0.3662
result/io_traces.ns269.oracleGeneral.zst S3FIFO-d cache size    78136, 10400000 req, miss ratio 0.3017, byte miss ratio 0.3017
result/io_traces.ns269.oracleGeneral.zst S3FIFO-d cache size   260456, 10400000 req, miss ratio 0.2926, byte miss ratio 0.2926
result/io_traces.ns269.oracleGeneral.zst S3FIFO-d cache size   520913, 10400000 req, miss ratio 0.2850, byte miss ratio 0.2850
result/io_traces.ns269.oracleGeneral.zst S3FIFO-d cache size  1041826, 10400000 req, miss ratio 0.2738, byte miss ratio 0.2738
result/io_traces.ns269.oracleGeneral.zst S3FIFO-d cache size  2083652, 10400000 req, miss ratio 0.2522, byte miss ratio 0.2522
result/io_traces.ns269.oracleGeneral.zst S3FIFO cache size     2604, 10400000 req, miss ratio 0.6281, byte miss ratio 0.6281
result/io_traces.ns269.oracleGeneral.zst S3FIFO cache size     7813, 10400000 req, miss ratio 0.3767, byte miss ratio 0.3767
result/io_traces.ns269.oracleGeneral.zst S3FIFO cache size    26045, 10400000 req, miss ratio 0.3662, byte miss ratio 0.3662
result/io_traces.ns269.oracleGeneral.zst S3FIFO cache size    78136, 10400000 req, miss ratio 0.3017, byte miss ratio 0.3017
result/io_traces.ns269.oracleGeneral.zst S3FIFO cache size   260456, 10400000 req, miss ratio 0.2926, byte miss ratio 0.2926
result/io_traces.ns269.oracleGeneral.zst S3FIFO cache size   520913, 10400000 req, miss ratio 0.2850, byte miss ratio 0.2850
result/io_traces.ns269.oracleGeneral.zst S3FIFO cache size  1041826, 10400000 req, miss ratio 0.2738, byte miss ratio 0.2738
result/io_traces.ns269.oracleGeneral.zst S3FIFO cache size  2083652, 10400000 req, miss ratio 0.2522, byte miss ratio 0.2522
result/io_traces.ns269.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2604, 10400000 req, miss ratio 0.5637, byte miss ratio 0.5637
result/io_traces.ns269.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7813, 10400000 req, miss ratio 0.3827, byte miss ratio 0.3827
result/io_traces.ns269.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    26045, 10400000 req, miss ratio 0.3463, byte miss ratio 0.3463
result/io_traces.ns269.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    78136, 10400000 req, miss ratio 0.3092, byte miss ratio 0.3092
result/io_traces.ns269.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   260456, 10400000 req, miss ratio 0.2907, byte miss ratio 0.2907
result/io_traces.ns269.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   520913, 10400000 req, miss ratio 0.2775, byte miss ratio 0.2775
result/io_traces.ns269.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1041826, 10400000 req, miss ratio 0.2604, byte miss ratio 0.2604
result/io_traces.ns269.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  2083652, 10400000 req, miss ratio 0.2518, byte miss ratio 0.2518
result/io_traces.ns269.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2604, 10400000 req, miss ratio 0.5584, byte miss ratio 0.5584
result/io_traces.ns269.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7813, 10400000 req, miss ratio 0.3973, byte miss ratio 0.3973
result/io_traces.ns269.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    26045, 10400000 req, miss ratio 0.3454, byte miss ratio 0.3454
result/io_traces.ns269.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    78136, 10400000 req, miss ratio 0.3080, byte miss ratio 0.3080
result/io_traces.ns269.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   260456, 10400000 req, miss ratio 0.2925, byte miss ratio 0.2925
result/io_traces.ns269.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   520913, 10400000 req, miss ratio 0.2797, byte miss ratio 0.2797
result/io_traces.ns269.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1041826, 10400000 req, miss ratio 0.2635, byte miss ratio 0.2635
result/io_traces.ns269.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  2083652, 10400000 req, miss ratio 0.2513, byte miss ratio 0.2513
