result/io_traces.ns360.oracleGeneral.zst B-LRU cache size   177592, 9600000 req, miss ratio 0.0859, byte miss ratio 0.0859
result/io_traces.ns360.oracleGeneral.zst B-LRU cache size   355185, 9600000 req, miss ratio 0.0854, byte miss ratio 0.0854
result/io_traces.ns360.oracleGeneral.zst S4LRU(25:25:25:25) cache size      443, 9600000 req, miss ratio 0.7770, byte miss ratio 0.7770
result/io_traces.ns360.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1331, 9600000 req, miss ratio 0.7375, byte miss ratio 0.7375
result/io_traces.ns360.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4439, 9600000 req, miss ratio 0.6984, byte miss ratio 0.6984
result/io_traces.ns360.oracleGeneral.zst S4LRU(25:25:25:25) cache size    13319, 9600000 req, miss ratio 0.6689, byte miss ratio 0.6689
result/io_traces.ns360.oracleGeneral.zst S4LRU(25:25:25:25) cache size    44398, 9600000 req, miss ratio 0.1886, byte miss ratio 0.1886
result/io_traces.ns360.oracleGeneral.zst S4LRU(25:25:25:25) cache size    88796, 9600000 req, miss ratio 0.0870, byte miss ratio 0.0870
result/io_traces.ns360.oracleGeneral.zst S4LRU(25:25:25:25) cache size   177592, 9600000 req, miss ratio 0.0496, byte miss ratio 0.0496
result/io_traces.ns360.oracleGeneral.zst S4LRU(25:25:25:25) cache size   355185, 9600000 req, miss ratio 0.0466, byte miss ratio 0.0466
result/io_traces.ns360.oracleGeneral.zst S3FIFO cache size      443, 9600000 req, miss ratio 0.7478, byte miss ratio 0.7478
result/io_traces.ns360.oracleGeneral.zst S3FIFO cache size     1331, 9600000 req, miss ratio 0.7059, byte miss ratio 0.7059
result/io_traces.ns360.oracleGeneral.zst S3FIFO cache size     4439, 9600000 req, miss ratio 0.6943, byte miss ratio 0.6943
result/io_traces.ns360.oracleGeneral.zst S3FIFO cache size    13319, 9600000 req, miss ratio 0.4547, byte miss ratio 0.4547
result/io_traces.ns360.oracleGeneral.zst S3FIFO cache size    44398, 9600000 req, miss ratio 0.1974, byte miss ratio 0.1974
result/io_traces.ns360.oracleGeneral.zst S3FIFO cache size    88796, 9600000 req, miss ratio 0.0941, byte miss ratio 0.0941
result/io_traces.ns360.oracleGeneral.zst S3FIFO cache size   177592, 9600000 req, miss ratio 0.0524, byte miss ratio 0.0524
result/io_traces.ns360.oracleGeneral.zst S3FIFO cache size   355185, 9600000 req, miss ratio 0.0467, byte miss ratio 0.0467
result/io_traces.ns360.oracleGeneral.zst S3FIFO-d cache size      443, 9600000 req, miss ratio 0.7483, byte miss ratio 0.7483
result/io_traces.ns360.oracleGeneral.zst S3FIFO-d cache size     1331, 9600000 req, miss ratio 0.7059, byte miss ratio 0.7059
result/io_traces.ns360.oracleGeneral.zst S3FIFO-d cache size     4439, 9600000 req, miss ratio 0.6938, byte miss ratio 0.6938
result/io_traces.ns360.oracleGeneral.zst S3FIFO-d cache size    13319, 9600000 req, miss ratio 0.4539, byte miss ratio 0.4539
result/io_traces.ns360.oracleGeneral.zst S3FIFO-d cache size    44398, 9600000 req, miss ratio 0.1704, byte miss ratio 0.1704
result/io_traces.ns360.oracleGeneral.zst S3FIFO-d cache size    88796, 9600000 req, miss ratio 0.0881, byte miss ratio 0.0881
result/io_traces.ns360.oracleGeneral.zst S3FIFO-d cache size   177592, 9600000 req, miss ratio 0.0513, byte miss ratio 0.0513
result/io_traces.ns360.oracleGeneral.zst S3FIFO-d cache size   355185, 9600000 req, miss ratio 0.0467, byte miss ratio 0.0467
result/io_traces.ns360.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      443, 9600000 req, miss ratio 0.7318, byte miss ratio 0.7318
result/io_traces.ns360.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1331, 9600000 req, miss ratio 0.7112, byte miss ratio 0.7112
result/io_traces.ns360.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4439, 9600000 req, miss ratio 0.6951, byte miss ratio 0.6951
result/io_traces.ns360.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    13319, 9600000 req, miss ratio 0.4895, byte miss ratio 0.4895
result/io_traces.ns360.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    44398, 9600000 req, miss ratio 0.5721, byte miss ratio 0.5721
result/io_traces.ns360.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    88796, 9600000 req, miss ratio 0.1831, byte miss ratio 0.1831
result/io_traces.ns360.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   177592, 9600000 req, miss ratio 0.1264, byte miss ratio 0.1264
result/io_traces.ns360.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   355185, 9600000 req, miss ratio 0.0578, byte miss ratio 0.0578
result/io_traces.ns360.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      443, 9600000 req, miss ratio 0.7358, byte miss ratio 0.7358
result/io_traces.ns360.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1331, 9600000 req, miss ratio 0.7133, byte miss ratio 0.7133
result/io_traces.ns360.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4439, 9600000 req, miss ratio 0.6461, byte miss ratio 0.6461
result/io_traces.ns360.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    13319, 9600000 req, miss ratio 0.4949, byte miss ratio 0.4949
result/io_traces.ns360.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    44398, 9600000 req, miss ratio 0.3055, byte miss ratio 0.3055
result/io_traces.ns360.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    88796, 9600000 req, miss ratio 0.1594, byte miss ratio 0.1594
result/io_traces.ns360.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   177592, 9600000 req, miss ratio 0.0744, byte miss ratio 0.0744
result/io_traces.ns360.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   355185, 9600000 req, miss ratio 0.0524, byte miss ratio 0.0524
