result/io_traces.ns826.oracleGeneral.zst LRB cache size   774142, 2800000 req, miss ratio 0.7136, byte miss ratio 0.7136
result/io_traces.ns826.oracleGeneral.zst LRB cache size  1548285, 2800000 req, miss ratio 0.6928, byte miss ratio 0.6928
result/io_traces.ns826.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1935, 2800000 req, miss ratio 0.7523, byte miss ratio 0.7523
result/io_traces.ns826.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5806, 2800000 req, miss ratio 0.7473, byte miss ratio 0.7473
result/io_traces.ns826.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    19353, 2800000 req, miss ratio 0.7427, byte miss ratio 0.7427
result/io_traces.ns826.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    58060, 2800000 req, miss ratio 0.7405, byte miss ratio 0.7405
result/io_traces.ns826.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   193535, 2800000 req, miss ratio 0.7340, byte miss ratio 0.7340
result/io_traces.ns826.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   387071, 2800000 req, miss ratio 0.7232, byte miss ratio 0.7232
result/io_traces.ns826.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   774142, 2800000 req, miss ratio 0.7148, byte miss ratio 0.7148
result/io_traces.ns826.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1548285, 2800000 req, miss ratio 0.6932, byte miss ratio 0.6932
result/io_traces.ns826.oracleGeneral.zst B-LRU cache size     1935, 2800000 req, miss ratio 0.7963, byte miss ratio 0.7963
result/io_traces.ns826.oracleGeneral.zst B-LRU cache size     5806, 2800000 req, miss ratio 0.7916, byte miss ratio 0.7916
result/io_traces.ns826.oracleGeneral.zst B-LRU cache size    19353, 2800000 req, miss ratio 0.7877, byte miss ratio 0.7877
result/io_traces.ns826.oracleGeneral.zst B-LRU cache size    58060, 2800000 req, miss ratio 0.7811, byte miss ratio 0.7811
result/io_traces.ns826.oracleGeneral.zst B-LRU cache size   193535, 2800000 req, miss ratio 0.7775, byte miss ratio 0.7775
result/io_traces.ns826.oracleGeneral.zst B-LRU cache size   387071, 2800000 req, miss ratio 0.7774, byte miss ratio 0.7774
