result/io_traces.ns205.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   824762, 19600000 req, miss ratio 0.1604, byte miss ratio 0.1604
result/io_traces.ns205.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1649524, 19600000 req, miss ratio 0.1103, byte miss ratio 0.1103
result/io_traces.ns205.oracleGeneral.zst TwoQ cache size     2061, 19600000 req, miss ratio 0.6051, byte miss ratio 0.6051
result/io_traces.ns205.oracleGeneral.zst TwoQ cache size     6185, 19600000 req, miss ratio 0.5651, byte miss ratio 0.5651
result/io_traces.ns205.oracleGeneral.zst TwoQ cache size    20619, 19600000 req, miss ratio 0.4555, byte miss ratio 0.4555
result/io_traces.ns205.oracleGeneral.zst TwoQ cache size    61857, 19600000 req, miss ratio 0.2425, byte miss ratio 0.2425
result/io_traces.ns205.oracleGeneral.zst TwoQ cache size   206190, 19600000 req, miss ratio 0.2146, byte miss ratio 0.2146
result/io_traces.ns205.oracleGeneral.zst TwoQ cache size   412381, 19600000 req, miss ratio 0.1939, byte miss ratio 0.1939
result/io_traces.ns205.oracleGeneral.zst TwoQ cache size   824762, 19600000 req, miss ratio 0.1538, byte miss ratio 0.1538
result/io_traces.ns205.oracleGeneral.zst TwoQ cache size  1649524, 19600000 req, miss ratio 0.1113, byte miss ratio 0.1113
result/io_traces.ns205.oracleGeneral.zst S3FIFO cache size     2061, 19600000 req, miss ratio 0.6035, byte miss ratio 0.6035
result/io_traces.ns205.oracleGeneral.zst S3FIFO cache size     6185, 19600000 req, miss ratio 0.5613, byte miss ratio 0.5613
result/io_traces.ns205.oracleGeneral.zst S3FIFO cache size    20619, 19600000 req, miss ratio 0.4618, byte miss ratio 0.4618
result/io_traces.ns205.oracleGeneral.zst S3FIFO cache size    61857, 19600000 req, miss ratio 0.2527, byte miss ratio 0.2527
result/io_traces.ns205.oracleGeneral.zst S3FIFO cache size   206190, 19600000 req, miss ratio 0.2114, byte miss ratio 0.2114
result/io_traces.ns205.oracleGeneral.zst S3FIFO cache size   412381, 19600000 req, miss ratio 0.1900, byte miss ratio 0.1900
result/io_traces.ns205.oracleGeneral.zst S3FIFO cache size   824762, 19600000 req, miss ratio 0.1545, byte miss ratio 0.1545
result/io_traces.ns205.oracleGeneral.zst S3FIFO cache size  1649524, 19600000 req, miss ratio 0.1106, byte miss ratio 0.1106
result/io_traces.ns205.oracleGeneral.zst S3FIFO-d cache size     2061, 19600000 req, miss ratio 0.5946, byte miss ratio 0.5946
result/io_traces.ns205.oracleGeneral.zst S3FIFO-d cache size     6185, 19600000 req, miss ratio 0.5619, byte miss ratio 0.5619
result/io_traces.ns205.oracleGeneral.zst S3FIFO-d cache size    20619, 19600000 req, miss ratio 0.4670, byte miss ratio 0.4670
