result/io_traces.ns207.oracleGeneral.zst B-LRU cache size    23676, 51400000 req, miss ratio 0.8566, byte miss ratio 0.8566
result/io_traces.ns207.oracleGeneral.zst B-LRU cache size    71030, 51400000 req, miss ratio 0.8225, byte miss ratio 0.8225
result/io_traces.ns207.oracleGeneral.zst B-LRU cache size   236768, 51400000 req, miss ratio 0.7488, byte miss ratio 0.7488
result/io_traces.ns207.oracleGeneral.zst B-LRU cache size   710305, 51400000 req, miss ratio 0.6496, byte miss ratio 0.6496
result/io_traces.ns207.oracleGeneral.zst B-LRU cache size  2367683, 51400000 req, miss ratio 0.5966, byte miss ratio 0.5966
result/io_traces.ns207.oracleGeneral.zst B-LRU cache size  4735367, 51400000 req, miss ratio 0.5854, byte miss ratio 0.5854
result/io_traces.ns207.oracleGeneral.zst B-LRU cache size  9470734, 51400000 req, miss ratio 0.5836, byte miss ratio 0.5836
result/io_traces.ns207.oracleGeneral.zst B-LRU cache size 18941469, 51400000 req, miss ratio 0.5836, byte miss ratio 0.5836
result/io_traces.ns207.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    23676, 51400000 req, miss ratio 0.8655, byte miss ratio 0.8655
result/io_traces.ns207.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    71030, 51400000 req, miss ratio 0.8315, byte miss ratio 0.8315
result/io_traces.ns207.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   236768, 51400000 req, miss ratio 0.7764, byte miss ratio 0.7764
result/io_traces.ns207.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   710305, 51400000 req, miss ratio 0.6970, byte miss ratio 0.6970
result/io_traces.ns207.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  2367683, 51400000 req, miss ratio 0.5981, byte miss ratio 0.5981
result/io_traces.ns207.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  4735367, 51400000 req, miss ratio 0.5454, byte miss ratio 0.5454
result/io_traces.ns207.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  9470734, 51400000 req, miss ratio 0.4976, byte miss ratio 0.4976
result/io_traces.ns207.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size 18941469, 51400000 req, miss ratio 0.4655, byte miss ratio 0.4655
result/io_traces.ns207.oracleGeneral.zst TwoQ cache size    23676, 51400000 req, miss ratio 0.8307, byte miss ratio 0.8307
result/io_traces.ns207.oracleGeneral.zst TwoQ cache size    71030, 51400000 req, miss ratio 0.8025, byte miss ratio 0.8025
result/io_traces.ns207.oracleGeneral.zst TwoQ cache size   236768, 51400000 req, miss ratio 0.7276, byte miss ratio 0.7276
result/io_traces.ns207.oracleGeneral.zst TwoQ cache size   710305, 51400000 req, miss ratio 0.6605, byte miss ratio 0.6605
result/io_traces.ns207.oracleGeneral.zst TwoQ cache size  2367683, 51400000 req, miss ratio 0.5857, byte miss ratio 0.5857
result/io_traces.ns207.oracleGeneral.zst TwoQ cache size  4735367, 51400000 req, miss ratio 0.5416, byte miss ratio 0.5416
result/io_traces.ns207.oracleGeneral.zst TwoQ cache size  9470734, 51400000 req, miss ratio 0.5006, byte miss ratio 0.5006
result/io_traces.ns207.oracleGeneral.zst TwoQ cache size 18941469, 51400000 req, miss ratio 0.4691, byte miss ratio 0.4691
result/io_traces.ns207.oracleGeneral.zst S4LRU(25:25:25:25) cache size    23676, 51400000 req, miss ratio 0.8274, byte miss ratio 0.8274
result/io_traces.ns207.oracleGeneral.zst S4LRU(25:25:25:25) cache size    71030, 51400000 req, miss ratio 0.7957, byte miss ratio 0.7957
result/io_traces.ns207.oracleGeneral.zst S4LRU(25:25:25:25) cache size   236768, 51400000 req, miss ratio 0.7642, byte miss ratio 0.7642
