result/io_traces.ns41.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    18545, 8600000 req, miss ratio 0.2545, byte miss ratio 0.2545
result/io_traces.ns41.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    61817, 8600000 req, miss ratio 0.1187, byte miss ratio 0.1187
result/io_traces.ns41.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   123635, 8600000 req, miss ratio 0.0975, byte miss ratio 0.0975
result/io_traces.ns41.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   247270, 8600000 req, miss ratio 0.0853, byte miss ratio 0.0853
result/io_traces.ns41.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   494541, 8600000 req, miss ratio 0.0775, byte miss ratio 0.0775
result/io_traces.ns41.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      618, 8600000 req, miss ratio 0.3613, byte miss ratio 0.3613
result/io_traces.ns41.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1854, 8600000 req, miss ratio 0.2414, byte miss ratio 0.2414
result/io_traces.ns41.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6181, 8600000 req, miss ratio 0.2234, byte miss ratio 0.2234
result/io_traces.ns41.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    18545, 8600000 req, miss ratio 0.1882, byte miss ratio 0.1882
result/io_traces.ns41.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    61817, 8600000 req, miss ratio 0.1144, byte miss ratio 0.1144
result/io_traces.ns41.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   123635, 8600000 req, miss ratio 0.0897, byte miss ratio 0.0897
result/io_traces.ns41.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   247270, 8600000 req, miss ratio 0.0743, byte miss ratio 0.0743
result/io_traces.ns41.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   494541, 8600000 req, miss ratio 0.0761, byte miss ratio 0.0761
