result/io_traces.ns145.oracleGeneral.zst S3FIFO-d cache size   261223, 14400000 req, miss ratio 0.7310, byte miss ratio 0.7310
result/io_traces.ns145.oracleGeneral.zst S3FIFO-d cache size   870743, 14400000 req, miss ratio 0.7279, byte miss ratio 0.7279
result/io_traces.ns145.oracleGeneral.zst S3FIFO-d cache size  1741487, 14400000 req, miss ratio 0.7078, byte miss ratio 0.7078
result/io_traces.ns145.oracleGeneral.zst S3FIFO-d cache size  3482975, 14400000 req, miss ratio 0.6563, byte miss ratio 0.6563
result/io_traces.ns145.oracleGeneral.zst S3FIFO-d cache size  6965951, 14400000 req, miss ratio 0.6104, byte miss ratio 0.6104
result/io_traces.ns145.oracleGeneral.zst S3FIFO cache size     8707, 14400000 req, miss ratio 0.8283, byte miss ratio 0.8283
result/io_traces.ns145.oracleGeneral.zst S3FIFO cache size    26122, 14400000 req, miss ratio 0.7894, byte miss ratio 0.7894
result/io_traces.ns145.oracleGeneral.zst S3FIFO cache size    87074, 14400000 req, miss ratio 0.7379, byte miss ratio 0.7379
result/io_traces.ns145.oracleGeneral.zst S3FIFO cache size   261223, 14400000 req, miss ratio 0.7310, byte miss ratio 0.7310
result/io_traces.ns145.oracleGeneral.zst S3FIFO cache size   870743, 14400000 req, miss ratio 0.7279, byte miss ratio 0.7279
result/io_traces.ns145.oracleGeneral.zst S3FIFO cache size  1741487, 14400000 req, miss ratio 0.7078, byte miss ratio 0.7078
result/io_traces.ns145.oracleGeneral.zst S3FIFO cache size  3482975, 14400000 req, miss ratio 0.6563, byte miss ratio 0.6563
result/io_traces.ns145.oracleGeneral.zst S3FIFO cache size  6965951, 14400000 req, miss ratio 0.6104, byte miss ratio 0.6104
result/io_traces.ns145.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     8707, 14400000 req, miss ratio 0.8285, byte miss ratio 0.8285
result/io_traces.ns145.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    26122, 14400000 req, miss ratio 0.7773, byte miss ratio 0.7773
result/io_traces.ns145.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    87074, 14400000 req, miss ratio 0.7378, byte miss ratio 0.7378
result/io_traces.ns145.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   261223, 14400000 req, miss ratio 0.7256, byte miss ratio 0.7256
result/io_traces.ns145.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   870743, 14400000 req, miss ratio 0.7011, byte miss ratio 0.7011
result/io_traces.ns145.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1741487, 14400000 req, miss ratio 0.6785, byte miss ratio 0.6785
result/io_traces.ns145.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  3482975, 14400000 req, miss ratio 0.6445, byte miss ratio 0.6445
result/io_traces.ns145.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  6965951, 14400000 req, miss ratio 0.6106, byte miss ratio 0.6106
result/io_traces.ns145.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     8707, 14400000 req, miss ratio 0.8121, byte miss ratio 0.8121
result/io_traces.ns145.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    26122, 14400000 req, miss ratio 0.7820, byte miss ratio 0.7820
result/io_traces.ns145.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    87074, 14400000 req, miss ratio 0.7387, byte miss ratio 0.7387
result/io_traces.ns145.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   261223, 14400000 req, miss ratio 0.7270, byte miss ratio 0.7270
result/io_traces.ns145.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   870743, 14400000 req, miss ratio 0.7044, byte miss ratio 0.7044
result/io_traces.ns145.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1741487, 14400000 req, miss ratio 0.6825, byte miss ratio 0.6825
result/io_traces.ns145.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  3482975, 14400000 req, miss ratio 0.6525, byte miss ratio 0.6525
result/io_traces.ns145.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  6965951, 14400000 req, miss ratio 0.6131, byte miss ratio 0.6131
