result/io_traces.ns650.oracleGeneral.zst S3FIFO-d cache size    22296, 5800000 req, miss ratio 0.3521, byte miss ratio 0.3521
result/io_traces.ns650.oracleGeneral.zst S3FIFO-d cache size    44593, 5800000 req, miss ratio 0.1034, byte miss ratio 0.1034
result/io_traces.ns650.oracleGeneral.zst S3FIFO-d cache size    89187, 5800000 req, miss ratio 0.0462, byte miss ratio 0.0462
result/io_traces.ns650.oracleGeneral.zst S3FIFO-d cache size   178375, 5800000 req, miss ratio 0.0389, byte miss ratio 0.0389
result/io_traces.ns650.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      222, 5800000 req, miss ratio 0.7690, byte miss ratio 0.7690
result/io_traces.ns650.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      668, 5800000 req, miss ratio 0.6381, byte miss ratio 0.6381
result/io_traces.ns650.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2229, 5800000 req, miss ratio 0.5725, byte miss ratio 0.5725
result/io_traces.ns650.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6689, 5800000 req, miss ratio 0.5110, byte miss ratio 0.5110
result/io_traces.ns650.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    22296, 5800000 req, miss ratio 0.3077, byte miss ratio 0.3077
result/io_traces.ns650.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    44593, 5800000 req, miss ratio 0.0897, byte miss ratio 0.0897
result/io_traces.ns650.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    89187, 5800000 req, miss ratio 0.0651, byte miss ratio 0.0651
result/io_traces.ns650.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   178375, 5800000 req, miss ratio 0.0439, byte miss ratio 0.0439
result/io_traces.ns650.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      222, 5800000 req, miss ratio 0.6800, byte miss ratio 0.6800
result/io_traces.ns650.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      668, 5800000 req, miss ratio 0.6320, byte miss ratio 0.6320
result/io_traces.ns650.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2229, 5800000 req, miss ratio 0.5858, byte miss ratio 0.5858
result/io_traces.ns650.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6689, 5800000 req, miss ratio 0.5128, byte miss ratio 0.5128
result/io_traces.ns650.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    22296, 5800000 req, miss ratio 0.3106, byte miss ratio 0.3106
result/io_traces.ns650.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    44593, 5800000 req, miss ratio 0.0907, byte miss ratio 0.0907
result/io_traces.ns650.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    89187, 5800000 req, miss ratio 0.0598, byte miss ratio 0.0598
result/io_traces.ns650.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   178375, 5800000 req, miss ratio 0.0450, byte miss ratio 0.0450
