result/io_traces.ns672.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    52976, 2000000 req, miss ratio 0.0917, byte miss ratio 0.0917
result/io_traces.ns672.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   105952, 2000000 req, miss ratio 0.0702, byte miss ratio 0.0702
result/io_traces.ns672.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      132, 2000000 req, miss ratio 0.4433, byte miss ratio 0.4433
result/io_traces.ns672.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      397, 2000000 req, miss ratio 0.4393, byte miss ratio 0.4393
result/io_traces.ns672.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1324, 2000000 req, miss ratio 0.4235, byte miss ratio 0.4235
result/io_traces.ns672.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3973, 2000000 req, miss ratio 0.3951, byte miss ratio 0.3951
result/io_traces.ns672.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    13244, 2000000 req, miss ratio 0.3081, byte miss ratio 0.3081
result/io_traces.ns672.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    26488, 2000000 req, miss ratio 0.1954, byte miss ratio 0.1954
result/io_traces.ns672.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    52976, 2000000 req, miss ratio 0.0951, byte miss ratio 0.0951
result/io_traces.ns672.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   105952, 2000000 req, miss ratio 0.0767, byte miss ratio 0.0767
