result/cluster1.oracleGeneral.sample10.zst S3FIFO-d cache size       12, 820195910 req, miss ratio 0.6783, byte miss ratio 0.6783
result/cluster1.oracleGeneral.sample10.zst S3FIFO-d cache size       37, 820195910 req, miss ratio 0.3671, byte miss ratio 0.3671
result/cluster1.oracleGeneral.sample10.zst S3FIFO-d cache size      126, 820195910 req, miss ratio 0.0709, byte miss ratio 0.0709
result/cluster1.oracleGeneral.sample10.zst S3FIFO-d cache size      378, 820195910 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cluster1.oracleGeneral.sample10.zst S3FIFO-d cache size     1261, 820195910 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cluster1.oracleGeneral.sample10.zst S3FIFO-d cache size     2523, 820195910 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cluster1.oracleGeneral.sample10.zst S3FIFO-d cache size     5046, 820195910 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cluster1.oracleGeneral.sample10.zst S3FIFO-d cache size    10093, 820195910 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cluster1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size       12, 820195910 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cluster1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size       37, 820195910 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cluster1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size      126, 820195910 req, miss ratio 0.0714, byte miss ratio 0.0714
result/cluster1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size      378, 820195910 req, miss ratio 0.0095, byte miss ratio 0.0095
result/cluster1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     1261, 820195910 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cluster1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     2523, 820195910 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cluster1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     5046, 820195910 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cluster1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    10093, 820195910 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cluster1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size       12, 820195910 req, miss ratio 0.7086, byte miss ratio 0.7086
result/cluster1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size       37, 820195910 req, miss ratio 0.3657, byte miss ratio 0.3657
result/cluster1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size      126, 820195910 req, miss ratio 0.0643, byte miss ratio 0.0643
result/cluster1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size      378, 820195910 req, miss ratio 0.0098, byte miss ratio 0.0098
result/cluster1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     1261, 820195910 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cluster1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     2523, 820195910 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cluster1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     5046, 820195910 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cluster1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    10093, 820195910 req, miss ratio 0.0000, byte miss ratio 0.0000
