result/cluster36.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    71139, 541003154 req, miss ratio 0.1005, byte miss ratio 0.1005
result/cluster36.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   213419, 541003154 req, miss ratio 0.1166, byte miss ratio 0.1166
result/cluster36.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   711399, 541003154 req, miss ratio 0.0388, byte miss ratio 0.0388
result/cluster36.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1422799, 541003154 req, miss ratio 0.0269, byte miss ratio 0.0269
result/cluster36.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  2845598, 541003154 req, miss ratio 0.0186, byte miss ratio 0.0186
result/cluster36.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  5691197, 541003154 req, miss ratio 0.0140, byte miss ratio 0.0140
result/cluster36.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     7113, 541003154 req, miss ratio 0.1876, byte miss ratio 0.1876
result/cluster36.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    21341, 541003154 req, miss ratio 0.1396, byte miss ratio 0.1396
result/cluster36.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    71139, 541003154 req, miss ratio 0.0988, byte miss ratio 0.0988
result/cluster36.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   213419, 541003154 req, miss ratio 0.0706, byte miss ratio 0.0706
result/cluster36.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   711399, 541003154 req, miss ratio 0.0546, byte miss ratio 0.0546
result/cluster36.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1422799, 541003154 req, miss ratio 0.0324, byte miss ratio 0.0324
result/cluster36.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  2845598, 541003154 req, miss ratio 0.0188, byte miss ratio 0.0188
result/cluster36.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  5691197, 541003154 req, miss ratio 0.0143, byte miss ratio 0.0143
