result/cluster53.oracleGeneral.sample10.zst S3FIFO-d cache size   581156, 26142189 req, miss ratio 0.0279, byte miss ratio 0.0279
result/cluster53.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size      726, 26142189 req, miss ratio 0.3265, byte miss ratio 0.3265
result/cluster53.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     2179, 26142189 req, miss ratio 0.2248, byte miss ratio 0.2248
result/cluster53.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     7264, 26142189 req, miss ratio 0.1456, byte miss ratio 0.1456
result/cluster53.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    21793, 26142189 req, miss ratio 0.0949, byte miss ratio 0.0949
result/cluster53.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    72644, 26142189 req, miss ratio 0.0598, byte miss ratio 0.0598
result/cluster53.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   145289, 26142189 req, miss ratio 0.0449, byte miss ratio 0.0449
result/cluster53.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   290578, 26142189 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cluster53.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   581156, 26142189 req, miss ratio 0.0307, byte miss ratio 0.0307
result/cluster53.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size      726, 26142189 req, miss ratio 0.3235, byte miss ratio 0.3235
result/cluster53.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     2179, 26142189 req, miss ratio 0.2141, byte miss ratio 0.2141
result/cluster53.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     7264, 26142189 req, miss ratio 0.1396, byte miss ratio 0.1396
result/cluster53.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    21793, 26142189 req, miss ratio 0.0907, byte miss ratio 0.0907
result/cluster53.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    72644, 26142189 req, miss ratio 0.0745, byte miss ratio 0.0745
result/cluster53.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   145289, 26142189 req, miss ratio 0.0425, byte miss ratio 0.0425
result/cluster53.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   290578, 26142189 req, miss ratio 0.0349, byte miss ratio 0.0349
result/cluster53.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   581156, 26142189 req, miss ratio 0.0297, byte miss ratio 0.0297
