result/meta_rprn.oracleGeneral.zst                          Cacheus cache size 11612112, 88470732 req, miss ratio 0.3611, byte miss ratio 0.3611
result/meta_rprn.oracleGeneral.zst                          Cacheus cache size 23224225, 88470732 req, miss ratio 0.3332, byte miss ratio 0.3332
result/meta_rprn.oracleGeneral.zst                            B-LRU cache size    29030, 88470732 req, miss ratio 0.6341, byte miss ratio 0.6341
result/meta_rprn.oracleGeneral.zst                            B-LRU cache size    87090, 88470732 req, miss ratio 0.6061, byte miss ratio 0.6061
result/meta_rprn.oracleGeneral.zst                            B-LRU cache size   290302, 88470732 req, miss ratio 0.5716, byte miss ratio 0.5716
result/meta_rprn.oracleGeneral.zst                            B-LRU cache size   870908, 88470732 req, miss ratio 0.5356, byte miss ratio 0.5356
result/meta_rprn.oracleGeneral.zst                            B-LRU cache size  2903028, 88470732 req, miss ratio 0.4846, byte miss ratio 0.4846
result/meta_rprn.oracleGeneral.zst                            B-LRU cache size  5806056, 88470732 req, miss ratio 0.4584, byte miss ratio 0.4584
result/meta_rprn.oracleGeneral.zst                            B-LRU cache size 11612112, 88470732 req, miss ratio 0.4515, byte miss ratio 0.4515
result/meta_rprn.oracleGeneral.zst                            B-LRU cache size 23224225, 88470732 req, miss ratio 0.4515, byte miss ratio 0.4515

