result/cdn1_nyc.ns89.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    71238, 1092185 req, miss ratio 0.6615, byte miss ratio 0.6615
result/cdn1_nyc.ns89.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   142476, 1092185 req, miss ratio 0.6548, byte miss ratio 0.6548
result/cdn1_nyc.ns89.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   284952, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   569904, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-d cache size      712, 1092185 req, miss ratio 0.7505, byte miss ratio 0.7505
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-d cache size     2137, 1092185 req, miss ratio 0.7328, byte miss ratio 0.7328
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-d cache size     7123, 1092185 req, miss ratio 0.7083, byte miss ratio 0.7083
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-d cache size    21371, 1092185 req, miss ratio 0.6863, byte miss ratio 0.6863
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-d cache size    71238, 1092185 req, miss ratio 0.6582, byte miss ratio 0.6582
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-d cache size   142476, 1092185 req, miss ratio 0.6525, byte miss ratio 0.6525
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-d cache size   284952, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-d cache size   569904, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO cache size      712, 1092185 req, miss ratio 0.7601, byte miss ratio 0.7601
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO cache size     2137, 1092185 req, miss ratio 0.7401, byte miss ratio 0.7401
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO cache size     7123, 1092185 req, miss ratio 0.7110, byte miss ratio 0.7110
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO cache size    21371, 1092185 req, miss ratio 0.6869, byte miss ratio 0.6869
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO cache size    71238, 1092185 req, miss ratio 0.6582, byte miss ratio 0.6582
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO cache size   142476, 1092185 req, miss ratio 0.6525, byte miss ratio 0.6525
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO cache size   284952, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO cache size   569904, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      712, 1092185 req, miss ratio 0.8000, byte miss ratio 0.8000
result/cdn1_nyc.ns89.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     2137, 1092185 req, miss ratio 0.7854, byte miss ratio 0.7854
result/cdn1_nyc.ns89.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     7123, 1092185 req, miss ratio 0.7667, byte miss ratio 0.7667
result/cdn1_nyc.ns89.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    21371, 1092185 req, miss ratio 0.7458, byte miss ratio 0.7458
