result/cdn1_sjc.ns1048.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size       10, 1226896 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size       31, 1226896 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      105, 1226896 req, miss ratio 0.9088, byte miss ratio 0.9088
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      315, 1226896 req, miss ratio 0.8272, byte miss ratio 0.8272
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1052, 1226896 req, miss ratio 0.4825, byte miss ratio 0.4825
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     2104, 1226896 req, miss ratio 0.3983, byte miss ratio 0.3983
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     4208, 1226896 req, miss ratio 0.2891, byte miss ratio 0.2891
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     8416, 1226896 req, miss ratio 0.0856, byte miss ratio 0.0856
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size       10, 1226896 req, miss ratio 0.9840, byte miss ratio 0.9840
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size       31, 1226896 req, miss ratio 0.9621, byte miss ratio 0.9621
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      105, 1226896 req, miss ratio 0.8785, byte miss ratio 0.8785
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      315, 1226896 req, miss ratio 0.7267, byte miss ratio 0.7267
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1052, 1226896 req, miss ratio 0.4249, byte miss ratio 0.4249
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     2104, 1226896 req, miss ratio 0.3832, byte miss ratio 0.3832
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     4208, 1226896 req, miss ratio 0.3010, byte miss ratio 0.3010
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     8416, 1226896 req, miss ratio 0.1028, byte miss ratio 0.1028
