result/cdn1_nyc.ns35.oracleGeneral.bin.zst B-LRU cache size    69747, 1596462 req, miss ratio 0.1880, byte miss ratio 0.1880
result/cdn1_nyc.ns35.oracleGeneral.bin.zst B-LRU cache size   139494, 1596462 req, miss ratio 0.1857, byte miss ratio 0.1857
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-d cache size      174, 1596462 req, miss ratio 0.2198, byte miss ratio 0.2198
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-d cache size      523, 1596462 req, miss ratio 0.2124, byte miss ratio 0.2124
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-d cache size     1743, 1596462 req, miss ratio 0.2012, byte miss ratio 0.2012
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-d cache size     5231, 1596462 req, miss ratio 0.1786, byte miss ratio 0.1786
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-d cache size    17436, 1596462 req, miss ratio 0.1405, byte miss ratio 0.1405
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-d cache size    34873, 1596462 req, miss ratio 0.1252, byte miss ratio 0.1252
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-d cache size    69747, 1596462 req, miss ratio 0.1165, byte miss ratio 0.1165
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO-d cache size   139494, 1596462 req, miss ratio 0.1101, byte miss ratio 0.1101
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO cache size      174, 1596462 req, miss ratio 0.2425, byte miss ratio 0.2425
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO cache size      523, 1596462 req, miss ratio 0.2151, byte miss ratio 0.2151
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO cache size     1743, 1596462 req, miss ratio 0.2011, byte miss ratio 0.2011
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S3FIFO cache size     5231, 1596462 req, miss ratio 0.1786, byte miss ratio 0.1786
