result/cdn1_nyc.ns140.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    36848, 1663924 req, miss ratio 0.0306, byte miss ratio 0.0306
result/cdn1_nyc.ns140.oracleGeneral.bin.zst TwoQ cache size       46, 1663924 req, miss ratio 0.9760, byte miss ratio 0.9760
result/cdn1_nyc.ns140.oracleGeneral.bin.zst TwoQ cache size      138, 1663924 req, miss ratio 0.9638, byte miss ratio 0.9638
result/cdn1_nyc.ns140.oracleGeneral.bin.zst TwoQ cache size      460, 1663924 req, miss ratio 0.9250, byte miss ratio 0.9250
result/cdn1_nyc.ns140.oracleGeneral.bin.zst TwoQ cache size     1381, 1663924 req, miss ratio 0.8171, byte miss ratio 0.8171
result/cdn1_nyc.ns140.oracleGeneral.bin.zst TwoQ cache size     4606, 1663924 req, miss ratio 0.5420, byte miss ratio 0.5420
result/cdn1_nyc.ns140.oracleGeneral.bin.zst TwoQ cache size     9212, 1663924 req, miss ratio 0.3188, byte miss ratio 0.3188
result/cdn1_nyc.ns140.oracleGeneral.bin.zst TwoQ cache size    18424, 1663924 req, miss ratio 0.1272, byte miss ratio 0.1272
result/cdn1_nyc.ns140.oracleGeneral.bin.zst TwoQ cache size    36848, 1663924 req, miss ratio 0.0445, byte miss ratio 0.0445
result/cdn1_nyc.ns140.oracleGeneral.bin.zst B-LRU cache size       46, 1663924 req, miss ratio 0.9832, byte miss ratio 0.9832
result/cdn1_nyc.ns140.oracleGeneral.bin.zst B-LRU cache size      138, 1663924 req, miss ratio 0.9779, byte miss ratio 0.9779
result/cdn1_nyc.ns140.oracleGeneral.bin.zst B-LRU cache size      460, 1663924 req, miss ratio 0.9618, byte miss ratio 0.9618
result/cdn1_nyc.ns140.oracleGeneral.bin.zst B-LRU cache size     1381, 1663924 req, miss ratio 0.9082, byte miss ratio 0.9082
result/cdn1_nyc.ns140.oracleGeneral.bin.zst B-LRU cache size     4606, 1663924 req, miss ratio 0.6336, byte miss ratio 0.6336
result/cdn1_nyc.ns140.oracleGeneral.bin.zst B-LRU cache size     9212, 1663924 req, miss ratio 0.3434, byte miss ratio 0.3434
