result/cdn1_sjc.ns32.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    43996, 2699115 req, miss ratio 0.2605, byte miss ratio 0.2605
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    87993, 2699115 req, miss ratio 0.2085, byte miss ratio 0.2085
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   175986, 2699115 req, miss ratio 0.1805, byte miss ratio 0.1805
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   351973, 2699115 req, miss ratio 0.1644, byte miss ratio 0.1644
result/cdn1_sjc.ns32.oracleGeneral.bin.zst B-LRU cache size      439, 2699115 req, miss ratio 0.9246, byte miss ratio 0.9246
result/cdn1_sjc.ns32.oracleGeneral.bin.zst B-LRU cache size     1319, 2699115 req, miss ratio 0.8564, byte miss ratio 0.8564
result/cdn1_sjc.ns32.oracleGeneral.bin.zst B-LRU cache size     4399, 2699115 req, miss ratio 0.6836, byte miss ratio 0.6836
result/cdn1_sjc.ns32.oracleGeneral.bin.zst B-LRU cache size    13199, 2699115 req, miss ratio 0.4603, byte miss ratio 0.4603
result/cdn1_sjc.ns32.oracleGeneral.bin.zst B-LRU cache size    43996, 2699115 req, miss ratio 0.2958, byte miss ratio 0.2958
result/cdn1_sjc.ns32.oracleGeneral.bin.zst B-LRU cache size    87993, 2699115 req, miss ratio 0.2518, byte miss ratio 0.2518
result/cdn1_sjc.ns32.oracleGeneral.bin.zst B-LRU cache size   175986, 2699115 req, miss ratio 0.2376, byte miss ratio 0.2376
result/cdn1_sjc.ns32.oracleGeneral.bin.zst B-LRU cache size   351973, 2699115 req, miss ratio 0.2372, byte miss ratio 0.2372
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO-d cache size      439, 2699115 req, miss ratio 0.9056, byte miss ratio 0.9056
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO-d cache size     1319, 2699115 req, miss ratio 0.8160, byte miss ratio 0.8160
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO-d cache size     4399, 2699115 req, miss ratio 0.5905, byte miss ratio 0.5905
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO-d cache size    13199, 2699115 req, miss ratio 0.4008, byte miss ratio 0.4008
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO-d cache size    43996, 2699115 req, miss ratio 0.2614, byte miss ratio 0.2614
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO-d cache size    87993, 2699115 req, miss ratio 0.2135, byte miss ratio 0.2135
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO-d cache size   175986, 2699115 req, miss ratio 0.1793, byte miss ratio 0.1793
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO-d cache size   351973, 2699115 req, miss ratio 0.1650, byte miss ratio 0.1650
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO cache size      439, 2699115 req, miss ratio 0.8928, byte miss ratio 0.8928
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO cache size     1319, 2699115 req, miss ratio 0.7837, byte miss ratio 0.7837
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO cache size     4399, 2699115 req, miss ratio 0.5764, byte miss ratio 0.5764
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO cache size    13199, 2699115 req, miss ratio 0.3984, byte miss ratio 0.3984
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO cache size    43996, 2699115 req, miss ratio 0.2616, byte miss ratio 0.2616
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO cache size    87993, 2699115 req, miss ratio 0.2148, byte miss ratio 0.2148
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO cache size   175986, 2699115 req, miss ratio 0.1793, byte miss ratio 0.1793
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S3FIFO cache size   351973, 2699115 req, miss ratio 0.1650, byte miss ratio 0.1650
result/cdn1_sjc.ns32.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      439, 2699115 req, miss ratio 0.9461, byte miss ratio 0.9461
result/cdn1_sjc.ns32.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1319, 2699115 req, miss ratio 0.8089, byte miss ratio 0.8089
result/cdn1_sjc.ns32.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     4399, 2699115 req, miss ratio 0.6303, byte miss ratio 0.6303
result/cdn1_sjc.ns32.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    13199, 2699115 req, miss ratio 0.4706, byte miss ratio 0.4706
result/cdn1_sjc.ns32.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    43996, 2699115 req, miss ratio 0.3281, byte miss ratio 0.3281
result/cdn1_sjc.ns32.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    87993, 2699115 req, miss ratio 0.2701, byte miss ratio 0.2701
result/cdn1_sjc.ns32.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   175986, 2699115 req, miss ratio 0.2256, byte miss ratio 0.2256
result/cdn1_sjc.ns32.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   351973, 2699115 req, miss ratio 0.1801, byte miss ratio 0.1801
result/cdn1_sjc.ns32.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      439, 2699115 req, miss ratio 0.9024, byte miss ratio 0.9024
result/cdn1_sjc.ns32.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1319, 2699115 req, miss ratio 0.8109, byte miss ratio 0.8109
result/cdn1_sjc.ns32.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     4399, 2699115 req, miss ratio 0.7785, byte miss ratio 0.7785
result/cdn1_sjc.ns32.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    13199, 2699115 req, miss ratio 0.6161, byte miss ratio 0.6161
result/cdn1_sjc.ns32.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    43996, 2699115 req, miss ratio 0.3351, byte miss ratio 0.3351
result/cdn1_sjc.ns32.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    87993, 2699115 req, miss ratio 0.2695, byte miss ratio 0.2695
result/cdn1_sjc.ns32.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   175986, 2699115 req, miss ratio 0.2255, byte miss ratio 0.2255
result/cdn1_sjc.ns32.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   351973, 2699115 req, miss ratio 0.1742, byte miss ratio 0.1742
