result/cdn1_sjc.ns929.oracleGeneral.bin.zst TwoQ cache size      154, 2730177 req, miss ratio 0.6811, byte miss ratio 0.6811
result/cdn1_sjc.ns929.oracleGeneral.bin.zst TwoQ cache size      513, 2730177 req, miss ratio 0.5032, byte miss ratio 0.5032
result/cdn1_sjc.ns929.oracleGeneral.bin.zst TwoQ cache size     1540, 2730177 req, miss ratio 0.2215, byte miss ratio 0.2215
result/cdn1_sjc.ns929.oracleGeneral.bin.zst TwoQ cache size     5133, 2730177 req, miss ratio 0.0356, byte miss ratio 0.0356
result/cdn1_sjc.ns929.oracleGeneral.bin.zst TwoQ cache size    10267, 2730177 req, miss ratio 0.0193, byte miss ratio 0.0193
result/cdn1_sjc.ns929.oracleGeneral.bin.zst TwoQ cache size    20535, 2730177 req, miss ratio 0.0191, byte miss ratio 0.0191
result/cdn1_sjc.ns929.oracleGeneral.bin.zst TwoQ cache size    41071, 2730177 req, miss ratio 0.0190, byte miss ratio 0.0190
result/cdn1_sjc.ns929.oracleGeneral.bin.zst B-LRU cache size       51, 2730177 req, miss ratio 0.7756, byte miss ratio 0.7756
result/cdn1_sjc.ns929.oracleGeneral.bin.zst B-LRU cache size      154, 2730177 req, miss ratio 0.7254, byte miss ratio 0.7254
result/cdn1_sjc.ns929.oracleGeneral.bin.zst B-LRU cache size      513, 2730177 req, miss ratio 0.5813, byte miss ratio 0.5813
result/cdn1_sjc.ns929.oracleGeneral.bin.zst B-LRU cache size     1540, 2730177 req, miss ratio 0.2389, byte miss ratio 0.2389
result/cdn1_sjc.ns929.oracleGeneral.bin.zst B-LRU cache size     5133, 2730177 req, miss ratio 0.0359, byte miss ratio 0.0359
result/cdn1_sjc.ns929.oracleGeneral.bin.zst B-LRU cache size    10267, 2730177 req, miss ratio 0.0330, byte miss ratio 0.0330
result/cdn1_sjc.ns929.oracleGeneral.bin.zst B-LRU cache size    20535, 2730177 req, miss ratio 0.0329, byte miss ratio 0.0329
result/cdn1_sjc.ns929.oracleGeneral.bin.zst B-LRU cache size    41071, 2730177 req, miss ratio 0.0329, byte miss ratio 0.0329
result/cdn1_sjc.ns929.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size       51, 2730177 req, miss ratio 0.7786, byte miss ratio 0.7786
result/cdn1_sjc.ns929.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      154, 2730177 req, miss ratio 0.7126, byte miss ratio 0.7126
result/cdn1_sjc.ns929.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      513, 2730177 req, miss ratio 0.5572, byte miss ratio 0.5572
