result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO cache size      459, 24253201 req, miss ratio 0.4614, byte miss ratio 0.4614
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO cache size     1377, 24253201 req, miss ratio 0.3955, byte miss ratio 0.3955
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO cache size     4590, 24253201 req, miss ratio 0.3103, byte miss ratio 0.3103
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO cache size     9181, 24253201 req, miss ratio 0.2314, byte miss ratio 0.2314
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO cache size    18362, 24253201 req, miss ratio 0.1156, byte miss ratio 0.1156
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO cache size    36725, 24253201 req, miss ratio 0.0059, byte miss ratio 0.0059
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-d cache size       45, 24253201 req, miss ratio 0.5910, byte miss ratio 0.5910
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-d cache size      137, 24253201 req, miss ratio 0.4936, byte miss ratio 0.4936
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-d cache size      459, 24253201 req, miss ratio 0.4257, byte miss ratio 0.4257
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-d cache size     1377, 24253201 req, miss ratio 0.3830, byte miss ratio 0.3830
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-d cache size     4590, 24253201 req, miss ratio 0.3102, byte miss ratio 0.3102
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-d cache size     9181, 24253201 req, miss ratio 0.2324, byte miss ratio 0.2324
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-d cache size    18362, 24253201 req, miss ratio 0.1166, byte miss ratio 0.1166
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-d cache size    36725, 24253201 req, miss ratio 0.0055, byte miss ratio 0.0055
result/cdn1_lax.ns91.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size       45, 24253201 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_lax.ns91.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      137, 24253201 req, miss ratio 0.6571, byte miss ratio 0.6571
result/cdn1_lax.ns91.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      459, 24253201 req, miss ratio 0.7357, byte miss ratio 0.7357
result/cdn1_lax.ns91.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1377, 24253201 req, miss ratio 0.5036, byte miss ratio 0.5036
result/cdn1_lax.ns91.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     4590, 24253201 req, miss ratio 0.4041, byte miss ratio 0.4041
result/cdn1_lax.ns91.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     9181, 24253201 req, miss ratio 0.2661, byte miss ratio 0.2661
result/cdn1_lax.ns91.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    18362, 24253201 req, miss ratio 0.1080, byte miss ratio 0.1080
result/cdn1_lax.ns91.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    36725, 24253201 req, miss ratio 0.0054, byte miss ratio 0.0054
result/cdn1_lax.ns91.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size       45, 24253201 req, miss ratio 0.7367, byte miss ratio 0.7367
result/cdn1_lax.ns91.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      137, 24253201 req, miss ratio 0.6183, byte miss ratio 0.6183
result/cdn1_lax.ns91.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      459, 24253201 req, miss ratio 0.5055, byte miss ratio 0.5055
result/cdn1_lax.ns91.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1377, 24253201 req, miss ratio 0.4373, byte miss ratio 0.4373
result/cdn1_lax.ns91.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     4590, 24253201 req, miss ratio 0.3071, byte miss ratio 0.3071
result/cdn1_lax.ns91.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     9181, 24253201 req, miss ratio 0.2194, byte miss ratio 0.2194
result/cdn1_lax.ns91.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    18362, 24253201 req, miss ratio 0.1083, byte miss ratio 0.1083
result/cdn1_lax.ns91.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    36725, 24253201 req, miss ratio 0.0060, byte miss ratio 0.0060
