result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-d cache size    58627, 117890485 req, miss ratio 0.1667, byte miss ratio 0.1667
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-d cache size   195426, 117890485 req, miss ratio 0.1665, byte miss ratio 0.1665
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-d cache size   586278, 117890485 req, miss ratio 0.1665, byte miss ratio 0.1665
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-d cache size  1954262, 117890485 req, miss ratio 0.1664, byte miss ratio 0.1664
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-d cache size  3908525, 117890485 req, miss ratio 0.1662, byte miss ratio 0.1662
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-d cache size  7817050, 117890485 req, miss ratio 0.1661, byte miss ratio 0.1661
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-d cache size 15634100, 117890485 req, miss ratio 0.1658, byte miss ratio 0.1658
result/cdn1_lax.ns112.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    19542, 117890485 req, miss ratio 0.2119, byte miss ratio 0.2119
result/cdn1_lax.ns112.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    58627, 117890485 req, miss ratio 0.1768, byte miss ratio 0.1768
result/cdn1_lax.ns112.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   195426, 117890485 req, miss ratio 0.1714, byte miss ratio 0.1714
result/cdn1_lax.ns112.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   586278, 117890485 req, miss ratio 0.1678, byte miss ratio 0.1678
result/cdn1_lax.ns112.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size  1954262, 117890485 req, miss ratio 0.1659, byte miss ratio 0.1659
result/cdn1_lax.ns112.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size  3908525, 117890485 req, miss ratio 0.1658, byte miss ratio 0.1658
result/cdn1_lax.ns112.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size  7817050, 117890485 req, miss ratio 0.1658, byte miss ratio 0.1658
result/cdn1_lax.ns112.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size 15634100, 117890485 req, miss ratio 0.1658, byte miss ratio 0.1658
result/cdn1_lax.ns112.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    19542, 117890485 req, miss ratio 0.1715, byte miss ratio 0.1715
result/cdn1_lax.ns112.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    58627, 117890485 req, miss ratio 0.1681, byte miss ratio 0.1681
result/cdn1_lax.ns112.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   195426, 117890485 req, miss ratio 0.1666, byte miss ratio 0.1666
result/cdn1_lax.ns112.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   586278, 117890485 req, miss ratio 0.1665, byte miss ratio 0.1665
result/cdn1_lax.ns112.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size  1954262, 117890485 req, miss ratio 0.1658, byte miss ratio 0.1658
result/cdn1_lax.ns112.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size  3908525, 117890485 req, miss ratio 0.1658, byte miss ratio 0.1658
result/cdn1_lax.ns112.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size  7817050, 117890485 req, miss ratio 0.1658, byte miss ratio 0.1658
result/cdn1_lax.ns112.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size 15634100, 117890485 req, miss ratio 0.1658, byte miss ratio 0.1658
