result/cdn1_lax.ns314.oracleGeneral.bin.zst TwoQ cache size      764, 11659479 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn1_lax.ns314.oracleGeneral.bin.zst TwoQ cache size     1529, 11659479 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn1_lax.ns314.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size        5, 11659479 req, miss ratio 0.9573, byte miss ratio 0.9573
result/cdn1_lax.ns314.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size       19, 11659479 req, miss ratio 0.8787, byte miss ratio 0.8787
result/cdn1_lax.ns314.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size       57, 11659479 req, miss ratio 0.6572, byte miss ratio 0.6572
result/cdn1_lax.ns314.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      191, 11659479 req, miss ratio 0.1072, byte miss ratio 0.1072
result/cdn1_lax.ns314.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      382, 11659479 req, miss ratio 0.0148, byte miss ratio 0.0148
result/cdn1_lax.ns314.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      764, 11659479 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn1_lax.ns314.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1529, 11659479 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn1_lax.ns314.oracleGeneral.bin.zst B-LRU cache size        5, 11659479 req, miss ratio 0.9584, byte miss ratio 0.9584
result/cdn1_lax.ns314.oracleGeneral.bin.zst B-LRU cache size       19, 11659479 req, miss ratio 0.8848, byte miss ratio 0.8848
result/cdn1_lax.ns314.oracleGeneral.bin.zst B-LRU cache size       57, 11659479 req, miss ratio 0.6558, byte miss ratio 0.6558
result/cdn1_lax.ns314.oracleGeneral.bin.zst B-LRU cache size      191, 11659479 req, miss ratio 0.1107, byte miss ratio 0.1107
result/cdn1_lax.ns314.oracleGeneral.bin.zst B-LRU cache size      382, 11659479 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn1_lax.ns314.oracleGeneral.bin.zst B-LRU cache size      764, 11659479 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn1_lax.ns314.oracleGeneral.bin.zst B-LRU cache size     1529, 11659479 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn1_lax.ns314.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size        5, 11659479 req, miss ratio 0.9532, byte miss ratio 0.9532
result/cdn1_lax.ns314.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size       19, 11659479 req, miss ratio 0.8574, byte miss ratio 0.8574
result/cdn1_lax.ns314.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size       57, 11659479 req, miss ratio 0.5479, byte miss ratio 0.5479
result/cdn1_lax.ns314.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      191, 11659479 req, miss ratio 0.0890, byte miss ratio 0.0890
result/cdn1_lax.ns314.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      382, 11659479 req, miss ratio 0.0130, byte miss ratio 0.0130
result/cdn1_lax.ns314.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      764, 11659479 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn1_lax.ns314.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1529, 11659479 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO cache size        5, 11659479 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO cache size       19, 11659479 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO cache size       57, 11659479 req, miss ratio 0.5557, byte miss ratio 0.5557
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO cache size      191, 11659479 req, miss ratio 0.0788, byte miss ratio 0.0788
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO cache size      382, 11659479 req, miss ratio 0.0115, byte miss ratio 0.0115
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO cache size      764, 11659479 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO cache size     1529, 11659479 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO-d cache size        5, 11659479 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO-d cache size       19, 11659479 req, miss ratio 0.8491, byte miss ratio 0.8491
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO-d cache size       57, 11659479 req, miss ratio 0.6357, byte miss ratio 0.6357
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO-d cache size      191, 11659479 req, miss ratio 0.0887, byte miss ratio 0.0887
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO-d cache size      382, 11659479 req, miss ratio 0.0126, byte miss ratio 0.0126
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO-d cache size      764, 11659479 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO-d cache size     1529, 11659479 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_lax.ns314.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size        5, 11659479 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_lax.ns314.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size       19, 11659479 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_lax.ns314.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size       57, 11659479 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_lax.ns314.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      191, 11659479 req, miss ratio 0.0623, byte miss ratio 0.0623
result/cdn1_lax.ns314.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      382, 11659479 req, miss ratio 0.0107, byte miss ratio 0.0107
result/cdn1_lax.ns314.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      764, 11659479 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn1_lax.ns314.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1529, 11659479 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_lax.ns314.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size        5, 11659479 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_lax.ns314.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size       19, 11659479 req, miss ratio 0.8349, byte miss ratio 0.8349
result/cdn1_lax.ns314.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size       57, 11659479 req, miss ratio 0.5035, byte miss ratio 0.5035
result/cdn1_lax.ns314.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      191, 11659479 req, miss ratio 0.0704, byte miss ratio 0.0704
result/cdn1_lax.ns314.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      382, 11659479 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn1_lax.ns314.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      764, 11659479 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn1_lax.ns314.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1529, 11659479 req, miss ratio 0.0002, byte miss ratio 0.0002
