result/cdn1_sjc.ns238.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1326, 1227520 req, miss ratio 0.4954, byte miss ratio 0.4954
result/cdn1_sjc.ns238.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     4420, 1227520 req, miss ratio 0.4854, byte miss ratio 0.4854
result/cdn1_sjc.ns238.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    13261, 1227520 req, miss ratio 0.4704, byte miss ratio 0.4704
result/cdn1_sjc.ns238.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    44204, 1227520 req, miss ratio 0.4313, byte miss ratio 0.4313
result/cdn1_sjc.ns238.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    88408, 1227520 req, miss ratio 0.4060, byte miss ratio 0.4060
result/cdn1_sjc.ns238.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   176816, 1227520 req, miss ratio 0.3774, byte miss ratio 0.3774
result/cdn1_sjc.ns238.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   353632, 1227520 req, miss ratio 0.3610, byte miss ratio 0.3610
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO cache size      442, 1227520 req, miss ratio 0.5029, byte miss ratio 0.5029
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO cache size     1326, 1227520 req, miss ratio 0.4955, byte miss ratio 0.4955
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO cache size     4420, 1227520 req, miss ratio 0.4829, byte miss ratio 0.4829
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO cache size    13261, 1227520 req, miss ratio 0.4629, byte miss ratio 0.4629
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO cache size    44204, 1227520 req, miss ratio 0.4138, byte miss ratio 0.4138
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO cache size    88408, 1227520 req, miss ratio 0.3914, byte miss ratio 0.3914
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO cache size   176816, 1227520 req, miss ratio 0.3731, byte miss ratio 0.3731
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO cache size   353632, 1227520 req, miss ratio 0.3606, byte miss ratio 0.3606
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-d cache size      442, 1227520 req, miss ratio 0.5022, byte miss ratio 0.5022
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-d cache size     1326, 1227520 req, miss ratio 0.4950, byte miss ratio 0.4950
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-d cache size     4420, 1227520 req, miss ratio 0.4828, byte miss ratio 0.4828
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-d cache size    13261, 1227520 req, miss ratio 0.4628, byte miss ratio 0.4628
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-d cache size    44204, 1227520 req, miss ratio 0.4134, byte miss ratio 0.4134
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-d cache size    88408, 1227520 req, miss ratio 0.3914, byte miss ratio 0.3914
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-d cache size   176816, 1227520 req, miss ratio 0.3731, byte miss ratio 0.3731
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-d cache size   353632, 1227520 req, miss ratio 0.3606, byte miss ratio 0.3606
result/cdn1_sjc.ns238.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      442, 1227520 req, miss ratio 0.5162, byte miss ratio 0.5162
result/cdn1_sjc.ns238.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1326, 1227520 req, miss ratio 0.5083, byte miss ratio 0.5083
result/cdn1_sjc.ns238.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     4420, 1227520 req, miss ratio 0.4971, byte miss ratio 0.4971
result/cdn1_sjc.ns238.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    13261, 1227520 req, miss ratio 0.4800, byte miss ratio 0.4800
result/cdn1_sjc.ns238.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    44204, 1227520 req, miss ratio 0.4501, byte miss ratio 0.4501
result/cdn1_sjc.ns238.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    88408, 1227520 req, miss ratio 0.4292, byte miss ratio 0.4292
result/cdn1_sjc.ns238.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   176816, 1227520 req, miss ratio 0.4022, byte miss ratio 0.4022
result/cdn1_sjc.ns238.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   353632, 1227520 req, miss ratio 0.3641, byte miss ratio 0.3641
result/cdn1_sjc.ns238.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      442, 1227520 req, miss ratio 0.5112, byte miss ratio 0.5112
result/cdn1_sjc.ns238.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1326, 1227520 req, miss ratio 0.5037, byte miss ratio 0.5037
result/cdn1_sjc.ns238.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     4420, 1227520 req, miss ratio 0.4902, byte miss ratio 0.4902
result/cdn1_sjc.ns238.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    13261, 1227520 req, miss ratio 0.4726, byte miss ratio 0.4726
result/cdn1_sjc.ns238.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    44204, 1227520 req, miss ratio 0.4430, byte miss ratio 0.4430
result/cdn1_sjc.ns238.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    88408, 1227520 req, miss ratio 0.4237, byte miss ratio 0.4237
result/cdn1_sjc.ns238.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   176816, 1227520 req, miss ratio 0.4033, byte miss ratio 0.4033
result/cdn1_sjc.ns238.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   353632, 1227520 req, miss ratio 0.3628, byte miss ratio 0.3628
