result/cdn1_lax.ns87.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1390, 7178973 req, miss ratio 0.6469, byte miss ratio 0.6469
result/cdn1_lax.ns87.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     4171, 7178973 req, miss ratio 0.5601, byte miss ratio 0.5601
result/cdn1_lax.ns87.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    13906, 7178973 req, miss ratio 0.4871, byte miss ratio 0.4871
result/cdn1_lax.ns87.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    41719, 7178973 req, miss ratio 0.4303, byte miss ratio 0.4303
result/cdn1_lax.ns87.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   139064, 7178973 req, miss ratio 0.3544, byte miss ratio 0.3544
result/cdn1_lax.ns87.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   278128, 7178973 req, miss ratio 0.3010, byte miss ratio 0.3010
result/cdn1_lax.ns87.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   556257, 7178973 req, miss ratio 0.2433, byte miss ratio 0.2433
result/cdn1_lax.ns87.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size  1112514, 7178973 req, miss ratio 0.2021, byte miss ratio 0.2021
result/cdn1_lax.ns87.oracleGeneral.bin.zst B-LRU cache size     1390, 7178973 req, miss ratio 0.6426, byte miss ratio 0.6426
result/cdn1_lax.ns87.oracleGeneral.bin.zst B-LRU cache size     4171, 7178973 req, miss ratio 0.5578, byte miss ratio 0.5578
result/cdn1_lax.ns87.oracleGeneral.bin.zst B-LRU cache size    13906, 7178973 req, miss ratio 0.4880, byte miss ratio 0.4880
result/cdn1_lax.ns87.oracleGeneral.bin.zst B-LRU cache size    41719, 7178973 req, miss ratio 0.4350, byte miss ratio 0.4350
result/cdn1_lax.ns87.oracleGeneral.bin.zst B-LRU cache size   139064, 7178973 req, miss ratio 0.3653, byte miss ratio 0.3653
result/cdn1_lax.ns87.oracleGeneral.bin.zst B-LRU cache size   278128, 7178973 req, miss ratio 0.3178, byte miss ratio 0.3178
result/cdn1_lax.ns87.oracleGeneral.bin.zst B-LRU cache size   556257, 7178973 req, miss ratio 0.2871, byte miss ratio 0.2871
result/cdn1_lax.ns87.oracleGeneral.bin.zst B-LRU cache size  1112514, 7178973 req, miss ratio 0.2856, byte miss ratio 0.2856
result/cdn1_lax.ns87.oracleGeneral.bin.zst TwoQ cache size     1390, 7178973 req, miss ratio 0.5678, byte miss ratio 0.5678
result/cdn1_lax.ns87.oracleGeneral.bin.zst TwoQ cache size     4171, 7178973 req, miss ratio 0.5082, byte miss ratio 0.5082
result/cdn1_lax.ns87.oracleGeneral.bin.zst TwoQ cache size    13906, 7178973 req, miss ratio 0.4562, byte miss ratio 0.4562
