result/cdn1_sjc.ns521.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    83656, 4094352 req, miss ratio 0.9174, byte miss ratio 0.9174
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   278855, 4094352 req, miss ratio 0.8684, byte miss ratio 0.8684
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   557711, 4094352 req, miss ratio 0.8099, byte miss ratio 0.8099
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size  1115423, 4094352 req, miss ratio 0.7328, byte miss ratio 0.7328
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size  2230847, 4094352 req, miss ratio 0.6845, byte miss ratio 0.6845
result/cdn1_sjc.ns521.oracleGeneral.bin.zst TwoQ cache size     2788, 4094352 req, miss ratio 0.9734, byte miss ratio 0.9734
result/cdn1_sjc.ns521.oracleGeneral.bin.zst TwoQ cache size     8365, 4094352 req, miss ratio 0.9700, byte miss ratio 0.9700
result/cdn1_sjc.ns521.oracleGeneral.bin.zst TwoQ cache size    27885, 4094352 req, miss ratio 0.9599, byte miss ratio 0.9599
result/cdn1_sjc.ns521.oracleGeneral.bin.zst TwoQ cache size    83656, 4094352 req, miss ratio 0.9313, byte miss ratio 0.9313
result/cdn1_sjc.ns521.oracleGeneral.bin.zst TwoQ cache size   278855, 4094352 req, miss ratio 0.8620, byte miss ratio 0.8620
result/cdn1_sjc.ns521.oracleGeneral.bin.zst TwoQ cache size   557711, 4094352 req, miss ratio 0.8086, byte miss ratio 0.8086
result/cdn1_sjc.ns521.oracleGeneral.bin.zst TwoQ cache size  1115423, 4094352 req, miss ratio 0.7512, byte miss ratio 0.7512
result/cdn1_sjc.ns521.oracleGeneral.bin.zst TwoQ cache size  2230847, 4094352 req, miss ratio 0.6940, byte miss ratio 0.6940
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO cache size     2788, 4094352 req, miss ratio 0.9729, byte miss ratio 0.9729
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO cache size     8365, 4094352 req, miss ratio 0.9684, byte miss ratio 0.9684
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO cache size    27885, 4094352 req, miss ratio 0.9536, byte miss ratio 0.9536
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO cache size    83656, 4094352 req, miss ratio 0.9156, byte miss ratio 0.9156
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO cache size   278855, 4094352 req, miss ratio 0.8409, byte miss ratio 0.8409
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO cache size   557711, 4094352 req, miss ratio 0.7904, byte miss ratio 0.7904
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S3FIFO cache size  1115423, 4094352 req, miss ratio 0.7331, byte miss ratio 0.7331
