result/cdn1_lax.ns183.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   109124, 2263900 req, miss ratio 0.6480, byte miss ratio 0.6480
result/cdn1_lax.ns183.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   218249, 2263900 req, miss ratio 0.5820, byte miss ratio 0.5820
result/cdn1_lax.ns183.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   436499, 2263900 req, miss ratio 0.5233, byte miss ratio 0.5233
result/cdn1_lax.ns183.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   872999, 2263900 req, miss ratio 0.4854, byte miss ratio 0.4854
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-d cache size     1091, 2263900 req, miss ratio 0.9500, byte miss ratio 0.9500
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-d cache size     3273, 2263900 req, miss ratio 0.9094, byte miss ratio 0.9094
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-d cache size    10912, 2263900 req, miss ratio 0.8399, byte miss ratio 0.8399
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-d cache size    32737, 2263900 req, miss ratio 0.7473, byte miss ratio 0.7473
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-d cache size   109124, 2263900 req, miss ratio 0.6368, byte miss ratio 0.6368
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-d cache size   218249, 2263900 req, miss ratio 0.5752, byte miss ratio 0.5752
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-d cache size   436499, 2263900 req, miss ratio 0.5236, byte miss ratio 0.5236
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-d cache size   872999, 2263900 req, miss ratio 0.4865, byte miss ratio 0.4865
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO cache size     1091, 2263900 req, miss ratio 0.9554, byte miss ratio 0.9554
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO cache size     3273, 2263900 req, miss ratio 0.9112, byte miss ratio 0.9112
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO cache size    10912, 2263900 req, miss ratio 0.8409, byte miss ratio 0.8409
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO cache size    32737, 2263900 req, miss ratio 0.7481, byte miss ratio 0.7481
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO cache size   109124, 2263900 req, miss ratio 0.6378, byte miss ratio 0.6378
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO cache size   218249, 2263900 req, miss ratio 0.5752, byte miss ratio 0.5752
result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO cache size   436499, 2263900 req, miss ratio 0.5236, byte miss ratio 0.5236
