result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO cache size   984258, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO cache size  3280861, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO cache size  6561723, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO cache size 13123446, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO cache size 26246892, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO-d cache size    32808, 169521174 req, miss ratio 0.1938, byte miss ratio 0.1938
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO-d cache size    98425, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO-d cache size   328086, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO-d cache size   984258, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO-d cache size  3280861, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO-d cache size  6561723, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO-d cache size 13123446, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO-d cache size 26246892, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    32808, 169521174 req, miss ratio 0.2155, byte miss ratio 0.2155
result/cdn1_sjc.ns15.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    98425, 169521174 req, miss ratio 0.2041, byte miss ratio 0.2041
result/cdn1_sjc.ns15.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   328086, 169521174 req, miss ratio 0.1976, byte miss ratio 0.1976
result/cdn1_sjc.ns15.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   984258, 169521174 req, miss ratio 0.1939, byte miss ratio 0.1939
result/cdn1_sjc.ns15.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size  3280861, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size  6561723, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size 13123446, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size 26246892, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    32808, 169521174 req, miss ratio 0.1977, byte miss ratio 0.1977
result/cdn1_sjc.ns15.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    98425, 169521174 req, miss ratio 0.1939, byte miss ratio 0.1939
result/cdn1_sjc.ns15.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   328086, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   984258, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size  3280861, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size  6561723, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size 13123446, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size 26246892, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
