result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO cache size    53681, 11038608 req, miss ratio 0.0511, byte miss ratio 0.0511
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO cache size   107363, 11038608 req, miss ratio 0.0500, byte miss ratio 0.0500
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO cache size   214727, 11038608 req, miss ratio 0.0487, byte miss ratio 0.0487
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO cache size   429454, 11038608 req, miss ratio 0.0486, byte miss ratio 0.0486
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-d cache size      536, 11038608 req, miss ratio 0.3865, byte miss ratio 0.3865
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-d cache size     1610, 11038608 req, miss ratio 0.1678, byte miss ratio 0.1678
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-d cache size     5368, 11038608 req, miss ratio 0.0584, byte miss ratio 0.0584
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-d cache size    16104, 11038608 req, miss ratio 0.0532, byte miss ratio 0.0532
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-d cache size    53681, 11038608 req, miss ratio 0.0511, byte miss ratio 0.0511
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-d cache size   107363, 11038608 req, miss ratio 0.0500, byte miss ratio 0.0500
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-d cache size   214727, 11038608 req, miss ratio 0.0487, byte miss ratio 0.0487
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-d cache size   429454, 11038608 req, miss ratio 0.0486, byte miss ratio 0.0486
result/cdn1_lax.ns471.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      536, 11038608 req, miss ratio 0.4155, byte miss ratio 0.4155
result/cdn1_lax.ns471.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1610, 11038608 req, miss ratio 0.1686, byte miss ratio 0.1686
result/cdn1_lax.ns471.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     5368, 11038608 req, miss ratio 0.0625, byte miss ratio 0.0625
result/cdn1_lax.ns471.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    16104, 11038608 req, miss ratio 0.0558, byte miss ratio 0.0558
result/cdn1_lax.ns471.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    53681, 11038608 req, miss ratio 0.0524, byte miss ratio 0.0524
result/cdn1_lax.ns471.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   107363, 11038608 req, miss ratio 0.0506, byte miss ratio 0.0506
result/cdn1_lax.ns471.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   214727, 11038608 req, miss ratio 0.0490, byte miss ratio 0.0490
result/cdn1_lax.ns471.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   429454, 11038608 req, miss ratio 0.0486, byte miss ratio 0.0486
result/cdn1_lax.ns471.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      536, 11038608 req, miss ratio 0.3939, byte miss ratio 0.3939
result/cdn1_lax.ns471.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1610, 11038608 req, miss ratio 0.1611, byte miss ratio 0.1611
result/cdn1_lax.ns471.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     5368, 11038608 req, miss ratio 0.0588, byte miss ratio 0.0588
result/cdn1_lax.ns471.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    16104, 11038608 req, miss ratio 0.0545, byte miss ratio 0.0545
result/cdn1_lax.ns471.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    53681, 11038608 req, miss ratio 0.0531, byte miss ratio 0.0531
result/cdn1_lax.ns471.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   107363, 11038608 req, miss ratio 0.0514, byte miss ratio 0.0514
result/cdn1_lax.ns471.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   214727, 11038608 req, miss ratio 0.0496, byte miss ratio 0.0496
result/cdn1_lax.ns471.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   429454, 11038608 req, miss ratio 0.0487, byte miss ratio 0.0487
