result/cdn2_colo28.ns165.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        5, 1029366 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns165.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       15, 1029366 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns165.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       51, 1029366 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns165.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      153, 1029366 req, miss ratio 0.0283, byte miss ratio 0.0283
result/cdn2_colo28.ns165.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      511, 1029366 req, miss ratio 0.0164, byte miss ratio 0.0164
result/cdn2_colo28.ns165.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1023, 1029366 req, miss ratio 0.0108, byte miss ratio 0.0108
result/cdn2_colo28.ns165.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2047, 1029366 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_colo28.ns165.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4095, 1029366 req, miss ratio 0.0052, byte miss ratio 0.0052
result/cdn2_colo28.ns165.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        5, 1029366 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns165.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       15, 1029366 req, miss ratio 0.2921, byte miss ratio 0.2921
result/cdn2_colo28.ns165.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       51, 1029366 req, miss ratio 0.0483, byte miss ratio 0.0483
result/cdn2_colo28.ns165.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      153, 1029366 req, miss ratio 0.0283, byte miss ratio 0.0283
result/cdn2_colo28.ns165.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      511, 1029366 req, miss ratio 0.0161, byte miss ratio 0.0161
result/cdn2_colo28.ns165.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1023, 1029366 req, miss ratio 0.0109, byte miss ratio 0.0109
result/cdn2_colo28.ns165.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2047, 1029366 req, miss ratio 0.0068, byte miss ratio 0.0068
result/cdn2_colo28.ns165.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4095, 1029366 req, miss ratio 0.0055, byte miss ratio 0.0055
