result/cdn2_allcolo.ns546.oracleGeneral.zst Cacheus cache size     2862, 7329618 req, miss ratio 0.0053, byte miss ratio 0.0053
result/cdn2_allcolo.ns546.oracleGeneral.zst Cacheus cache size     5724, 7329618 req, miss ratio 0.0010, byte miss ratio 0.0010
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-d-1 cache size        7, 7329618 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-d-1 cache size       21, 7329618 req, miss ratio 0.6622, byte miss ratio 0.6622
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-d-1 cache size       71, 7329618 req, miss ratio 0.4985, byte miss ratio 0.4985
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-d-1 cache size      214, 7329618 req, miss ratio 0.3043, byte miss ratio 0.3043
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-d-1 cache size      715, 7329618 req, miss ratio 0.1180, byte miss ratio 0.1180
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-d-1 cache size     1431, 7329618 req, miss ratio 0.0415, byte miss ratio 0.0415
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-d-1 cache size     2862, 7329618 req, miss ratio 0.0058, byte miss ratio 0.0058
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-d-1 cache size     5724, 7329618 req, miss ratio 0.0010, byte miss ratio 0.0010
result/cdn2_allcolo.ns546.oracleGeneral.zst LRB cache size        7, 7329618 req, miss ratio 0.7911, byte miss ratio 0.7911
result/cdn2_allcolo.ns546.oracleGeneral.zst LRB cache size       21, 7329618 req, miss ratio 0.6597, byte miss ratio 0.6597
result/cdn2_allcolo.ns546.oracleGeneral.zst LRB cache size       71, 7329618 req, miss ratio 0.4758, byte miss ratio 0.4758
result/cdn2_allcolo.ns546.oracleGeneral.zst LRB cache size      214, 7329618 req, miss ratio 0.2768, byte miss ratio 0.2768
result/cdn2_allcolo.ns546.oracleGeneral.zst LRB cache size      715, 7329618 req, miss ratio 0.1015, byte miss ratio 0.1015
result/cdn2_allcolo.ns546.oracleGeneral.zst LRB cache size     1431, 7329618 req, miss ratio 0.0350, byte miss ratio 0.0350
result/cdn2_allcolo.ns546.oracleGeneral.zst LRB cache size     2862, 7329618 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_allcolo.ns546.oracleGeneral.zst LRB cache size     5724, 7329618 req, miss ratio 0.0011, byte miss ratio 0.0011
result/cdn2_allcolo.ns546.oracleGeneral.zst TwoQ cache size        7, 7329618 req, miss ratio 0.7968, byte miss ratio 0.7968
result/cdn2_allcolo.ns546.oracleGeneral.zst TwoQ cache size       21, 7329618 req, miss ratio 0.6883, byte miss ratio 0.6883
result/cdn2_allcolo.ns546.oracleGeneral.zst TwoQ cache size       71, 7329618 req, miss ratio 0.5213, byte miss ratio 0.5213
result/cdn2_allcolo.ns546.oracleGeneral.zst TwoQ cache size      214, 7329618 req, miss ratio 0.3294, byte miss ratio 0.3294
result/cdn2_allcolo.ns546.oracleGeneral.zst TwoQ cache size      715, 7329618 req, miss ratio 0.1335, byte miss ratio 0.1335
result/cdn2_allcolo.ns546.oracleGeneral.zst TwoQ cache size     1431, 7329618 req, miss ratio 0.0515, byte miss ratio 0.0515
result/cdn2_allcolo.ns546.oracleGeneral.zst TwoQ cache size     2862, 7329618 req, miss ratio 0.0081, byte miss ratio 0.0081
result/cdn2_allcolo.ns546.oracleGeneral.zst TwoQ cache size     5724, 7329618 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns546.oracleGeneral.zst B-LRU cache size        7, 7329618 req, miss ratio 0.8893, byte miss ratio 0.8893
result/cdn2_allcolo.ns546.oracleGeneral.zst B-LRU cache size       21, 7329618 req, miss ratio 0.7833, byte miss ratio 0.7833
result/cdn2_allcolo.ns546.oracleGeneral.zst B-LRU cache size       71, 7329618 req, miss ratio 0.6003, byte miss ratio 0.6003
result/cdn2_allcolo.ns546.oracleGeneral.zst B-LRU cache size      214, 7329618 req, miss ratio 0.3845, byte miss ratio 0.3845
result/cdn2_allcolo.ns546.oracleGeneral.zst B-LRU cache size      715, 7329618 req, miss ratio 0.1442, byte miss ratio 0.1442
result/cdn2_allcolo.ns546.oracleGeneral.zst B-LRU cache size     1431, 7329618 req, miss ratio 0.0499, byte miss ratio 0.0499
