result/cdn2_allcolo.ns2181.oracleGeneral.zst B-LRU cache size    97773, 1194786 req, miss ratio 0.1624, byte miss ratio 0.1624
result/cdn2_allcolo.ns2181.oracleGeneral.zst TwoQ cache size      122, 1194786 req, miss ratio 0.7037, byte miss ratio 0.7037
result/cdn2_allcolo.ns2181.oracleGeneral.zst TwoQ cache size      366, 1194786 req, miss ratio 0.5978, byte miss ratio 0.5978
result/cdn2_allcolo.ns2181.oracleGeneral.zst TwoQ cache size     1222, 1194786 req, miss ratio 0.4801, byte miss ratio 0.4801
result/cdn2_allcolo.ns2181.oracleGeneral.zst TwoQ cache size     3666, 1194786 req, miss ratio 0.3852, byte miss ratio 0.3852
result/cdn2_allcolo.ns2181.oracleGeneral.zst TwoQ cache size    12221, 1194786 req, miss ratio 0.2801, byte miss ratio 0.2801
result/cdn2_allcolo.ns2181.oracleGeneral.zst TwoQ cache size    24443, 1194786 req, miss ratio 0.2163, byte miss ratio 0.2163
result/cdn2_allcolo.ns2181.oracleGeneral.zst TwoQ cache size    48886, 1194786 req, miss ratio 0.1596, byte miss ratio 0.1596
result/cdn2_allcolo.ns2181.oracleGeneral.zst TwoQ cache size    97773, 1194786 req, miss ratio 0.1186, byte miss ratio 0.1186
result/cdn2_allcolo.ns2181.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      122, 1194786 req, miss ratio 0.7467, byte miss ratio 0.7467
result/cdn2_allcolo.ns2181.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      366, 1194786 req, miss ratio 0.6590, byte miss ratio 0.6590
result/cdn2_allcolo.ns2181.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1222, 1194786 req, miss ratio 0.5296, byte miss ratio 0.5296
result/cdn2_allcolo.ns2181.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3666, 1194786 req, miss ratio 0.4169, byte miss ratio 0.4169
result/cdn2_allcolo.ns2181.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    12221, 1194786 req, miss ratio 0.2958, byte miss ratio 0.2958
result/cdn2_allcolo.ns2181.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    24443, 1194786 req, miss ratio 0.2221, byte miss ratio 0.2221
result/cdn2_allcolo.ns2181.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    48886, 1194786 req, miss ratio 0.1509, byte miss ratio 0.1509
result/cdn2_allcolo.ns2181.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    97773, 1194786 req, miss ratio 0.1130, byte miss ratio 0.1130
result/cdn2_allcolo.ns2181.oracleGeneral.zst S4LRU(25:25:25:25) cache size      122, 1194786 req, miss ratio 0.7012, byte miss ratio 0.7012
result/cdn2_allcolo.ns2181.oracleGeneral.zst S4LRU(25:25:25:25) cache size      366, 1194786 req, miss ratio 0.5953, byte miss ratio 0.5953
result/cdn2_allcolo.ns2181.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1222, 1194786 req, miss ratio 0.4793, byte miss ratio 0.4793
result/cdn2_allcolo.ns2181.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3666, 1194786 req, miss ratio 0.3839, byte miss ratio 0.3839
result/cdn2_allcolo.ns2181.oracleGeneral.zst S4LRU(25:25:25:25) cache size    12221, 1194786 req, miss ratio 0.2748, byte miss ratio 0.2748
result/cdn2_allcolo.ns2181.oracleGeneral.zst S4LRU(25:25:25:25) cache size    24443, 1194786 req, miss ratio 0.2074, byte miss ratio 0.2074
result/cdn2_allcolo.ns2181.oracleGeneral.zst S4LRU(25:25:25:25) cache size    48886, 1194786 req, miss ratio 0.1438, byte miss ratio 0.1438
result/cdn2_allcolo.ns2181.oracleGeneral.zst S4LRU(25:25:25:25) cache size    97773, 1194786 req, miss ratio 0.1055, byte miss ratio 0.1055
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-d cache size      122, 1194786 req, miss ratio 0.7425, byte miss ratio 0.7425
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-d cache size      366, 1194786 req, miss ratio 0.6075, byte miss ratio 0.6075
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-d cache size     1222, 1194786 req, miss ratio 0.4739, byte miss ratio 0.4739
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-d cache size     3666, 1194786 req, miss ratio 0.3766, byte miss ratio 0.3766
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-d cache size    12221, 1194786 req, miss ratio 0.2695, byte miss ratio 0.2695
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-d cache size    24443, 1194786 req, miss ratio 0.2038, byte miss ratio 0.2038
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-d cache size    48886, 1194786 req, miss ratio 0.1439, byte miss ratio 0.1439
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-d cache size    97773, 1194786 req, miss ratio 0.1067, byte miss ratio 0.1067
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO cache size      122, 1194786 req, miss ratio 0.6860, byte miss ratio 0.6860
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO cache size      366, 1194786 req, miss ratio 0.5825, byte miss ratio 0.5825
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO cache size     1222, 1194786 req, miss ratio 0.4693, byte miss ratio 0.4693
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO cache size     3666, 1194786 req, miss ratio 0.3761, byte miss ratio 0.3761
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO cache size    12221, 1194786 req, miss ratio 0.2692, byte miss ratio 0.2692
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO cache size    24443, 1194786 req, miss ratio 0.2034, byte miss ratio 0.2034
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO cache size    48886, 1194786 req, miss ratio 0.1438, byte miss ratio 0.1438
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO cache size    97773, 1194786 req, miss ratio 0.1067, byte miss ratio 0.1067
result/cdn2_allcolo.ns2181.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      122, 1194786 req, miss ratio 0.6913, byte miss ratio 0.6913
result/cdn2_allcolo.ns2181.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      366, 1194786 req, miss ratio 0.5870, byte miss ratio 0.5870
result/cdn2_allcolo.ns2181.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1222, 1194786 req, miss ratio 0.5176, byte miss ratio 0.5176
result/cdn2_allcolo.ns2181.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3666, 1194786 req, miss ratio 0.4062, byte miss ratio 0.4062
result/cdn2_allcolo.ns2181.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    12221, 1194786 req, miss ratio 0.2836, byte miss ratio 0.2836
result/cdn2_allcolo.ns2181.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    24443, 1194786 req, miss ratio 0.2141, byte miss ratio 0.2141
result/cdn2_allcolo.ns2181.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    48886, 1194786 req, miss ratio 0.1502, byte miss ratio 0.1502
result/cdn2_allcolo.ns2181.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    97773, 1194786 req, miss ratio 0.1080, byte miss ratio 0.1080
result/cdn2_allcolo.ns2181.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      122, 1194786 req, miss ratio 0.6955, byte miss ratio 0.6955
result/cdn2_allcolo.ns2181.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      366, 1194786 req, miss ratio 0.5858, byte miss ratio 0.5858
result/cdn2_allcolo.ns2181.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1222, 1194786 req, miss ratio 0.4800, byte miss ratio 0.4800
result/cdn2_allcolo.ns2181.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3666, 1194786 req, miss ratio 0.3956, byte miss ratio 0.3956
result/cdn2_allcolo.ns2181.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    12221, 1194786 req, miss ratio 0.2793, byte miss ratio 0.2793
result/cdn2_allcolo.ns2181.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    24443, 1194786 req, miss ratio 0.2131, byte miss ratio 0.2131
result/cdn2_allcolo.ns2181.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    48886, 1194786 req, miss ratio 0.1516, byte miss ratio 0.1516
result/cdn2_allcolo.ns2181.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    97773, 1194786 req, miss ratio 0.1102, byte miss ratio 0.1102
