result/cdn2_colo28.ns317.oracleGeneral.zst LRB cache size    60557, 8199213 req, miss ratio 0.0956, byte miss ratio 0.0956
result/cdn2_colo28.ns317.oracleGeneral.zst LRB cache size   121115, 8199213 req, miss ratio 0.0905, byte miss ratio 0.0905
result/cdn2_colo28.ns317.oracleGeneral.zst LRB cache size   242231, 8199213 req, miss ratio 0.0850, byte miss ratio 0.0850
result/cdn2_colo28.ns317.oracleGeneral.zst LRB cache size   484462, 8199213 req, miss ratio 0.0742, byte miss ratio 0.0742
result/cdn2_colo28.ns317.oracleGeneral.zst S4LRU(25:25:25:25) cache size      605, 8199213 req, miss ratio 0.2137, byte miss ratio 0.2137
result/cdn2_colo28.ns317.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1816, 8199213 req, miss ratio 0.1650, byte miss ratio 0.1650
result/cdn2_colo28.ns317.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6055, 8199213 req, miss ratio 0.1272, byte miss ratio 0.1272
result/cdn2_colo28.ns317.oracleGeneral.zst S4LRU(25:25:25:25) cache size    18167, 8199213 req, miss ratio 0.1048, byte miss ratio 0.1048
result/cdn2_colo28.ns317.oracleGeneral.zst S4LRU(25:25:25:25) cache size    60557, 8199213 req, miss ratio 0.0941, byte miss ratio 0.0941
result/cdn2_colo28.ns317.oracleGeneral.zst S4LRU(25:25:25:25) cache size   121115, 8199213 req, miss ratio 0.0897, byte miss ratio 0.0897
result/cdn2_colo28.ns317.oracleGeneral.zst S4LRU(25:25:25:25) cache size   242231, 8199213 req, miss ratio 0.0841, byte miss ratio 0.0841
result/cdn2_colo28.ns317.oracleGeneral.zst S4LRU(25:25:25:25) cache size   484462, 8199213 req, miss ratio 0.0742, byte miss ratio 0.0742
result/cdn2_colo28.ns317.oracleGeneral.zst TwoQ cache size      605, 8199213 req, miss ratio 0.2008, byte miss ratio 0.2008
result/cdn2_colo28.ns317.oracleGeneral.zst TwoQ cache size     1816, 8199213 req, miss ratio 0.1564, byte miss ratio 0.1564
result/cdn2_colo28.ns317.oracleGeneral.zst TwoQ cache size     6055, 8199213 req, miss ratio 0.1212, byte miss ratio 0.1212
result/cdn2_colo28.ns317.oracleGeneral.zst TwoQ cache size    18167, 8199213 req, miss ratio 0.1043, byte miss ratio 0.1043
result/cdn2_colo28.ns317.oracleGeneral.zst TwoQ cache size    60557, 8199213 req, miss ratio 0.0970, byte miss ratio 0.0970
result/cdn2_colo28.ns317.oracleGeneral.zst TwoQ cache size   121115, 8199213 req, miss ratio 0.0932, byte miss ratio 0.0932
result/cdn2_colo28.ns317.oracleGeneral.zst TwoQ cache size   242231, 8199213 req, miss ratio 0.0897, byte miss ratio 0.0897
result/cdn2_colo28.ns317.oracleGeneral.zst TwoQ cache size   484462, 8199213 req, miss ratio 0.0756, byte miss ratio 0.0756
result/cdn2_colo28.ns317.oracleGeneral.zst B-LRU cache size      605, 8199213 req, miss ratio 0.3187, byte miss ratio 0.3187
result/cdn2_colo28.ns317.oracleGeneral.zst B-LRU cache size     1816, 8199213 req, miss ratio 0.2588, byte miss ratio 0.2588
result/cdn2_colo28.ns317.oracleGeneral.zst B-LRU cache size     6055, 8199213 req, miss ratio 0.2161, byte miss ratio 0.2161
result/cdn2_colo28.ns317.oracleGeneral.zst B-LRU cache size    18167, 8199213 req, miss ratio 0.1899, byte miss ratio 0.1899
result/cdn2_colo28.ns317.oracleGeneral.zst B-LRU cache size    60557, 8199213 req, miss ratio 0.1727, byte miss ratio 0.1727
result/cdn2_colo28.ns317.oracleGeneral.zst B-LRU cache size   121115, 8199213 req, miss ratio 0.1662, byte miss ratio 0.1662
result/cdn2_colo28.ns317.oracleGeneral.zst B-LRU cache size   242231, 8199213 req, miss ratio 0.1613, byte miss ratio 0.1613
result/cdn2_colo28.ns317.oracleGeneral.zst B-LRU cache size   484462, 8199213 req, miss ratio 0.1479, byte miss ratio 0.1479
result/cdn2_colo28.ns317.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      605, 8199213 req, miss ratio 0.2360, byte miss ratio 0.2360
result/cdn2_colo28.ns317.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1816, 8199213 req, miss ratio 0.1798, byte miss ratio 0.1798
result/cdn2_colo28.ns317.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6055, 8199213 req, miss ratio 0.1381, byte miss ratio 0.1381
result/cdn2_colo28.ns317.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    18167, 8199213 req, miss ratio 0.1132, byte miss ratio 0.1132
result/cdn2_colo28.ns317.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    60557, 8199213 req, miss ratio 0.0975, byte miss ratio 0.0975
result/cdn2_colo28.ns317.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   121115, 8199213 req, miss ratio 0.0911, byte miss ratio 0.0911
result/cdn2_colo28.ns317.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   242231, 8199213 req, miss ratio 0.0857, byte miss ratio 0.0857
result/cdn2_colo28.ns317.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   484462, 8199213 req, miss ratio 0.0746, byte miss ratio 0.0746
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO cache size      605, 8199213 req, miss ratio 0.1946, byte miss ratio 0.1946
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO cache size     1816, 8199213 req, miss ratio 0.1519, byte miss ratio 0.1519
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO cache size     6055, 8199213 req, miss ratio 0.1175, byte miss ratio 0.1175
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO cache size    18167, 8199213 req, miss ratio 0.1006, byte miss ratio 0.1006
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO cache size    60557, 8199213 req, miss ratio 0.0930, byte miss ratio 0.0930
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO cache size   121115, 8199213 req, miss ratio 0.0895, byte miss ratio 0.0895
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO cache size   242231, 8199213 req, miss ratio 0.0864, byte miss ratio 0.0864
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO cache size   484462, 8199213 req, miss ratio 0.0742, byte miss ratio 0.0742
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-d cache size      605, 8199213 req, miss ratio 0.1941, byte miss ratio 0.1941
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-d cache size     1816, 8199213 req, miss ratio 0.1514, byte miss ratio 0.1514
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-d cache size     6055, 8199213 req, miss ratio 0.1173, byte miss ratio 0.1173
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-d cache size    18167, 8199213 req, miss ratio 0.1006, byte miss ratio 0.1006
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-d cache size    60557, 8199213 req, miss ratio 0.0929, byte miss ratio 0.0929
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-d cache size   121115, 8199213 req, miss ratio 0.0895, byte miss ratio 0.0895
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-d cache size   242231, 8199213 req, miss ratio 0.0864, byte miss ratio 0.0864
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-d cache size   484462, 8199213 req, miss ratio 0.0742, byte miss ratio 0.0742
result/cdn2_colo28.ns317.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      605, 8199213 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn2_colo28.ns317.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1816, 8199213 req, miss ratio 0.1528, byte miss ratio 0.1528
result/cdn2_colo28.ns317.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6055, 8199213 req, miss ratio 0.1293, byte miss ratio 0.1293
result/cdn2_colo28.ns317.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    18167, 8199213 req, miss ratio 0.1059, byte miss ratio 0.1059
result/cdn2_colo28.ns317.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    60557, 8199213 req, miss ratio 0.0978, byte miss ratio 0.0978
result/cdn2_colo28.ns317.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   121115, 8199213 req, miss ratio 0.0919, byte miss ratio 0.0919
result/cdn2_colo28.ns317.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   242231, 8199213 req, miss ratio 0.0831, byte miss ratio 0.0831
result/cdn2_colo28.ns317.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   484462, 8199213 req, miss ratio 0.0754, byte miss ratio 0.0754
result/cdn2_colo28.ns317.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      605, 8199213 req, miss ratio 0.1964, byte miss ratio 0.1964
result/cdn2_colo28.ns317.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1816, 8199213 req, miss ratio 0.1589, byte miss ratio 0.1589
result/cdn2_colo28.ns317.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6055, 8199213 req, miss ratio 0.1318, byte miss ratio 0.1318
result/cdn2_colo28.ns317.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    18167, 8199213 req, miss ratio 0.1068, byte miss ratio 0.1068
result/cdn2_colo28.ns317.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    60557, 8199213 req, miss ratio 0.0979, byte miss ratio 0.0979
result/cdn2_colo28.ns317.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   121115, 8199213 req, miss ratio 0.0921, byte miss ratio 0.0921
result/cdn2_colo28.ns317.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   242231, 8199213 req, miss ratio 0.0833, byte miss ratio 0.0833
result/cdn2_colo28.ns317.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   484462, 8199213 req, miss ratio 0.0750, byte miss ratio 0.0750
