result/cdn2_colo28.ns991.oracleGeneral.zst S4LRU(25:25:25:25) cache size      227, 35158448 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_colo28.ns991.oracleGeneral.zst S4LRU(25:25:25:25) cache size      757, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2273, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7576, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S4LRU(25:25:25:25) cache size    15153, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S4LRU(25:25:25:25) cache size    30307, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S4LRU(25:25:25:25) cache size    60615, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst TwoQ cache size       75, 35158448 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_colo28.ns991.oracleGeneral.zst TwoQ cache size      227, 35158448 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_colo28.ns991.oracleGeneral.zst TwoQ cache size      757, 35158448 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_colo28.ns991.oracleGeneral.zst TwoQ cache size     2273, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst TwoQ cache size     7576, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst TwoQ cache size    15153, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst TwoQ cache size    30307, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst TwoQ cache size    60615, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst B-LRU cache size       75, 35158448 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_colo28.ns991.oracleGeneral.zst B-LRU cache size      227, 35158448 req, miss ratio 0.0024, byte miss ratio 0.0024
