result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-d-1 cache size    11547, 2347655 req, miss ratio 0.5084, byte miss ratio 0.5084
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-d-1 cache size    34641, 2347655 req, miss ratio 0.4953, byte miss ratio 0.4953
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-d-1 cache size   115472, 2347655 req, miss ratio 0.4928, byte miss ratio 0.4928
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-d-1 cache size   230945, 2347655 req, miss ratio 0.4924, byte miss ratio 0.4924
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-d-1 cache size   461891, 2347655 req, miss ratio 0.4923, byte miss ratio 0.4923
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-d-1 cache size   923782, 2347655 req, miss ratio 0.4919, byte miss ratio 0.4919
result/cdn2_allcolo.ns3815.oracleGeneral.zst LRB cache size     1154, 2347655 req, miss ratio 0.8243, byte miss ratio 0.8243
result/cdn2_allcolo.ns3815.oracleGeneral.zst LRB cache size     3464, 2347655 req, miss ratio 0.7393, byte miss ratio 0.7393
result/cdn2_allcolo.ns3815.oracleGeneral.zst LRB cache size    11547, 2347655 req, miss ratio 0.6474, byte miss ratio 0.6474
result/cdn2_allcolo.ns3815.oracleGeneral.zst LRB cache size    34641, 2347655 req, miss ratio 0.5435, byte miss ratio 0.5435
result/cdn2_allcolo.ns3815.oracleGeneral.zst LRB cache size   115472, 2347655 req, miss ratio 0.4983, byte miss ratio 0.4983
result/cdn2_allcolo.ns3815.oracleGeneral.zst LRB cache size   230945, 2347655 req, miss ratio 0.4931, byte miss ratio 0.4931
result/cdn2_allcolo.ns3815.oracleGeneral.zst LRB cache size   461891, 2347655 req, miss ratio 0.4926, byte miss ratio 0.4926
result/cdn2_allcolo.ns3815.oracleGeneral.zst LRB cache size   923782, 2347655 req, miss ratio 0.4919, byte miss ratio 0.4919
result/cdn2_allcolo.ns3815.oracleGeneral.zst TwoQ cache size     1154, 2347655 req, miss ratio 0.7258, byte miss ratio 0.7258
result/cdn2_allcolo.ns3815.oracleGeneral.zst TwoQ cache size     3464, 2347655 req, miss ratio 0.6548, byte miss ratio 0.6548
result/cdn2_allcolo.ns3815.oracleGeneral.zst TwoQ cache size    11547, 2347655 req, miss ratio 0.5266, byte miss ratio 0.5266
result/cdn2_allcolo.ns3815.oracleGeneral.zst TwoQ cache size    34641, 2347655 req, miss ratio 0.5018, byte miss ratio 0.5018
result/cdn2_allcolo.ns3815.oracleGeneral.zst TwoQ cache size   115472, 2347655 req, miss ratio 0.4983, byte miss ratio 0.4983
result/cdn2_allcolo.ns3815.oracleGeneral.zst TwoQ cache size   230945, 2347655 req, miss ratio 0.4973, byte miss ratio 0.4973
result/cdn2_allcolo.ns3815.oracleGeneral.zst TwoQ cache size   461891, 2347655 req, miss ratio 0.4969, byte miss ratio 0.4969
result/cdn2_allcolo.ns3815.oracleGeneral.zst TwoQ cache size   923782, 2347655 req, miss ratio 0.4965, byte miss ratio 0.4965
result/cdn2_allcolo.ns3815.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1154, 2347655 req, miss ratio 0.8032, byte miss ratio 0.8032
result/cdn2_allcolo.ns3815.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3464, 2347655 req, miss ratio 0.7238, byte miss ratio 0.7238
result/cdn2_allcolo.ns3815.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    11547, 2347655 req, miss ratio 0.6259, byte miss ratio 0.6259
result/cdn2_allcolo.ns3815.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    34641, 2347655 req, miss ratio 0.5315, byte miss ratio 0.5315
result/cdn2_allcolo.ns3815.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   115472, 2347655 req, miss ratio 0.5007, byte miss ratio 0.5007
result/cdn2_allcolo.ns3815.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   230945, 2347655 req, miss ratio 0.4972, byte miss ratio 0.4972
result/cdn2_allcolo.ns3815.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   461891, 2347655 req, miss ratio 0.4938, byte miss ratio 0.4938
result/cdn2_allcolo.ns3815.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   923782, 2347655 req, miss ratio 0.4934, byte miss ratio 0.4934
result/cdn2_allcolo.ns3815.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1154, 2347655 req, miss ratio 0.7349, byte miss ratio 0.7349
result/cdn2_allcolo.ns3815.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3464, 2347655 req, miss ratio 0.6622, byte miss ratio 0.6622
result/cdn2_allcolo.ns3815.oracleGeneral.zst S4LRU(25:25:25:25) cache size    11547, 2347655 req, miss ratio 0.5543, byte miss ratio 0.5543
result/cdn2_allcolo.ns3815.oracleGeneral.zst S4LRU(25:25:25:25) cache size    34641, 2347655 req, miss ratio 0.4954, byte miss ratio 0.4954
result/cdn2_allcolo.ns3815.oracleGeneral.zst S4LRU(25:25:25:25) cache size   115472, 2347655 req, miss ratio 0.4940, byte miss ratio 0.4940
result/cdn2_allcolo.ns3815.oracleGeneral.zst S4LRU(25:25:25:25) cache size   230945, 2347655 req, miss ratio 0.4936, byte miss ratio 0.4936
result/cdn2_allcolo.ns3815.oracleGeneral.zst S4LRU(25:25:25:25) cache size   461891, 2347655 req, miss ratio 0.4925, byte miss ratio 0.4925
result/cdn2_allcolo.ns3815.oracleGeneral.zst S4LRU(25:25:25:25) cache size   923782, 2347655 req, miss ratio 0.4919, byte miss ratio 0.4919
result/cdn2_allcolo.ns3815.oracleGeneral.zst B-LRU cache size     1154, 2347655 req, miss ratio 0.7684, byte miss ratio 0.7684
result/cdn2_allcolo.ns3815.oracleGeneral.zst B-LRU cache size     3464, 2347655 req, miss ratio 0.6828, byte miss ratio 0.6828
