result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO cache size     6612, 4893350 req, miss ratio 0.4634, byte miss ratio 0.4634
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO cache size    19837, 4893350 req, miss ratio 0.3515, byte miss ratio 0.3515
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO cache size    66124, 4893350 req, miss ratio 0.2417, byte miss ratio 0.2417
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO cache size   132249, 4893350 req, miss ratio 0.1940, byte miss ratio 0.1940
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO cache size   264498, 4893350 req, miss ratio 0.1605, byte miss ratio 0.1605
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO cache size   528997, 4893350 req, miss ratio 0.1377, byte miss ratio 0.1377
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-d cache size      661, 4893350 req, miss ratio 0.6834, byte miss ratio 0.6834
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-d cache size     1983, 4893350 req, miss ratio 0.5889, byte miss ratio 0.5889
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-d cache size     6612, 4893350 req, miss ratio 0.4695, byte miss ratio 0.4695
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-d cache size    19837, 4893350 req, miss ratio 0.3552, byte miss ratio 0.3552
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-d cache size    66124, 4893350 req, miss ratio 0.2435, byte miss ratio 0.2435
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-d cache size   132249, 4893350 req, miss ratio 0.1945, byte miss ratio 0.1945
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-d cache size   264498, 4893350 req, miss ratio 0.1605, byte miss ratio 0.1605
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-d cache size   528997, 4893350 req, miss ratio 0.1377, byte miss ratio 0.1377
result/cdn2_colo28.ns1171.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      661, 4893350 req, miss ratio 0.6656, byte miss ratio 0.6656
