result/cdn2_colo28.ns630.oracleGeneral.zst S4LRU(25:25:25:25) cache size    18229, 3909901 req, miss ratio 0.0118, byte miss ratio 0.0118
result/cdn2_colo28.ns630.oracleGeneral.zst S4LRU(25:25:25:25) cache size    36458, 3909901 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_colo28.ns630.oracleGeneral.zst B-LRU cache size       45, 3909901 req, miss ratio 0.4626, byte miss ratio 0.4626
result/cdn2_colo28.ns630.oracleGeneral.zst B-LRU cache size      136, 3909901 req, miss ratio 0.2479, byte miss ratio 0.2479
result/cdn2_colo28.ns630.oracleGeneral.zst B-LRU cache size      455, 3909901 req, miss ratio 0.1118, byte miss ratio 0.1118
result/cdn2_colo28.ns630.oracleGeneral.zst B-LRU cache size     1367, 3909901 req, miss ratio 0.0355, byte miss ratio 0.0355
result/cdn2_colo28.ns630.oracleGeneral.zst B-LRU cache size     4557, 3909901 req, miss ratio 0.0131, byte miss ratio 0.0131
result/cdn2_colo28.ns630.oracleGeneral.zst B-LRU cache size     9114, 3909901 req, miss ratio 0.0130, byte miss ratio 0.0130
result/cdn2_colo28.ns630.oracleGeneral.zst B-LRU cache size    18229, 3909901 req, miss ratio 0.0130, byte miss ratio 0.0130
result/cdn2_colo28.ns630.oracleGeneral.zst B-LRU cache size    36458, 3909901 req, miss ratio 0.0130, byte miss ratio 0.0130
result/cdn2_colo28.ns630.oracleGeneral.zst TwoQ cache size       45, 3909901 req, miss ratio 0.4078, byte miss ratio 0.4078
result/cdn2_colo28.ns630.oracleGeneral.zst TwoQ cache size      136, 3909901 req, miss ratio 0.2371, byte miss ratio 0.2371
result/cdn2_colo28.ns630.oracleGeneral.zst TwoQ cache size      455, 3909901 req, miss ratio 0.1061, byte miss ratio 0.1061
result/cdn2_colo28.ns630.oracleGeneral.zst TwoQ cache size     1367, 3909901 req, miss ratio 0.0373, byte miss ratio 0.0373
result/cdn2_colo28.ns630.oracleGeneral.zst TwoQ cache size     4557, 3909901 req, miss ratio 0.0137, byte miss ratio 0.0137
result/cdn2_colo28.ns630.oracleGeneral.zst TwoQ cache size     9114, 3909901 req, miss ratio 0.0131, byte miss ratio 0.0131
result/cdn2_colo28.ns630.oracleGeneral.zst TwoQ cache size    18229, 3909901 req, miss ratio 0.0128, byte miss ratio 0.0128
result/cdn2_colo28.ns630.oracleGeneral.zst TwoQ cache size    36458, 3909901 req, miss ratio 0.0125, byte miss ratio 0.0125
result/cdn2_colo28.ns630.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       45, 3909901 req, miss ratio 0.5290, byte miss ratio 0.5290
result/cdn2_colo28.ns630.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      136, 3909901 req, miss ratio 0.2587, byte miss ratio 0.2587
