result/cdn2_allcolo.ns2524.oracleGeneral.zst TwoQ cache size        9, 2570645 req, miss ratio 0.1030, byte miss ratio 0.1030
result/cdn2_allcolo.ns2524.oracleGeneral.zst TwoQ cache size       29, 2570645 req, miss ratio 0.0801, byte miss ratio 0.0801
result/cdn2_allcolo.ns2524.oracleGeneral.zst TwoQ cache size       99, 2570645 req, miss ratio 0.0578, byte miss ratio 0.0578
result/cdn2_allcolo.ns2524.oracleGeneral.zst TwoQ cache size      298, 2570645 req, miss ratio 0.0406, byte miss ratio 0.0406
result/cdn2_allcolo.ns2524.oracleGeneral.zst TwoQ cache size      994, 2570645 req, miss ratio 0.0280, byte miss ratio 0.0280
result/cdn2_allcolo.ns2524.oracleGeneral.zst TwoQ cache size     1989, 2570645 req, miss ratio 0.0233, byte miss ratio 0.0233
result/cdn2_allcolo.ns2524.oracleGeneral.zst TwoQ cache size     3979, 2570645 req, miss ratio 0.0153, byte miss ratio 0.0153
result/cdn2_allcolo.ns2524.oracleGeneral.zst TwoQ cache size     7959, 2570645 req, miss ratio 0.0061, byte miss ratio 0.0061
result/cdn2_allcolo.ns2524.oracleGeneral.zst S4LRU(25:25:25:25) cache size        9, 2570645 req, miss ratio 0.1077, byte miss ratio 0.1077
result/cdn2_allcolo.ns2524.oracleGeneral.zst S4LRU(25:25:25:25) cache size       29, 2570645 req, miss ratio 0.0835, byte miss ratio 0.0835
result/cdn2_allcolo.ns2524.oracleGeneral.zst S4LRU(25:25:25:25) cache size       99, 2570645 req, miss ratio 0.0614, byte miss ratio 0.0614
result/cdn2_allcolo.ns2524.oracleGeneral.zst S4LRU(25:25:25:25) cache size      298, 2570645 req, miss ratio 0.0440, byte miss ratio 0.0440
result/cdn2_allcolo.ns2524.oracleGeneral.zst S4LRU(25:25:25:25) cache size      994, 2570645 req, miss ratio 0.0304, byte miss ratio 0.0304
result/cdn2_allcolo.ns2524.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1989, 2570645 req, miss ratio 0.0230, byte miss ratio 0.0230
result/cdn2_allcolo.ns2524.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3979, 2570645 req, miss ratio 0.0128, byte miss ratio 0.0128
result/cdn2_allcolo.ns2524.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7959, 2570645 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO-d cache size        9, 2570645 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO-d cache size       29, 2570645 req, miss ratio 0.0826, byte miss ratio 0.0826
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO-d cache size       99, 2570645 req, miss ratio 0.0593, byte miss ratio 0.0593
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO-d cache size      298, 2570645 req, miss ratio 0.0415, byte miss ratio 0.0415
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO-d cache size      994, 2570645 req, miss ratio 0.0284, byte miss ratio 0.0284
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO-d cache size     1989, 2570645 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO-d cache size     3979, 2570645 req, miss ratio 0.0127, byte miss ratio 0.0127
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO-d cache size     7959, 2570645 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO cache size        9, 2570645 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO cache size       29, 2570645 req, miss ratio 0.0826, byte miss ratio 0.0826
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO cache size       99, 2570645 req, miss ratio 0.0588, byte miss ratio 0.0588
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO cache size      298, 2570645 req, miss ratio 0.0414, byte miss ratio 0.0414
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO cache size      994, 2570645 req, miss ratio 0.0284, byte miss ratio 0.0284
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO cache size     1989, 2570645 req, miss ratio 0.0202, byte miss ratio 0.0202
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO cache size     3979, 2570645 req, miss ratio 0.0127, byte miss ratio 0.0127
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO cache size     7959, 2570645 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_allcolo.ns2524.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        9, 2570645 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns2524.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       29, 2570645 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns2524.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       99, 2570645 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns2524.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      298, 2570645 req, miss ratio 0.0564, byte miss ratio 0.0564
result/cdn2_allcolo.ns2524.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      994, 2570645 req, miss ratio 0.0302, byte miss ratio 0.0302
result/cdn2_allcolo.ns2524.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1989, 2570645 req, miss ratio 0.0198, byte miss ratio 0.0198
result/cdn2_allcolo.ns2524.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3979, 2570645 req, miss ratio 0.0107, byte miss ratio 0.0107
result/cdn2_allcolo.ns2524.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7959, 2570645 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_allcolo.ns2524.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        9, 2570645 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns2524.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       29, 2570645 req, miss ratio 0.0958, byte miss ratio 0.0958
result/cdn2_allcolo.ns2524.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       99, 2570645 req, miss ratio 0.0615, byte miss ratio 0.0615
result/cdn2_allcolo.ns2524.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      298, 2570645 req, miss ratio 0.0398, byte miss ratio 0.0398
result/cdn2_allcolo.ns2524.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      994, 2570645 req, miss ratio 0.0292, byte miss ratio 0.0292
result/cdn2_allcolo.ns2524.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1989, 2570645 req, miss ratio 0.0199, byte miss ratio 0.0199
result/cdn2_allcolo.ns2524.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3979, 2570645 req, miss ratio 0.0114, byte miss ratio 0.0114
result/cdn2_allcolo.ns2524.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7959, 2570645 req, miss ratio 0.0042, byte miss ratio 0.0042
