result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-d cache size     1748, 7156933 req, miss ratio 0.0439, byte miss ratio 0.0439
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-d cache size     5244, 7156933 req, miss ratio 0.0383, byte miss ratio 0.0383
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-d cache size    17480, 7156933 req, miss ratio 0.0322, byte miss ratio 0.0322
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-d cache size    34960, 7156933 req, miss ratio 0.0295, byte miss ratio 0.0295
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-d cache size    69921, 7156933 req, miss ratio 0.0272, byte miss ratio 0.0272
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-d cache size   139842, 7156933 req, miss ratio 0.0247, byte miss ratio 0.0247
result/cdn2_allcolo.ns1519.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      174, 7156933 req, miss ratio 0.0539, byte miss ratio 0.0539
result/cdn2_allcolo.ns1519.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      524, 7156933 req, miss ratio 0.0496, byte miss ratio 0.0496
result/cdn2_allcolo.ns1519.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1748, 7156933 req, miss ratio 0.0450, byte miss ratio 0.0450
result/cdn2_allcolo.ns1519.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5244, 7156933 req, miss ratio 0.0394, byte miss ratio 0.0394
result/cdn2_allcolo.ns1519.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    17480, 7156933 req, miss ratio 0.0338, byte miss ratio 0.0338
result/cdn2_allcolo.ns1519.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    34960, 7156933 req, miss ratio 0.0304, byte miss ratio 0.0304
result/cdn2_allcolo.ns1519.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    69921, 7156933 req, miss ratio 0.0274, byte miss ratio 0.0274
result/cdn2_allcolo.ns1519.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   139842, 7156933 req, miss ratio 0.0249, byte miss ratio 0.0249
result/cdn2_allcolo.ns1519.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      174, 7156933 req, miss ratio 0.0536, byte miss ratio 0.0536
result/cdn2_allcolo.ns1519.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      524, 7156933 req, miss ratio 0.0495, byte miss ratio 0.0495
result/cdn2_allcolo.ns1519.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1748, 7156933 req, miss ratio 0.0443, byte miss ratio 0.0443
result/cdn2_allcolo.ns1519.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5244, 7156933 req, miss ratio 0.0397, byte miss ratio 0.0397
result/cdn2_allcolo.ns1519.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    17480, 7156933 req, miss ratio 0.0336, byte miss ratio 0.0336
result/cdn2_allcolo.ns1519.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    34960, 7156933 req, miss ratio 0.0305, byte miss ratio 0.0305
result/cdn2_allcolo.ns1519.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    69921, 7156933 req, miss ratio 0.0276, byte miss ratio 0.0276
result/cdn2_allcolo.ns1519.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   139842, 7156933 req, miss ratio 0.0251, byte miss ratio 0.0251
