result/cdn2_colo28.ns814.oracleGeneral.zst LRB cache size    31465, 1153099 req, miss ratio 0.0348, byte miss ratio 0.0348
result/cdn2_colo28.ns814.oracleGeneral.zst B-LRU cache size       39, 1153099 req, miss ratio 0.5499, byte miss ratio 0.5499
result/cdn2_colo28.ns814.oracleGeneral.zst B-LRU cache size      117, 1153099 req, miss ratio 0.4533, byte miss ratio 0.4533
result/cdn2_colo28.ns814.oracleGeneral.zst B-LRU cache size      393, 1153099 req, miss ratio 0.3654, byte miss ratio 0.3654
result/cdn2_colo28.ns814.oracleGeneral.zst B-LRU cache size     1179, 1153099 req, miss ratio 0.2528, byte miss ratio 0.2528
result/cdn2_colo28.ns814.oracleGeneral.zst B-LRU cache size     3933, 1153099 req, miss ratio 0.1224, byte miss ratio 0.1224
result/cdn2_colo28.ns814.oracleGeneral.zst B-LRU cache size     7866, 1153099 req, miss ratio 0.0719, byte miss ratio 0.0719
result/cdn2_colo28.ns814.oracleGeneral.zst B-LRU cache size    15732, 1153099 req, miss ratio 0.0521, byte miss ratio 0.0521
result/cdn2_colo28.ns814.oracleGeneral.zst B-LRU cache size    31465, 1153099 req, miss ratio 0.0511, byte miss ratio 0.0511
result/cdn2_colo28.ns814.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       39, 1153099 req, miss ratio 0.6085, byte miss ratio 0.6085
result/cdn2_colo28.ns814.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      117, 1153099 req, miss ratio 0.4324, byte miss ratio 0.4324
result/cdn2_colo28.ns814.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      393, 1153099 req, miss ratio 0.3583, byte miss ratio 0.3583
result/cdn2_colo28.ns814.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1179, 1153099 req, miss ratio 0.2494, byte miss ratio 0.2494
result/cdn2_colo28.ns814.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3933, 1153099 req, miss ratio 0.1275, byte miss ratio 0.1275
result/cdn2_colo28.ns814.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7866, 1153099 req, miss ratio 0.0780, byte miss ratio 0.0780
result/cdn2_colo28.ns814.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    15732, 1153099 req, miss ratio 0.0486, byte miss ratio 0.0486
result/cdn2_colo28.ns814.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    31465, 1153099 req, miss ratio 0.0383, byte miss ratio 0.0383
result/cdn2_colo28.ns814.oracleGeneral.zst S4LRU(25:25:25:25) cache size       39, 1153099 req, miss ratio 0.4660, byte miss ratio 0.4660
result/cdn2_colo28.ns814.oracleGeneral.zst S4LRU(25:25:25:25) cache size      117, 1153099 req, miss ratio 0.4047, byte miss ratio 0.4047
result/cdn2_colo28.ns814.oracleGeneral.zst S4LRU(25:25:25:25) cache size      393, 1153099 req, miss ratio 0.3148, byte miss ratio 0.3148
result/cdn2_colo28.ns814.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1179, 1153099 req, miss ratio 0.2150, byte miss ratio 0.2150
result/cdn2_colo28.ns814.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3933, 1153099 req, miss ratio 0.1076, byte miss ratio 0.1076
result/cdn2_colo28.ns814.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7866, 1153099 req, miss ratio 0.0662, byte miss ratio 0.0662
result/cdn2_colo28.ns814.oracleGeneral.zst S4LRU(25:25:25:25) cache size    15732, 1153099 req, miss ratio 0.0440, byte miss ratio 0.0440
result/cdn2_colo28.ns814.oracleGeneral.zst S4LRU(25:25:25:25) cache size    31465, 1153099 req, miss ratio 0.0348, byte miss ratio 0.0348
result/cdn2_colo28.ns814.oracleGeneral.zst TwoQ cache size       39, 1153099 req, miss ratio 0.4655, byte miss ratio 0.4655
result/cdn2_colo28.ns814.oracleGeneral.zst TwoQ cache size      117, 1153099 req, miss ratio 0.4083, byte miss ratio 0.4083
result/cdn2_colo28.ns814.oracleGeneral.zst TwoQ cache size      393, 1153099 req, miss ratio 0.3209, byte miss ratio 0.3209
result/cdn2_colo28.ns814.oracleGeneral.zst TwoQ cache size     1179, 1153099 req, miss ratio 0.2223, byte miss ratio 0.2223
result/cdn2_colo28.ns814.oracleGeneral.zst TwoQ cache size     3933, 1153099 req, miss ratio 0.1151, byte miss ratio 0.1151
result/cdn2_colo28.ns814.oracleGeneral.zst TwoQ cache size     7866, 1153099 req, miss ratio 0.0717, byte miss ratio 0.0717
result/cdn2_colo28.ns814.oracleGeneral.zst TwoQ cache size    15732, 1153099 req, miss ratio 0.0507, byte miss ratio 0.0507
result/cdn2_colo28.ns814.oracleGeneral.zst TwoQ cache size    31465, 1153099 req, miss ratio 0.0409, byte miss ratio 0.0409
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO cache size       39, 1153099 req, miss ratio 0.4553, byte miss ratio 0.4553
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO cache size      117, 1153099 req, miss ratio 0.3963, byte miss ratio 0.3963
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO cache size      393, 1153099 req, miss ratio 0.3064, byte miss ratio 0.3064
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO cache size     1179, 1153099 req, miss ratio 0.2081, byte miss ratio 0.2081
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO cache size     3933, 1153099 req, miss ratio 0.1035, byte miss ratio 0.1035
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO cache size     7866, 1153099 req, miss ratio 0.0638, byte miss ratio 0.0638
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO cache size    15732, 1153099 req, miss ratio 0.0444, byte miss ratio 0.0444
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO cache size    31465, 1153099 req, miss ratio 0.0350, byte miss ratio 0.0350
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO-d cache size       39, 1153099 req, miss ratio 0.4601, byte miss ratio 0.4601
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO-d cache size      117, 1153099 req, miss ratio 0.4196, byte miss ratio 0.4196
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO-d cache size      393, 1153099 req, miss ratio 0.3230, byte miss ratio 0.3230
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO-d cache size     1179, 1153099 req, miss ratio 0.2169, byte miss ratio 0.2169
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO-d cache size     3933, 1153099 req, miss ratio 0.1047, byte miss ratio 0.1047
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO-d cache size     7866, 1153099 req, miss ratio 0.0640, byte miss ratio 0.0640
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO-d cache size    15732, 1153099 req, miss ratio 0.0444, byte miss ratio 0.0444
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO-d cache size    31465, 1153099 req, miss ratio 0.0350, byte miss ratio 0.0350
result/cdn2_colo28.ns814.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       39, 1153099 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns814.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      117, 1153099 req, miss ratio 0.3985, byte miss ratio 0.3985
result/cdn2_colo28.ns814.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      393, 1153099 req, miss ratio 0.2985, byte miss ratio 0.2985
result/cdn2_colo28.ns814.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1179, 1153099 req, miss ratio 0.2046, byte miss ratio 0.2046
result/cdn2_colo28.ns814.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3933, 1153099 req, miss ratio 0.1007, byte miss ratio 0.1007
result/cdn2_colo28.ns814.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7866, 1153099 req, miss ratio 0.0636, byte miss ratio 0.0636
result/cdn2_colo28.ns814.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    15732, 1153099 req, miss ratio 0.0453, byte miss ratio 0.0453
result/cdn2_colo28.ns814.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    31465, 1153099 req, miss ratio 0.0353, byte miss ratio 0.0353
result/cdn2_colo28.ns814.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       39, 1153099 req, miss ratio 0.4590, byte miss ratio 0.4590
result/cdn2_colo28.ns814.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      117, 1153099 req, miss ratio 0.3992, byte miss ratio 0.3992
result/cdn2_colo28.ns814.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      393, 1153099 req, miss ratio 0.3081, byte miss ratio 0.3081
result/cdn2_colo28.ns814.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1179, 1153099 req, miss ratio 0.2078, byte miss ratio 0.2078
result/cdn2_colo28.ns814.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3933, 1153099 req, miss ratio 0.1039, byte miss ratio 0.1039
result/cdn2_colo28.ns814.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7866, 1153099 req, miss ratio 0.0666, byte miss ratio 0.0666
result/cdn2_colo28.ns814.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    15732, 1153099 req, miss ratio 0.0462, byte miss ratio 0.0462
result/cdn2_colo28.ns814.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    31465, 1153099 req, miss ratio 0.0366, byte miss ratio 0.0366
