result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO cache size    15108, 120746519 req, miss ratio 0.3077, byte miss ratio 0.3077
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO cache size    45324, 120746519 req, miss ratio 0.1974, byte miss ratio 0.1974
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO cache size   151083, 120746519 req, miss ratio 0.1601, byte miss ratio 0.1601
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO cache size   453249, 120746519 req, miss ratio 0.1400, byte miss ratio 0.1400
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO cache size  1510831, 120746519 req, miss ratio 0.1254, byte miss ratio 0.1254
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO cache size  3021663, 120746519 req, miss ratio 0.1252, byte miss ratio 0.1252
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    15108, 120746519 req, miss ratio 0.3643, byte miss ratio 0.3643
result/cdn2_colo28.ns19.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    45324, 120746519 req, miss ratio 0.3082, byte miss ratio 0.3082
result/cdn2_colo28.ns19.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   151083, 120746519 req, miss ratio 0.2765, byte miss ratio 0.2765
result/cdn2_colo28.ns19.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   453249, 120746519 req, miss ratio 0.2662, byte miss ratio 0.2662
result/cdn2_colo28.ns19.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1510831, 120746519 req, miss ratio 0.2313, byte miss ratio 0.2313
result/cdn2_colo28.ns19.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  3021663, 120746519 req, miss ratio 0.1892, byte miss ratio 0.1892
result/cdn2_colo28.ns19.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  6043327, 120746519 req, miss ratio 0.1485, byte miss ratio 0.1485
result/cdn2_colo28.ns19.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size 12086654, 120746519 req, miss ratio 0.1258, byte miss ratio 0.1258
result/cdn2_colo28.ns19.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    15108, 120746519 req, miss ratio 0.3668, byte miss ratio 0.3668
result/cdn2_colo28.ns19.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    45324, 120746519 req, miss ratio 0.3074, byte miss ratio 0.3074
result/cdn2_colo28.ns19.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   151083, 120746519 req, miss ratio 0.3597, byte miss ratio 0.3597
result/cdn2_colo28.ns19.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   453249, 120746519 req, miss ratio 0.1898, byte miss ratio 0.1898
result/cdn2_colo28.ns19.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1510831, 120746519 req, miss ratio 0.1268, byte miss ratio 0.1268
result/cdn2_colo28.ns19.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  3021663, 120746519 req, miss ratio 0.1252, byte miss ratio 0.1252
result/cdn2_colo28.ns19.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
