result/cdn2_allcolo.ns57.oracleGeneral.zst B-LRU cache size     1425, 56158071 req, miss ratio 0.1868, byte miss ratio 0.1868
result/cdn2_allcolo.ns57.oracleGeneral.zst B-LRU cache size     4753, 56158071 req, miss ratio 0.1105, byte miss ratio 0.1105
result/cdn2_allcolo.ns57.oracleGeneral.zst B-LRU cache size    14259, 56158071 req, miss ratio 0.0593, byte miss ratio 0.0593
result/cdn2_allcolo.ns57.oracleGeneral.zst B-LRU cache size    47532, 56158071 req, miss ratio 0.0254, byte miss ratio 0.0254
result/cdn2_allcolo.ns57.oracleGeneral.zst B-LRU cache size    95064, 56158071 req, miss ratio 0.0161, byte miss ratio 0.0161
result/cdn2_allcolo.ns57.oracleGeneral.zst B-LRU cache size   190129, 56158071 req, miss ratio 0.0127, byte miss ratio 0.0127
result/cdn2_allcolo.ns57.oracleGeneral.zst B-LRU cache size   380259, 56158071 req, miss ratio 0.0125, byte miss ratio 0.0125
result/cdn2_allcolo.ns57.oracleGeneral.zst TwoQ cache size      475, 56158071 req, miss ratio 0.2236, byte miss ratio 0.2236
result/cdn2_allcolo.ns57.oracleGeneral.zst TwoQ cache size     1425, 56158071 req, miss ratio 0.1563, byte miss ratio 0.1563
result/cdn2_allcolo.ns57.oracleGeneral.zst TwoQ cache size     4753, 56158071 req, miss ratio 0.0949, byte miss ratio 0.0949
result/cdn2_allcolo.ns57.oracleGeneral.zst TwoQ cache size    14259, 56158071 req, miss ratio 0.0529, byte miss ratio 0.0529
result/cdn2_allcolo.ns57.oracleGeneral.zst TwoQ cache size    47532, 56158071 req, miss ratio 0.0244, byte miss ratio 0.0244
result/cdn2_allcolo.ns57.oracleGeneral.zst TwoQ cache size    95064, 56158071 req, miss ratio 0.0156, byte miss ratio 0.0156
result/cdn2_allcolo.ns57.oracleGeneral.zst TwoQ cache size   190129, 56158071 req, miss ratio 0.0118, byte miss ratio 0.0118
result/cdn2_allcolo.ns57.oracleGeneral.zst TwoQ cache size   380259, 56158071 req, miss ratio 0.0098, byte miss ratio 0.0098
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO cache size      475, 56158071 req, miss ratio 0.2129, byte miss ratio 0.2129
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO cache size     1425, 56158071 req, miss ratio 0.1469, byte miss ratio 0.1469
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO cache size     4753, 56158071 req, miss ratio 0.0884, byte miss ratio 0.0884
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO cache size    14259, 56158071 req, miss ratio 0.0488, byte miss ratio 0.0488
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO cache size    47532, 56158071 req, miss ratio 0.0220, byte miss ratio 0.0220
