result/cdn2_colo28.ns1094.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3921, 1165209 req, miss ratio 0.0399, byte miss ratio 0.0399
result/cdn2_colo28.ns1094.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7842, 1165209 req, miss ratio 0.0095, byte miss ratio 0.0095
result/cdn2_colo28.ns1094.oracleGeneral.zst TwoQ cache size        9, 1165209 req, miss ratio 0.7953, byte miss ratio 0.7953
result/cdn2_colo28.ns1094.oracleGeneral.zst TwoQ cache size       29, 1165209 req, miss ratio 0.6977, byte miss ratio 0.6977
result/cdn2_colo28.ns1094.oracleGeneral.zst TwoQ cache size       98, 1165209 req, miss ratio 0.5577, byte miss ratio 0.5577
result/cdn2_colo28.ns1094.oracleGeneral.zst TwoQ cache size      294, 1165209 req, miss ratio 0.3815, byte miss ratio 0.3815
result/cdn2_colo28.ns1094.oracleGeneral.zst TwoQ cache size      980, 1165209 req, miss ratio 0.1842, byte miss ratio 0.1842
result/cdn2_colo28.ns1094.oracleGeneral.zst TwoQ cache size     1960, 1165209 req, miss ratio 0.1070, byte miss ratio 0.1070
result/cdn2_colo28.ns1094.oracleGeneral.zst TwoQ cache size     3921, 1165209 req, miss ratio 0.0460, byte miss ratio 0.0460
result/cdn2_colo28.ns1094.oracleGeneral.zst TwoQ cache size     7842, 1165209 req, miss ratio 0.0142, byte miss ratio 0.0142
result/cdn2_colo28.ns1094.oracleGeneral.zst B-LRU cache size        9, 1165209 req, miss ratio 0.8273, byte miss ratio 0.8273
result/cdn2_colo28.ns1094.oracleGeneral.zst B-LRU cache size       29, 1165209 req, miss ratio 0.7375, byte miss ratio 0.7375
result/cdn2_colo28.ns1094.oracleGeneral.zst B-LRU cache size       98, 1165209 req, miss ratio 0.5978, byte miss ratio 0.5978
result/cdn2_colo28.ns1094.oracleGeneral.zst B-LRU cache size      294, 1165209 req, miss ratio 0.4309, byte miss ratio 0.4309
result/cdn2_colo28.ns1094.oracleGeneral.zst B-LRU cache size      980, 1165209 req, miss ratio 0.2083, byte miss ratio 0.2083
result/cdn2_colo28.ns1094.oracleGeneral.zst B-LRU cache size     1960, 1165209 req, miss ratio 0.1138, byte miss ratio 0.1138
result/cdn2_colo28.ns1094.oracleGeneral.zst B-LRU cache size     3921, 1165209 req, miss ratio 0.0468, byte miss ratio 0.0468
result/cdn2_colo28.ns1094.oracleGeneral.zst B-LRU cache size     7842, 1165209 req, miss ratio 0.0161, byte miss ratio 0.0161
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO cache size        9, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO cache size       29, 1165209 req, miss ratio 0.6913, byte miss ratio 0.6913
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO cache size       98, 1165209 req, miss ratio 0.5500, byte miss ratio 0.5500
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO cache size      294, 1165209 req, miss ratio 0.3624, byte miss ratio 0.3624
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO cache size      980, 1165209 req, miss ratio 0.1702, byte miss ratio 0.1702
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO cache size     1960, 1165209 req, miss ratio 0.0983, byte miss ratio 0.0983
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO cache size     3921, 1165209 req, miss ratio 0.0385, byte miss ratio 0.0385
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO cache size     7842, 1165209 req, miss ratio 0.0096, byte miss ratio 0.0096
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-d cache size        9, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-d cache size       29, 1165209 req, miss ratio 0.6919, byte miss ratio 0.6919
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-d cache size       98, 1165209 req, miss ratio 0.5602, byte miss ratio 0.5602
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-d cache size      294, 1165209 req, miss ratio 0.3678, byte miss ratio 0.3678
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-d cache size      980, 1165209 req, miss ratio 0.1718, byte miss ratio 0.1718
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-d cache size     1960, 1165209 req, miss ratio 0.0988, byte miss ratio 0.0988
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-d cache size     3921, 1165209 req, miss ratio 0.0388, byte miss ratio 0.0388
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-d cache size     7842, 1165209 req, miss ratio 0.0096, byte miss ratio 0.0096
result/cdn2_colo28.ns1094.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        9, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
