result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-d cache size  4487909, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO cache size     5609, 151714436 req, miss ratio 0.0511, byte miss ratio 0.0511
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO cache size    16829, 151714436 req, miss ratio 0.0440, byte miss ratio 0.0440
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO cache size    56098, 151714436 req, miss ratio 0.0389, byte miss ratio 0.0389
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO cache size   168296, 151714436 req, miss ratio 0.0376, byte miss ratio 0.0376
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO cache size   560988, 151714436 req, miss ratio 0.0371, byte miss ratio 0.0371
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO cache size  1121977, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO cache size  2243954, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO cache size  4487909, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5609, 151714436 req, miss ratio 0.0935, byte miss ratio 0.0935
result/cdn2_colo28.ns89.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    16829, 151714436 req, miss ratio 0.0914, byte miss ratio 0.0914
result/cdn2_colo28.ns89.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    56098, 151714436 req, miss ratio 0.0769, byte miss ratio 0.0769
result/cdn2_colo28.ns89.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   168296, 151714436 req, miss ratio 0.0529, byte miss ratio 0.0529
result/cdn2_colo28.ns89.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   560988, 151714436 req, miss ratio 0.0414, byte miss ratio 0.0414
result/cdn2_colo28.ns89.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1121977, 151714436 req, miss ratio 0.0393, byte miss ratio 0.0393
result/cdn2_colo28.ns89.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  2243954, 151714436 req, miss ratio 0.0384, byte miss ratio 0.0384
result/cdn2_colo28.ns89.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  4487909, 151714436 req, miss ratio 0.0373, byte miss ratio 0.0373
result/cdn2_colo28.ns89.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5609, 151714436 req, miss ratio 0.0840, byte miss ratio 0.0840
result/cdn2_colo28.ns89.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    16829, 151714436 req, miss ratio 0.0563, byte miss ratio 0.0563
result/cdn2_colo28.ns89.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    56098, 151714436 req, miss ratio 0.0434, byte miss ratio 0.0434
result/cdn2_colo28.ns89.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   168296, 151714436 req, miss ratio 0.0402, byte miss ratio 0.0402
result/cdn2_colo28.ns89.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   560988, 151714436 req, miss ratio 0.0390, byte miss ratio 0.0390
result/cdn2_colo28.ns89.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1121977, 151714436 req, miss ratio 0.0382, byte miss ratio 0.0382
result/cdn2_colo28.ns89.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  2243954, 151714436 req, miss ratio 0.0376, byte miss ratio 0.0376
result/cdn2_colo28.ns89.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  4487909, 151714436 req, miss ratio 0.0371, byte miss ratio 0.0371
