result/cdn2_allcolo.ns83.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      574, 5707204 req, miss ratio 0.0088, byte miss ratio 0.0088
result/cdn2_allcolo.ns83.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1914, 5707204 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns83.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3829, 5707204 req, miss ratio 0.0050, byte miss ratio 0.0050
result/cdn2_allcolo.ns83.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7658, 5707204 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns83.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    15317, 5707204 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns83.oracleGeneral.zst B-LRU cache size       19, 5707204 req, miss ratio 0.0263, byte miss ratio 0.0263
result/cdn2_allcolo.ns83.oracleGeneral.zst B-LRU cache size       57, 5707204 req, miss ratio 0.0189, byte miss ratio 0.0189
result/cdn2_allcolo.ns83.oracleGeneral.zst B-LRU cache size      191, 5707204 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_allcolo.ns83.oracleGeneral.zst B-LRU cache size      574, 5707204 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn2_allcolo.ns83.oracleGeneral.zst B-LRU cache size     1914, 5707204 req, miss ratio 0.0102, byte miss ratio 0.0102
result/cdn2_allcolo.ns83.oracleGeneral.zst B-LRU cache size     3829, 5707204 req, miss ratio 0.0085, byte miss ratio 0.0085
result/cdn2_allcolo.ns83.oracleGeneral.zst B-LRU cache size     7658, 5707204 req, miss ratio 0.0073, byte miss ratio 0.0073
result/cdn2_allcolo.ns83.oracleGeneral.zst B-LRU cache size    15317, 5707204 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_allcolo.ns83.oracleGeneral.zst TwoQ cache size       19, 5707204 req, miss ratio 0.0196, byte miss ratio 0.0196
result/cdn2_allcolo.ns83.oracleGeneral.zst TwoQ cache size       57, 5707204 req, miss ratio 0.0129, byte miss ratio 0.0129
result/cdn2_allcolo.ns83.oracleGeneral.zst TwoQ cache size      191, 5707204 req, miss ratio 0.0098, byte miss ratio 0.0098
result/cdn2_allcolo.ns83.oracleGeneral.zst TwoQ cache size      574, 5707204 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_allcolo.ns83.oracleGeneral.zst TwoQ cache size     1914, 5707204 req, miss ratio 0.0057, byte miss ratio 0.0057
result/cdn2_allcolo.ns83.oracleGeneral.zst TwoQ cache size     3829, 5707204 req, miss ratio 0.0048, byte miss ratio 0.0048
