result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO cache size     2070, 1796791 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO cache size     4140, 1796791 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-d cache size        5, 1796791 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-d cache size       15, 1796791 req, miss ratio 0.1381, byte miss ratio 0.1381
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-d cache size       51, 1796791 req, miss ratio 0.0087, byte miss ratio 0.0087
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-d cache size      155, 1796791 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-d cache size      517, 1796791 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-d cache size     1035, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-d cache size     2070, 1796791 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-d cache size     4140, 1796791 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_colo28.ns1050.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        5, 1796791 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns1050.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       15, 1796791 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns1050.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       51, 1796791 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns1050.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      155, 1796791 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_colo28.ns1050.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      517, 1796791 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_colo28.ns1050.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1035, 1796791 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_colo28.ns1050.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2070, 1796791 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_colo28.ns1050.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4140, 1796791 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1050.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        5, 1796791 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns1050.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       15, 1796791 req, miss ratio 0.1225, byte miss ratio 0.1225
result/cdn2_colo28.ns1050.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       51, 1796791 req, miss ratio 0.0089, byte miss ratio 0.0089
result/cdn2_colo28.ns1050.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      155, 1796791 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_colo28.ns1050.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      517, 1796791 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_colo28.ns1050.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1035, 1796791 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_colo28.ns1050.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2070, 1796791 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_colo28.ns1050.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4140, 1796791 req, miss ratio 0.0029, byte miss ratio 0.0029
