result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO cache size    62360, 3914028 req, miss ratio 0.3629, byte miss ratio 0.3629
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO cache size   124720, 3914028 req, miss ratio 0.2677, byte miss ratio 0.2677
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO cache size   249440, 3914028 req, miss ratio 0.1940, byte miss ratio 0.1940
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO cache size   498880, 3914028 req, miss ratio 0.1658, byte miss ratio 0.1658
result/tencentBlock.ns19067.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      623, 3914028 req, miss ratio 0.6094, byte miss ratio 0.6094
result/tencentBlock.ns19067.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1870, 3914028 req, miss ratio 0.5682, byte miss ratio 0.5682
result/tencentBlock.ns19067.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6236, 3914028 req, miss ratio 0.5218, byte miss ratio 0.5218
result/tencentBlock.ns19067.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    18708, 3914028 req, miss ratio 0.4686, byte miss ratio 0.4686
result/tencentBlock.ns19067.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    62360, 3914028 req, miss ratio 0.3846, byte miss ratio 0.3846
result/tencentBlock.ns19067.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   124720, 3914028 req, miss ratio 0.2847, byte miss ratio 0.2847
result/tencentBlock.ns19067.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   249440, 3914028 req, miss ratio 0.2117, byte miss ratio 0.2117
result/tencentBlock.ns19067.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   498880, 3914028 req, miss ratio 0.1661, byte miss ratio 0.1661
result/tencentBlock.ns19067.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      623, 3914028 req, miss ratio 0.5947, byte miss ratio 0.5947
result/tencentBlock.ns19067.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1870, 3914028 req, miss ratio 0.5366, byte miss ratio 0.5366
result/tencentBlock.ns19067.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6236, 3914028 req, miss ratio 0.5054, byte miss ratio 0.5054
result/tencentBlock.ns19067.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    18708, 3914028 req, miss ratio 0.4670, byte miss ratio 0.4670
result/tencentBlock.ns19067.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    62360, 3914028 req, miss ratio 0.3865, byte miss ratio 0.3865
result/tencentBlock.ns19067.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   124720, 3914028 req, miss ratio 0.2873, byte miss ratio 0.2873
result/tencentBlock.ns19067.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   249440, 3914028 req, miss ratio 0.2149, byte miss ratio 0.2149
result/tencentBlock.ns19067.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   498880, 3914028 req, miss ratio 0.1707, byte miss ratio 0.1707
