result/cdn2_colo28.ns3628.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1929, 1377456 req, miss ratio 0.0606, byte miss ratio 0.0606
result/cdn2_colo28.ns3628.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6431, 1377456 req, miss ratio 0.0555, byte miss ratio 0.0555
result/cdn2_colo28.ns3628.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    12862, 1377456 req, miss ratio 0.0531, byte miss ratio 0.0531
result/cdn2_colo28.ns3628.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    25724, 1377456 req, miss ratio 0.0505, byte miss ratio 0.0505
result/cdn2_colo28.ns3628.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    51448, 1377456 req, miss ratio 0.0470, byte miss ratio 0.0470
result/cdn2_colo28.ns3628.oracleGeneral.zst S4LRU(25:25:25:25) cache size       64, 1377456 req, miss ratio 0.1859, byte miss ratio 0.1859
result/cdn2_colo28.ns3628.oracleGeneral.zst S4LRU(25:25:25:25) cache size      192, 1377456 req, miss ratio 0.0780, byte miss ratio 0.0780
result/cdn2_colo28.ns3628.oracleGeneral.zst S4LRU(25:25:25:25) cache size      643, 1377456 req, miss ratio 0.0630, byte miss ratio 0.0630
result/cdn2_colo28.ns3628.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1929, 1377456 req, miss ratio 0.0581, byte miss ratio 0.0581
result/cdn2_colo28.ns3628.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6431, 1377456 req, miss ratio 0.0544, byte miss ratio 0.0544
result/cdn2_colo28.ns3628.oracleGeneral.zst S4LRU(25:25:25:25) cache size    12862, 1377456 req, miss ratio 0.0524, byte miss ratio 0.0524
result/cdn2_colo28.ns3628.oracleGeneral.zst S4LRU(25:25:25:25) cache size    25724, 1377456 req, miss ratio 0.0506, byte miss ratio 0.0506
result/cdn2_colo28.ns3628.oracleGeneral.zst S4LRU(25:25:25:25) cache size    51448, 1377456 req, miss ratio 0.0468, byte miss ratio 0.0468
result/cdn2_colo28.ns3628.oracleGeneral.zst B-LRU cache size       64, 1377456 req, miss ratio 0.2870, byte miss ratio 0.2870
result/cdn2_colo28.ns3628.oracleGeneral.zst B-LRU cache size      192, 1377456 req, miss ratio 0.1229, byte miss ratio 0.1229
result/cdn2_colo28.ns3628.oracleGeneral.zst B-LRU cache size      643, 1377456 req, miss ratio 0.1076, byte miss ratio 0.1076
result/cdn2_colo28.ns3628.oracleGeneral.zst B-LRU cache size     1929, 1377456 req, miss ratio 0.1015, byte miss ratio 0.1015
result/cdn2_colo28.ns3628.oracleGeneral.zst B-LRU cache size     6431, 1377456 req, miss ratio 0.0967, byte miss ratio 0.0967
result/cdn2_colo28.ns3628.oracleGeneral.zst B-LRU cache size    12862, 1377456 req, miss ratio 0.0942, byte miss ratio 0.0942
result/cdn2_colo28.ns3628.oracleGeneral.zst B-LRU cache size    25724, 1377456 req, miss ratio 0.0912, byte miss ratio 0.0912
result/cdn2_colo28.ns3628.oracleGeneral.zst B-LRU cache size    51448, 1377456 req, miss ratio 0.0880, byte miss ratio 0.0880
result/cdn2_colo28.ns3628.oracleGeneral.zst TwoQ cache size       64, 1377456 req, miss ratio 0.1772, byte miss ratio 0.1772
result/cdn2_colo28.ns3628.oracleGeneral.zst TwoQ cache size      192, 1377456 req, miss ratio 0.0711, byte miss ratio 0.0711
