result/cdn2_colo28.ns667.oracleGeneral.zst B-LRU cache size     1158, 2296440 req, miss ratio 0.4309, byte miss ratio 0.4309
result/cdn2_colo28.ns667.oracleGeneral.zst B-LRU cache size     3861, 2296440 req, miss ratio 0.2256, byte miss ratio 0.2256
result/cdn2_colo28.ns667.oracleGeneral.zst B-LRU cache size     7722, 2296440 req, miss ratio 0.1288, byte miss ratio 0.1288
result/cdn2_colo28.ns667.oracleGeneral.zst B-LRU cache size    15444, 2296440 req, miss ratio 0.0608, byte miss ratio 0.0608
result/cdn2_colo28.ns667.oracleGeneral.zst B-LRU cache size    30888, 2296440 req, miss ratio 0.0308, byte miss ratio 0.0308
result/cdn2_colo28.ns667.oracleGeneral.zst TwoQ cache size       38, 2296440 req, miss ratio 0.8047, byte miss ratio 0.8047
result/cdn2_colo28.ns667.oracleGeneral.zst TwoQ cache size      115, 2296440 req, miss ratio 0.6826, byte miss ratio 0.6826
result/cdn2_colo28.ns667.oracleGeneral.zst TwoQ cache size      386, 2296440 req, miss ratio 0.5263, byte miss ratio 0.5263
result/cdn2_colo28.ns667.oracleGeneral.zst TwoQ cache size     1158, 2296440 req, miss ratio 0.3716, byte miss ratio 0.3716
result/cdn2_colo28.ns667.oracleGeneral.zst TwoQ cache size     3861, 2296440 req, miss ratio 0.2010, byte miss ratio 0.2010
result/cdn2_colo28.ns667.oracleGeneral.zst TwoQ cache size     7722, 2296440 req, miss ratio 0.1214, byte miss ratio 0.1214
result/cdn2_colo28.ns667.oracleGeneral.zst TwoQ cache size    15444, 2296440 req, miss ratio 0.0614, byte miss ratio 0.0614
result/cdn2_colo28.ns667.oracleGeneral.zst TwoQ cache size    30888, 2296440 req, miss ratio 0.0265, byte miss ratio 0.0265
result/cdn2_colo28.ns667.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       38, 2296440 req, miss ratio 0.9264, byte miss ratio 0.9264
result/cdn2_colo28.ns667.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      115, 2296440 req, miss ratio 0.7767, byte miss ratio 0.7767
result/cdn2_colo28.ns667.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      386, 2296440 req, miss ratio 0.5972, byte miss ratio 0.5972
result/cdn2_colo28.ns667.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1158, 2296440 req, miss ratio 0.4167, byte miss ratio 0.4167
result/cdn2_colo28.ns667.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3861, 2296440 req, miss ratio 0.2206, byte miss ratio 0.2206
result/cdn2_colo28.ns667.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7722, 2296440 req, miss ratio 0.1295, byte miss ratio 0.1295
result/cdn2_colo28.ns667.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    15444, 2296440 req, miss ratio 0.0607, byte miss ratio 0.0607
result/cdn2_colo28.ns667.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    30888, 2296440 req, miss ratio 0.0240, byte miss ratio 0.0240
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO cache size       38, 2296440 req, miss ratio 0.7829, byte miss ratio 0.7829
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO cache size      115, 2296440 req, miss ratio 0.6578, byte miss ratio 0.6578
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO cache size      386, 2296440 req, miss ratio 0.5035, byte miss ratio 0.5035
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO cache size     1158, 2296440 req, miss ratio 0.3500, byte miss ratio 0.3500
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO cache size     3861, 2296440 req, miss ratio 0.1844, byte miss ratio 0.1844
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO cache size     7722, 2296440 req, miss ratio 0.1092, byte miss ratio 0.1092
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO cache size    15444, 2296440 req, miss ratio 0.0514, byte miss ratio 0.0514
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO cache size    30888, 2296440 req, miss ratio 0.0194, byte miss ratio 0.0194
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-d cache size       38, 2296440 req, miss ratio 0.8336, byte miss ratio 0.8336
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-d cache size      115, 2296440 req, miss ratio 0.7458, byte miss ratio 0.7458
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-d cache size      386, 2296440 req, miss ratio 0.5639, byte miss ratio 0.5639
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-d cache size     1158, 2296440 req, miss ratio 0.3845, byte miss ratio 0.3845
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-d cache size     3861, 2296440 req, miss ratio 0.1942, byte miss ratio 0.1942
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-d cache size     7722, 2296440 req, miss ratio 0.1119, byte miss ratio 0.1119
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-d cache size    15444, 2296440 req, miss ratio 0.0518, byte miss ratio 0.0518
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-d cache size    30888, 2296440 req, miss ratio 0.0194, byte miss ratio 0.0194
result/cdn2_colo28.ns667.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       38, 2296440 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns667.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      115, 2296440 req, miss ratio 0.6596, byte miss ratio 0.6596
result/cdn2_colo28.ns667.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      386, 2296440 req, miss ratio 0.4989, byte miss ratio 0.4989
result/cdn2_colo28.ns667.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1158, 2296440 req, miss ratio 0.3431, byte miss ratio 0.3431
result/cdn2_colo28.ns667.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3861, 2296440 req, miss ratio 0.1777, byte miss ratio 0.1777
result/cdn2_colo28.ns667.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7722, 2296440 req, miss ratio 0.1012, byte miss ratio 0.1012
result/cdn2_colo28.ns667.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    15444, 2296440 req, miss ratio 0.0478, byte miss ratio 0.0478
result/cdn2_colo28.ns667.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    30888, 2296440 req, miss ratio 0.0195, byte miss ratio 0.0195
result/cdn2_colo28.ns667.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       38, 2296440 req, miss ratio 0.7874, byte miss ratio 0.7874
result/cdn2_colo28.ns667.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      115, 2296440 req, miss ratio 0.6612, byte miss ratio 0.6612
result/cdn2_colo28.ns667.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      386, 2296440 req, miss ratio 0.5055, byte miss ratio 0.5055
result/cdn2_colo28.ns667.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1158, 2296440 req, miss ratio 0.3493, byte miss ratio 0.3493
result/cdn2_colo28.ns667.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3861, 2296440 req, miss ratio 0.1774, byte miss ratio 0.1774
result/cdn2_colo28.ns667.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7722, 2296440 req, miss ratio 0.1055, byte miss ratio 0.1055
result/cdn2_colo28.ns667.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    15444, 2296440 req, miss ratio 0.0500, byte miss ratio 0.0500
result/cdn2_colo28.ns667.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    30888, 2296440 req, miss ratio 0.0206, byte miss ratio 0.0206
