result/cdn2_allcolo.ns3142.oracleGeneral.zst S4LRU(25:25:25:25) cache size        6, 1473529 req, miss ratio 0.7115, byte miss ratio 0.7115
result/cdn2_allcolo.ns3142.oracleGeneral.zst S4LRU(25:25:25:25) cache size       20, 1473529 req, miss ratio 0.3516, byte miss ratio 0.3516
result/cdn2_allcolo.ns3142.oracleGeneral.zst S4LRU(25:25:25:25) cache size       67, 1473529 req, miss ratio 0.1350, byte miss ratio 0.1350
result/cdn2_allcolo.ns3142.oracleGeneral.zst S4LRU(25:25:25:25) cache size      134, 1473529 req, miss ratio 0.0411, byte miss ratio 0.0411
result/cdn2_allcolo.ns3142.oracleGeneral.zst S4LRU(25:25:25:25) cache size      268, 1473529 req, miss ratio 0.0050, byte miss ratio 0.0050
result/cdn2_allcolo.ns3142.oracleGeneral.zst S4LRU(25:25:25:25) cache size      537, 1473529 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3142.oracleGeneral.zst B-LRU cache size        6, 1473529 req, miss ratio 0.7832, byte miss ratio 0.7832
result/cdn2_allcolo.ns3142.oracleGeneral.zst B-LRU cache size       20, 1473529 req, miss ratio 0.4537, byte miss ratio 0.4537
result/cdn2_allcolo.ns3142.oracleGeneral.zst B-LRU cache size       67, 1473529 req, miss ratio 0.1597, byte miss ratio 0.1597
result/cdn2_allcolo.ns3142.oracleGeneral.zst B-LRU cache size      134, 1473529 req, miss ratio 0.0482, byte miss ratio 0.0482
result/cdn2_allcolo.ns3142.oracleGeneral.zst B-LRU cache size      268, 1473529 req, miss ratio 0.0054, byte miss ratio 0.0054
result/cdn2_allcolo.ns3142.oracleGeneral.zst B-LRU cache size      537, 1473529 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO-d cache size        6, 1473529 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO-d cache size       20, 1473529 req, miss ratio 0.3447, byte miss ratio 0.3447
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO-d cache size       67, 1473529 req, miss ratio 0.1464, byte miss ratio 0.1464
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO-d cache size      134, 1473529 req, miss ratio 0.0434, byte miss ratio 0.0434
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO-d cache size      268, 1473529 req, miss ratio 0.0048, byte miss ratio 0.0048
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO-d cache size      537, 1473529 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO cache size        6, 1473529 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO cache size       20, 1473529 req, miss ratio 0.3448, byte miss ratio 0.3448
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO cache size       67, 1473529 req, miss ratio 0.1304, byte miss ratio 0.1304
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO cache size      134, 1473529 req, miss ratio 0.0395, byte miss ratio 0.0395
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO cache size      268, 1473529 req, miss ratio 0.0047, byte miss ratio 0.0047
result/cdn2_allcolo.ns3142.oracleGeneral.zst S3FIFO cache size      537, 1473529 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3142.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        6, 1473529 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3142.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       20, 1473529 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3142.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       67, 1473529 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3142.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      134, 1473529 req, miss ratio 0.0364, byte miss ratio 0.0364
result/cdn2_allcolo.ns3142.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      268, 1473529 req, miss ratio 0.0046, byte miss ratio 0.0046
result/cdn2_allcolo.ns3142.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      537, 1473529 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3142.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        6, 1473529 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3142.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       20, 1473529 req, miss ratio 0.3415, byte miss ratio 0.3415
result/cdn2_allcolo.ns3142.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       67, 1473529 req, miss ratio 0.1246, byte miss ratio 0.1246
result/cdn2_allcolo.ns3142.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      134, 1473529 req, miss ratio 0.0382, byte miss ratio 0.0382
result/cdn2_allcolo.ns3142.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      268, 1473529 req, miss ratio 0.0047, byte miss ratio 0.0047
result/cdn2_allcolo.ns3142.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      537, 1473529 req, miss ratio 0.0005, byte miss ratio 0.0005
