result/cdn2_allcolo.ns1189.oracleGeneral.zst S4LRU(25:25:25:25) cache size     8340, 17796147 req, miss ratio 0.2605, byte miss ratio 0.2605
result/cdn2_allcolo.ns1189.oracleGeneral.zst S4LRU(25:25:25:25) cache size    27801, 17796147 req, miss ratio 0.1103, byte miss ratio 0.1103
result/cdn2_allcolo.ns1189.oracleGeneral.zst S4LRU(25:25:25:25) cache size    55602, 17796147 req, miss ratio 0.0554, byte miss ratio 0.0554
result/cdn2_allcolo.ns1189.oracleGeneral.zst S4LRU(25:25:25:25) cache size   111204, 17796147 req, miss ratio 0.0261, byte miss ratio 0.0261
result/cdn2_allcolo.ns1189.oracleGeneral.zst S4LRU(25:25:25:25) cache size   222409, 17796147 req, miss ratio 0.0162, byte miss ratio 0.0162
result/cdn2_allcolo.ns1189.oracleGeneral.zst TwoQ cache size      278, 17796147 req, miss ratio 0.8030, byte miss ratio 0.8030
result/cdn2_allcolo.ns1189.oracleGeneral.zst TwoQ cache size      834, 17796147 req, miss ratio 0.6541, byte miss ratio 0.6541
result/cdn2_allcolo.ns1189.oracleGeneral.zst TwoQ cache size     2780, 17796147 req, miss ratio 0.4506, byte miss ratio 0.4506
result/cdn2_allcolo.ns1189.oracleGeneral.zst TwoQ cache size     8340, 17796147 req, miss ratio 0.2760, byte miss ratio 0.2760
result/cdn2_allcolo.ns1189.oracleGeneral.zst TwoQ cache size    27801, 17796147 req, miss ratio 0.1188, byte miss ratio 0.1188
result/cdn2_allcolo.ns1189.oracleGeneral.zst TwoQ cache size    55602, 17796147 req, miss ratio 0.0616, byte miss ratio 0.0616
result/cdn2_allcolo.ns1189.oracleGeneral.zst TwoQ cache size   111204, 17796147 req, miss ratio 0.0310, byte miss ratio 0.0310
result/cdn2_allcolo.ns1189.oracleGeneral.zst TwoQ cache size   222409, 17796147 req, miss ratio 0.0203, byte miss ratio 0.0203
result/cdn2_allcolo.ns1189.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      278, 17796147 req, miss ratio 0.8602, byte miss ratio 0.8602
result/cdn2_allcolo.ns1189.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      834, 17796147 req, miss ratio 0.7162, byte miss ratio 0.7162
result/cdn2_allcolo.ns1189.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2780, 17796147 req, miss ratio 0.4882, byte miss ratio 0.4882
result/cdn2_allcolo.ns1189.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     8340, 17796147 req, miss ratio 0.2926, byte miss ratio 0.2926
result/cdn2_allcolo.ns1189.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    27801, 17796147 req, miss ratio 0.1278, byte miss ratio 0.1278
result/cdn2_allcolo.ns1189.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    55602, 17796147 req, miss ratio 0.0660, byte miss ratio 0.0660
result/cdn2_allcolo.ns1189.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   111204, 17796147 req, miss ratio 0.0322, byte miss ratio 0.0322
result/cdn2_allcolo.ns1189.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   222409, 17796147 req, miss ratio 0.0188, byte miss ratio 0.0188
result/cdn2_allcolo.ns1189.oracleGeneral.zst B-LRU cache size      278, 17796147 req, miss ratio 0.8802, byte miss ratio 0.8802
result/cdn2_allcolo.ns1189.oracleGeneral.zst B-LRU cache size      834, 17796147 req, miss ratio 0.7444, byte miss ratio 0.7444
result/cdn2_allcolo.ns1189.oracleGeneral.zst B-LRU cache size     2780, 17796147 req, miss ratio 0.5136, byte miss ratio 0.5136
result/cdn2_allcolo.ns1189.oracleGeneral.zst B-LRU cache size     8340, 17796147 req, miss ratio 0.2976, byte miss ratio 0.2976
result/cdn2_allcolo.ns1189.oracleGeneral.zst B-LRU cache size    27801, 17796147 req, miss ratio 0.1237, byte miss ratio 0.1237
result/cdn2_allcolo.ns1189.oracleGeneral.zst B-LRU cache size    55602, 17796147 req, miss ratio 0.0630, byte miss ratio 0.0630
result/cdn2_allcolo.ns1189.oracleGeneral.zst B-LRU cache size   111204, 17796147 req, miss ratio 0.0323, byte miss ratio 0.0323
result/cdn2_allcolo.ns1189.oracleGeneral.zst B-LRU cache size   222409, 17796147 req, miss ratio 0.0266, byte miss ratio 0.0266
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO cache size      278, 17796147 req, miss ratio 0.7835, byte miss ratio 0.7835
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO cache size      834, 17796147 req, miss ratio 0.6292, byte miss ratio 0.6292
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO cache size     2780, 17796147 req, miss ratio 0.4276, byte miss ratio 0.4276
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO cache size     8340, 17796147 req, miss ratio 0.2587, byte miss ratio 0.2587
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO cache size    27801, 17796147 req, miss ratio 0.1085, byte miss ratio 0.1085
