result/cdn2_colo28.ns4984.oracleGeneral.zst B-LRU cache size     1552, 1185248 req, miss ratio 0.2607, byte miss ratio 0.2607
result/cdn2_colo28.ns4984.oracleGeneral.zst B-LRU cache size     5176, 1185248 req, miss ratio 0.1501, byte miss ratio 0.1501
result/cdn2_colo28.ns4984.oracleGeneral.zst B-LRU cache size    10353, 1185248 req, miss ratio 0.1035, byte miss ratio 0.1035
result/cdn2_colo28.ns4984.oracleGeneral.zst B-LRU cache size    20706, 1185248 req, miss ratio 0.0739, byte miss ratio 0.0739
result/cdn2_colo28.ns4984.oracleGeneral.zst B-LRU cache size    41412, 1185248 req, miss ratio 0.0702, byte miss ratio 0.0702
result/cdn2_colo28.ns4984.oracleGeneral.zst S4LRU(25:25:25:25) cache size       51, 1185248 req, miss ratio 0.5524, byte miss ratio 0.5524
result/cdn2_colo28.ns4984.oracleGeneral.zst S4LRU(25:25:25:25) cache size      155, 1185248 req, miss ratio 0.4272, byte miss ratio 0.4272
result/cdn2_colo28.ns4984.oracleGeneral.zst S4LRU(25:25:25:25) cache size      517, 1185248 req, miss ratio 0.3310, byte miss ratio 0.3310
result/cdn2_colo28.ns4984.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1552, 1185248 req, miss ratio 0.2336, byte miss ratio 0.2336
result/cdn2_colo28.ns4984.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5176, 1185248 req, miss ratio 0.1359, byte miss ratio 0.1359
result/cdn2_colo28.ns4984.oracleGeneral.zst S4LRU(25:25:25:25) cache size    10353, 1185248 req, miss ratio 0.0921, byte miss ratio 0.0921
result/cdn2_colo28.ns4984.oracleGeneral.zst S4LRU(25:25:25:25) cache size    20706, 1185248 req, miss ratio 0.0600, byte miss ratio 0.0600
result/cdn2_colo28.ns4984.oracleGeneral.zst S4LRU(25:25:25:25) cache size    41412, 1185248 req, miss ratio 0.0446, byte miss ratio 0.0446
result/cdn2_colo28.ns4984.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       51, 1185248 req, miss ratio 0.7083, byte miss ratio 0.7083
result/cdn2_colo28.ns4984.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      155, 1185248 req, miss ratio 0.4882, byte miss ratio 0.4882
result/cdn2_colo28.ns4984.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      517, 1185248 req, miss ratio 0.3667, byte miss ratio 0.3667
result/cdn2_colo28.ns4984.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1552, 1185248 req, miss ratio 0.2622, byte miss ratio 0.2622
result/cdn2_colo28.ns4984.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5176, 1185248 req, miss ratio 0.1543, byte miss ratio 0.1543
result/cdn2_colo28.ns4984.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    10353, 1185248 req, miss ratio 0.1046, byte miss ratio 0.1046
result/cdn2_colo28.ns4984.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    20706, 1185248 req, miss ratio 0.0646, byte miss ratio 0.0646
result/cdn2_colo28.ns4984.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    41412, 1185248 req, miss ratio 0.0477, byte miss ratio 0.0477
result/cdn2_colo28.ns4984.oracleGeneral.zst TwoQ cache size       51, 1185248 req, miss ratio 0.5440, byte miss ratio 0.5440
result/cdn2_colo28.ns4984.oracleGeneral.zst TwoQ cache size      155, 1185248 req, miss ratio 0.4264, byte miss ratio 0.4264
result/cdn2_colo28.ns4984.oracleGeneral.zst TwoQ cache size      517, 1185248 req, miss ratio 0.3246, byte miss ratio 0.3246
result/cdn2_colo28.ns4984.oracleGeneral.zst TwoQ cache size     1552, 1185248 req, miss ratio 0.2302, byte miss ratio 0.2302
result/cdn2_colo28.ns4984.oracleGeneral.zst TwoQ cache size     5176, 1185248 req, miss ratio 0.1382, byte miss ratio 0.1382
result/cdn2_colo28.ns4984.oracleGeneral.zst TwoQ cache size    10353, 1185248 req, miss ratio 0.0964, byte miss ratio 0.0964
result/cdn2_colo28.ns4984.oracleGeneral.zst TwoQ cache size    20706, 1185248 req, miss ratio 0.0669, byte miss ratio 0.0669
result/cdn2_colo28.ns4984.oracleGeneral.zst TwoQ cache size    41412, 1185248 req, miss ratio 0.0503, byte miss ratio 0.0503
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-d cache size       51, 1185248 req, miss ratio 0.6249, byte miss ratio 0.6249
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-d cache size      155, 1185248 req, miss ratio 0.4344, byte miss ratio 0.4344
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-d cache size      517, 1185248 req, miss ratio 0.3205, byte miss ratio 0.3205
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-d cache size     1552, 1185248 req, miss ratio 0.2226, byte miss ratio 0.2226
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-d cache size     5176, 1185248 req, miss ratio 0.1312, byte miss ratio 0.1312
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-d cache size    10353, 1185248 req, miss ratio 0.0900, byte miss ratio 0.0900
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-d cache size    20706, 1185248 req, miss ratio 0.0598, byte miss ratio 0.0598
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-d cache size    41412, 1185248 req, miss ratio 0.0449, byte miss ratio 0.0449
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO cache size       51, 1185248 req, miss ratio 0.5219, byte miss ratio 0.5219
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO cache size      155, 1185248 req, miss ratio 0.4202, byte miss ratio 0.4202
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO cache size      517, 1185248 req, miss ratio 0.3188, byte miss ratio 0.3188
