result/tencentBlock.ns14030.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      188, 2545649 req, miss ratio 0.3834, byte miss ratio 0.3834
result/tencentBlock.ns14030.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      627, 2545649 req, miss ratio 0.1243, byte miss ratio 0.1243
result/tencentBlock.ns14030.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1883, 2545649 req, miss ratio 0.0896, byte miss ratio 0.0896
result/tencentBlock.ns14030.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6277, 2545649 req, miss ratio 0.0753, byte miss ratio 0.0753
result/tencentBlock.ns14030.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    12554, 2545649 req, miss ratio 0.0636, byte miss ratio 0.0636
result/tencentBlock.ns14030.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    25109, 2545649 req, miss ratio 0.0477, byte miss ratio 0.0477
result/tencentBlock.ns14030.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    50219, 2545649 req, miss ratio 0.0249, byte miss ratio 0.0249
result/tencentBlock.ns14030.oracleGeneral.zst B-LRU cache size       62, 2545649 req, miss ratio 0.5337, byte miss ratio 0.5337
result/tencentBlock.ns14030.oracleGeneral.zst B-LRU cache size      188, 2545649 req, miss ratio 0.4116, byte miss ratio 0.4116
result/tencentBlock.ns14030.oracleGeneral.zst B-LRU cache size      627, 2545649 req, miss ratio 0.1227, byte miss ratio 0.1227
result/tencentBlock.ns14030.oracleGeneral.zst B-LRU cache size     1883, 2545649 req, miss ratio 0.0898, byte miss ratio 0.0898
result/tencentBlock.ns14030.oracleGeneral.zst B-LRU cache size     6277, 2545649 req, miss ratio 0.0831, byte miss ratio 0.0831
result/tencentBlock.ns14030.oracleGeneral.zst B-LRU cache size    12554, 2545649 req, miss ratio 0.0689, byte miss ratio 0.0689
result/tencentBlock.ns14030.oracleGeneral.zst B-LRU cache size    25109, 2545649 req, miss ratio 0.0468, byte miss ratio 0.0468
result/tencentBlock.ns14030.oracleGeneral.zst B-LRU cache size    50219, 2545649 req, miss ratio 0.0424, byte miss ratio 0.0424
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-d cache size       62, 2545649 req, miss ratio 0.4561, byte miss ratio 0.4561
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-d cache size      188, 2545649 req, miss ratio 0.3555, byte miss ratio 0.3555
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-d cache size      627, 2545649 req, miss ratio 0.1053, byte miss ratio 0.1053
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-d cache size     1883, 2545649 req, miss ratio 0.0788, byte miss ratio 0.0788
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-d cache size     6277, 2545649 req, miss ratio 0.0683, byte miss ratio 0.0683
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-d cache size    12554, 2545649 req, miss ratio 0.0574, byte miss ratio 0.0574
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-d cache size    25109, 2545649 req, miss ratio 0.0364, byte miss ratio 0.0364
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-d cache size    50219, 2545649 req, miss ratio 0.0248, byte miss ratio 0.0248
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO cache size       62, 2545649 req, miss ratio 0.4524, byte miss ratio 0.4524
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO cache size      188, 2545649 req, miss ratio 0.2836, byte miss ratio 0.2836
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO cache size      627, 2545649 req, miss ratio 0.1037, byte miss ratio 0.1037
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO cache size     1883, 2545649 req, miss ratio 0.0788, byte miss ratio 0.0788
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO cache size     6277, 2545649 req, miss ratio 0.0683, byte miss ratio 0.0683
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO cache size    12554, 2545649 req, miss ratio 0.0575, byte miss ratio 0.0575
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO cache size    25109, 2545649 req, miss ratio 0.0363, byte miss ratio 0.0363
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO cache size    50219, 2545649 req, miss ratio 0.0248, byte miss ratio 0.0248
result/tencentBlock.ns14030.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       62, 2545649 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns14030.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      188, 2545649 req, miss ratio 0.3083, byte miss ratio 0.3083
result/tencentBlock.ns14030.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      627, 2545649 req, miss ratio 0.1338, byte miss ratio 0.1338
result/tencentBlock.ns14030.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1883, 2545649 req, miss ratio 0.0905, byte miss ratio 0.0905
result/tencentBlock.ns14030.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6277, 2545649 req, miss ratio 0.0734, byte miss ratio 0.0734
result/tencentBlock.ns14030.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    12554, 2545649 req, miss ratio 0.0654, byte miss ratio 0.0654
result/tencentBlock.ns14030.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    25109, 2545649 req, miss ratio 0.0512, byte miss ratio 0.0512
result/tencentBlock.ns14030.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    50219, 2545649 req, miss ratio 0.0285, byte miss ratio 0.0285
result/tencentBlock.ns14030.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       62, 2545649 req, miss ratio 0.4760, byte miss ratio 0.4760
result/tencentBlock.ns14030.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      188, 2545649 req, miss ratio 0.2710, byte miss ratio 0.2710
result/tencentBlock.ns14030.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      627, 2545649 req, miss ratio 0.1159, byte miss ratio 0.1159
result/tencentBlock.ns14030.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1883, 2545649 req, miss ratio 0.0820, byte miss ratio 0.0820
result/tencentBlock.ns14030.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6277, 2545649 req, miss ratio 0.0719, byte miss ratio 0.0719
result/tencentBlock.ns14030.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    12554, 2545649 req, miss ratio 0.0648, byte miss ratio 0.0648
result/tencentBlock.ns14030.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    25109, 2545649 req, miss ratio 0.0522, byte miss ratio 0.0522
result/tencentBlock.ns14030.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    50219, 2545649 req, miss ratio 0.0305, byte miss ratio 0.0305
