result/w58.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    13513, 10530695 req, miss ratio 0.4810, byte miss ratio 0.4810
result/w58.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    40540, 10530695 req, miss ratio 0.4567, byte miss ratio 0.4567
result/w58.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   135135, 10530695 req, miss ratio 0.3149, byte miss ratio 0.3149
result/w58.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   270270, 10530695 req, miss ratio 0.2233, byte miss ratio 0.2233
result/w58.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   540540, 10530695 req, miss ratio 0.1540, byte miss ratio 0.1540
result/w58.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size  1081080, 10530695 req, miss ratio 0.1434, byte miss ratio 0.1434
result/w58.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1351, 10530695 req, miss ratio 0.6193, byte miss ratio 0.6193
result/w58.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     4054, 10530695 req, miss ratio 0.5481, byte miss ratio 0.5481
result/w58.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    13513, 10530695 req, miss ratio 0.4771, byte miss ratio 0.4771
result/w58.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    40540, 10530695 req, miss ratio 0.4304, byte miss ratio 0.4304
result/w58.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   135135, 10530695 req, miss ratio 0.3166, byte miss ratio 0.3166
result/w58.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   270270, 10530695 req, miss ratio 0.2264, byte miss ratio 0.2264
result/w58.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   540540, 10530695 req, miss ratio 0.1507, byte miss ratio 0.1507
result/w58.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size  1081080, 10530695 req, miss ratio 0.1338, byte miss ratio 0.1338
