result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst ARC cache size   274604, 671148881 req, miss ratio 0.0005, byte miss ratio 0.0005
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LIRS cache size      343, 671148881 req, miss ratio 0.0282, byte miss ratio 0.0282
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LIRS cache size     1029, 671148881 req, miss ratio 0.0221, byte miss ratio 0.0221
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LIRS cache size     3432, 671148881 req, miss ratio 0.0156, byte miss ratio 0.0156
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LIRS cache size    10297, 671148881 req, miss ratio 0.0082, byte miss ratio 0.0082
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LIRS cache size    34325, 671148881 req, miss ratio 0.0033, byte miss ratio 0.0033
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LIRS cache size    68651, 671148881 req, miss ratio 0.0019, byte miss ratio 0.0019
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LIRS cache size   137302, 671148881 req, miss ratio 0.0010, byte miss ratio 0.0010
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LIRS cache size   274604, 671148881 req, miss ratio 0.0005, byte miss ratio 0.0005
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size      343, 671148881 req, miss ratio 0.0287, byte miss ratio 0.0287
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     1029, 671148881 req, miss ratio 0.0216, byte miss ratio 0.0216
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     3432, 671148881 req, miss ratio 0.0161, byte miss ratio 0.0161
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    10297, 671148881 req, miss ratio 0.0086, byte miss ratio 0.0086
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    34325, 671148881 req, miss ratio 0.0033, byte miss ratio 0.0033
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    68651, 671148881 req, miss ratio 0.0018, byte miss ratio 0.0018
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   137302, 671148881 req, miss ratio 0.0009, byte miss ratio 0.0009
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   274604, 671148881 req, miss ratio 0.0006, byte miss ratio 0.0006
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LRB cache size      343, 671148881 req, miss ratio 0.0378, byte miss ratio 0.0378
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst LRB cache size     1029, 671148881 req, miss ratio 0.0218, byte miss ratio 0.0218
