result/tencentBlock.ns17102.oracleGeneral.zst B-LRU cache size       44, 1305417 req, miss ratio 0.3913, byte miss ratio 0.3913
result/tencentBlock.ns17102.oracleGeneral.zst B-LRU cache size      132, 1305417 req, miss ratio 0.2197, byte miss ratio 0.2197
result/tencentBlock.ns17102.oracleGeneral.zst B-LRU cache size      442, 1305417 req, miss ratio 0.1974, byte miss ratio 0.1974
result/tencentBlock.ns17102.oracleGeneral.zst B-LRU cache size     1327, 1305417 req, miss ratio 0.1843, byte miss ratio 0.1843
result/tencentBlock.ns17102.oracleGeneral.zst B-LRU cache size     4426, 1305417 req, miss ratio 0.1250, byte miss ratio 0.1250
result/tencentBlock.ns17102.oracleGeneral.zst B-LRU cache size     8852, 1305417 req, miss ratio 0.1125, byte miss ratio 0.1125
result/tencentBlock.ns17102.oracleGeneral.zst B-LRU cache size    17704, 1305417 req, miss ratio 0.0839, byte miss ratio 0.0839
result/tencentBlock.ns17102.oracleGeneral.zst B-LRU cache size    35408, 1305417 req, miss ratio 0.0640, byte miss ratio 0.0640
result/tencentBlock.ns17102.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       44, 1305417 req, miss ratio 0.4670, byte miss ratio 0.4670
result/tencentBlock.ns17102.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      132, 1305417 req, miss ratio 0.2401, byte miss ratio 0.2401
result/tencentBlock.ns17102.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      442, 1305417 req, miss ratio 0.1878, byte miss ratio 0.1878
result/tencentBlock.ns17102.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1327, 1305417 req, miss ratio 0.1718, byte miss ratio 0.1718
result/tencentBlock.ns17102.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4426, 1305417 req, miss ratio 0.1303, byte miss ratio 0.1303
result/tencentBlock.ns17102.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     8852, 1305417 req, miss ratio 0.1041, byte miss ratio 0.1041
result/tencentBlock.ns17102.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    17704, 1305417 req, miss ratio 0.0833, byte miss ratio 0.0833
result/tencentBlock.ns17102.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    35408, 1305417 req, miss ratio 0.0430, byte miss ratio 0.0430
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO cache size       44, 1305417 req, miss ratio 0.2969, byte miss ratio 0.2969
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO cache size      132, 1305417 req, miss ratio 0.2025, byte miss ratio 0.2025
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO cache size      442, 1305417 req, miss ratio 0.1763, byte miss ratio 0.1763
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO cache size     1327, 1305417 req, miss ratio 0.1334, byte miss ratio 0.1334
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO cache size     4426, 1305417 req, miss ratio 0.1100, byte miss ratio 0.1100
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO cache size     8852, 1305417 req, miss ratio 0.0974, byte miss ratio 0.0974
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO cache size    17704, 1305417 req, miss ratio 0.0718, byte miss ratio 0.0718
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO cache size    35408, 1305417 req, miss ratio 0.0392, byte miss ratio 0.0392
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-d cache size       44, 1305417 req, miss ratio 0.3912, byte miss ratio 0.3912
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-d cache size      132, 1305417 req, miss ratio 0.1997, byte miss ratio 0.1997
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-d cache size      442, 1305417 req, miss ratio 0.1758, byte miss ratio 0.1758
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-d cache size     1327, 1305417 req, miss ratio 0.1310, byte miss ratio 0.1310
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-d cache size     4426, 1305417 req, miss ratio 0.1100, byte miss ratio 0.1100
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-d cache size     8852, 1305417 req, miss ratio 0.0975, byte miss ratio 0.0975
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-d cache size    17704, 1305417 req, miss ratio 0.0718, byte miss ratio 0.0718
result/tencentBlock.ns17102.oracleGeneral.zst S3FIFO-d cache size    35408, 1305417 req, miss ratio 0.0392, byte miss ratio 0.0392
result/tencentBlock.ns17102.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       44, 1305417 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns17102.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      132, 1305417 req, miss ratio 0.2819, byte miss ratio 0.2819
result/tencentBlock.ns17102.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      442, 1305417 req, miss ratio 0.2391, byte miss ratio 0.2391
result/tencentBlock.ns17102.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1327, 1305417 req, miss ratio 0.1299, byte miss ratio 0.1299
result/tencentBlock.ns17102.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4426, 1305417 req, miss ratio 0.1063, byte miss ratio 0.1063
result/tencentBlock.ns17102.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     8852, 1305417 req, miss ratio 0.0904, byte miss ratio 0.0904
result/tencentBlock.ns17102.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    17704, 1305417 req, miss ratio 0.0641, byte miss ratio 0.0641
result/tencentBlock.ns17102.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    35408, 1305417 req, miss ratio 0.0371, byte miss ratio 0.0371
result/tencentBlock.ns17102.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       44, 1305417 req, miss ratio 0.4252, byte miss ratio 0.4252
result/tencentBlock.ns17102.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      132, 1305417 req, miss ratio 0.2210, byte miss ratio 0.2210
result/tencentBlock.ns17102.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      442, 1305417 req, miss ratio 0.1657, byte miss ratio 0.1657
result/tencentBlock.ns17102.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1327, 1305417 req, miss ratio 0.1221, byte miss ratio 0.1221
result/tencentBlock.ns17102.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4426, 1305417 req, miss ratio 0.1063, byte miss ratio 0.1063
result/tencentBlock.ns17102.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     8852, 1305417 req, miss ratio 0.0915, byte miss ratio 0.0915
result/tencentBlock.ns17102.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    17704, 1305417 req, miss ratio 0.0641, byte miss ratio 0.0641
result/tencentBlock.ns17102.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    35408, 1305417 req, miss ratio 0.0383, byte miss ratio 0.0383
