result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst B-LRU cache size     9229, 171305316 req, miss ratio 0.1423, byte miss ratio 0.1423
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst B-LRU cache size    27688, 171305316 req, miss ratio 0.0835, byte miss ratio 0.0835
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst B-LRU cache size    92294, 171305316 req, miss ratio 0.0429, byte miss ratio 0.0429
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst B-LRU cache size   184588, 171305316 req, miss ratio 0.0281, byte miss ratio 0.0281
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst B-LRU cache size   369177, 171305316 req, miss ratio 0.0166, byte miss ratio 0.0166
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst B-LRU cache size   738354, 171305316 req, miss ratio 0.0110, byte miss ratio 0.0110
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO cache size      922, 171305316 req, miss ratio 0.3178, byte miss ratio 0.3178
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     2768, 171305316 req, miss ratio 0.2179, byte miss ratio 0.2179
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     9229, 171305316 req, miss ratio 0.1350, byte miss ratio 0.1350
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    27688, 171305316 req, miss ratio 0.0770, byte miss ratio 0.0770
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    92294, 171305316 req, miss ratio 0.0359, byte miss ratio 0.0359
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   184588, 171305316 req, miss ratio 0.0207, byte miss ratio 0.0207
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   369177, 171305316 req, miss ratio 0.0098, byte miss ratio 0.0098
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   738354, 171305316 req, miss ratio 0.0059, byte miss ratio 0.0059
