result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    10071, 29422879 req, miss ratio 0.5243, byte miss ratio 0.5243
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    30214, 29422879 req, miss ratio 0.3498, byte miss ratio 0.3498
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   100716, 29422879 req, miss ratio 0.1808, byte miss ratio 0.1808
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   201432, 29422879 req, miss ratio 0.1033, byte miss ratio 0.1033
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   402864, 29422879 req, miss ratio 0.0525, byte miss ratio 0.0525
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   805728, 29422879 req, miss ratio 0.0354, byte miss ratio 0.0354
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     1007, 29422879 req, miss ratio 0.8224, byte miss ratio 0.8224
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     3021, 29422879 req, miss ratio 0.7050, byte miss ratio 0.7050
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    10071, 29422879 req, miss ratio 0.5244, byte miss ratio 0.5244
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    30214, 29422879 req, miss ratio 0.3412, byte miss ratio 0.3412
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   100716, 29422879 req, miss ratio 0.1809, byte miss ratio 0.1809
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   201432, 29422879 req, miss ratio 0.1034, byte miss ratio 0.1034
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   402864, 29422879 req, miss ratio 0.0524, byte miss ratio 0.0524
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   805728, 29422879 req, miss ratio 0.0354, byte miss ratio 0.0354
