result/blender_adaptive_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    27904, 302534839 req, miss ratio 0.1209, byte miss ratio 0.1209
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    93016, 302534839 req, miss ratio 0.0804, byte miss ratio 0.0804
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   279048, 302534839 req, miss ratio 0.0582, byte miss ratio 0.0582
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   930163, 302534839 req, miss ratio 0.0428, byte miss ratio 0.0428
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1860326, 302534839 req, miss ratio 0.0368, byte miss ratio 0.0368
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  3720653, 302534839 req, miss ratio 0.0329, byte miss ratio 0.0329
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  7441306, 302534839 req, miss ratio 0.0311, byte miss ratio 0.0311
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     9301, 302534839 req, miss ratio 0.1651, byte miss ratio 0.1651
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    27904, 302534839 req, miss ratio 0.1088, byte miss ratio 0.1088
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    93016, 302534839 req, miss ratio 0.0735, byte miss ratio 0.0735
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   279048, 302534839 req, miss ratio 0.0544, byte miss ratio 0.0544
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   930163, 302534839 req, miss ratio 0.0406, byte miss ratio 0.0406
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1860326, 302534839 req, miss ratio 0.0357, byte miss ratio 0.0357
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  3720653, 302534839 req, miss ratio 0.0326, byte miss ratio 0.0326
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  7441306, 302534839 req, miss ratio 0.0309, byte miss ratio 0.0309
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     9301, 302534839 req, miss ratio 0.1583, byte miss ratio 0.1583
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    27904, 302534839 req, miss ratio 0.1032, byte miss ratio 0.1032
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    93016, 302534839 req, miss ratio 0.0693, byte miss ratio 0.0693
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   279048, 302534839 req, miss ratio 0.0513, byte miss ratio 0.0513
