result/tencentBlock.ns2376.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    67692, 60202760 req, miss ratio 0.4464, byte miss ratio 0.4464
result/tencentBlock.ns2376.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   225640, 60202760 req, miss ratio 0.2528, byte miss ratio 0.2528
result/tencentBlock.ns2376.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   451280, 60202760 req, miss ratio 0.1346, byte miss ratio 0.1346
result/tencentBlock.ns2376.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   902560, 60202760 req, miss ratio 0.0692, byte miss ratio 0.0692
result/tencentBlock.ns2376.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1805120, 60202760 req, miss ratio 0.0428, byte miss ratio 0.0428
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO-d cache size     2256, 60202760 req, miss ratio 0.8006, byte miss ratio 0.8006
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO-d cache size     6769, 60202760 req, miss ratio 0.6684, byte miss ratio 0.6684
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO-d cache size    22564, 60202760 req, miss ratio 0.5383, byte miss ratio 0.5383
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO-d cache size    67692, 60202760 req, miss ratio 0.4104, byte miss ratio 0.4104
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO-d cache size   225640, 60202760 req, miss ratio 0.2163, byte miss ratio 0.2163
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO-d cache size   451280, 60202760 req, miss ratio 0.1192, byte miss ratio 0.1192
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO-d cache size   902560, 60202760 req, miss ratio 0.0518, byte miss ratio 0.0518
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO-d cache size  1805120, 60202760 req, miss ratio 0.0381, byte miss ratio 0.0381
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO cache size     2256, 60202760 req, miss ratio 0.7855, byte miss ratio 0.7855
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO cache size     6769, 60202760 req, miss ratio 0.6844, byte miss ratio 0.6844
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO cache size    22564, 60202760 req, miss ratio 0.5552, byte miss ratio 0.5552
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO cache size    67692, 60202760 req, miss ratio 0.4106, byte miss ratio 0.4106
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO cache size   225640, 60202760 req, miss ratio 0.2131, byte miss ratio 0.2131
result/tencentBlock.ns2376.oracleGeneral.zst S3FIFO cache size   451280, 60202760 req, miss ratio 0.1143, byte miss ratio 0.1143
