result/w46.oracleGeneral.bin.zst S3FIFO-1 cache size    45938, 11550125 req, miss ratio 0.5482, byte miss ratio 0.5482
result/w46.oracleGeneral.bin.zst S3FIFO-1 cache size   137814, 11550125 req, miss ratio 0.5090, byte miss ratio 0.5090
result/w46.oracleGeneral.bin.zst S3FIFO-1 cache size   459383, 11550125 req, miss ratio 0.4571, byte miss ratio 0.4571
result/w46.oracleGeneral.bin.zst S3FIFO-1 cache size   918766, 11550125 req, miss ratio 0.4345, byte miss ratio 0.4345
result/w46.oracleGeneral.bin.zst S3FIFO-1 cache size  1837532, 11550125 req, miss ratio 0.4062, byte miss ratio 0.4062
result/w46.oracleGeneral.bin.zst S3FIFO-1 cache size  3675065, 11550125 req, miss ratio 0.3983, byte miss ratio 0.3983
result/w46.oracleGeneral.bin.zst S3FIFO-d-1 cache size     4593, 11550125 req, miss ratio 0.6280, byte miss ratio 0.6280
result/w46.oracleGeneral.bin.zst S3FIFO-d-1 cache size    13781, 11550125 req, miss ratio 0.5885, byte miss ratio 0.5885
result/w46.oracleGeneral.bin.zst S3FIFO-d-1 cache size    45938, 11550125 req, miss ratio 0.5477, byte miss ratio 0.5477
result/w46.oracleGeneral.bin.zst S3FIFO-d-1 cache size   137814, 11550125 req, miss ratio 0.5063, byte miss ratio 0.5063
result/w46.oracleGeneral.bin.zst S3FIFO-d-1 cache size   459383, 11550125 req, miss ratio 0.4484, byte miss ratio 0.4484
result/w46.oracleGeneral.bin.zst S3FIFO-d-1 cache size   918766, 11550125 req, miss ratio 0.4335, byte miss ratio 0.4335
result/w46.oracleGeneral.bin.zst S3FIFO-d-1 cache size  1837532, 11550125 req, miss ratio 0.4062, byte miss ratio 0.4062
result/w46.oracleGeneral.bin.zst S3FIFO-d-1 cache size  3675065, 11550125 req, miss ratio 0.3983, byte miss ratio 0.3983
result/w46.oracleGeneral.bin.zst LRB cache size     4593, 11550125 req, miss ratio 0.6407, byte miss ratio 0.6407
result/w46.oracleGeneral.bin.zst LRB cache size    13781, 11550125 req, miss ratio 0.6045, byte miss ratio 0.6045
result/w46.oracleGeneral.bin.zst LRB cache size    45938, 11550125 req, miss ratio 0.5703, byte miss ratio 0.5703
result/w46.oracleGeneral.bin.zst LRB cache size   137814, 11550125 req, miss ratio 0.5351, byte miss ratio 0.5351
result/w46.oracleGeneral.bin.zst LRB cache size   459383, 11550125 req, miss ratio 0.4977, byte miss ratio 0.4977
result/w46.oracleGeneral.bin.zst LRB cache size   918766, 11550125 req, miss ratio 0.4440, byte miss ratio 0.4440
result/w46.oracleGeneral.bin.zst LRB cache size  1837532, 11550125 req, miss ratio 0.4086, byte miss ratio 0.4086
result/w46.oracleGeneral.bin.zst LRB cache size  3675065, 11550125 req, miss ratio 0.3983, byte miss ratio 0.3983
result/w46.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     4593, 11550125 req, miss ratio 0.6349, byte miss ratio 0.6349
result/w46.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    13781, 11550125 req, miss ratio 0.6000, byte miss ratio 0.6000
result/w46.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    45938, 11550125 req, miss ratio 0.5591, byte miss ratio 0.5591
result/w46.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   137814, 11550125 req, miss ratio 0.5265, byte miss ratio 0.5265
result/w46.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   459383, 11550125 req, miss ratio 0.4749, byte miss ratio 0.4749
result/w46.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   918766, 11550125 req, miss ratio 0.4332, byte miss ratio 0.4332
result/w46.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size  1837532, 11550125 req, miss ratio 0.4122, byte miss ratio 0.4122
result/w46.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size  3675065, 11550125 req, miss ratio 0.3983, byte miss ratio 0.3983
result/w46.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     4593, 11550125 req, miss ratio 0.6466, byte miss ratio 0.6466
result/w46.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    13781, 11550125 req, miss ratio 0.6223, byte miss ratio 0.6223
result/w46.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    45938, 11550125 req, miss ratio 0.5827, byte miss ratio 0.5827
result/w46.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   137814, 11550125 req, miss ratio 0.5336, byte miss ratio 0.5336
result/w46.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   459383, 11550125 req, miss ratio 0.4678, byte miss ratio 0.4678
result/w46.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   918766, 11550125 req, miss ratio 0.4361, byte miss ratio 0.4361
result/w46.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size  1837532, 11550125 req, miss ratio 0.4094, byte miss ratio 0.4094
result/w46.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size  3675065, 11550125 req, miss ratio 0.3987, byte miss ratio 0.3987
result/w46.oracleGeneral.bin.zst TwoQ cache size     4593, 11550125 req, miss ratio 0.6304, byte miss ratio 0.6304
result/w46.oracleGeneral.bin.zst TwoQ cache size    13781, 11550125 req, miss ratio 0.5966, byte miss ratio 0.5966
result/w46.oracleGeneral.bin.zst TwoQ cache size    45938, 11550125 req, miss ratio 0.5612, byte miss ratio 0.5612
result/w46.oracleGeneral.bin.zst TwoQ cache size   137814, 11550125 req, miss ratio 0.5272, byte miss ratio 0.5272
result/w46.oracleGeneral.bin.zst TwoQ cache size   459383, 11550125 req, miss ratio 0.4585, byte miss ratio 0.4585
result/w46.oracleGeneral.bin.zst TwoQ cache size   918766, 11550125 req, miss ratio 0.4344, byte miss ratio 0.4344
result/w46.oracleGeneral.bin.zst TwoQ cache size  1837532, 11550125 req, miss ratio 0.4108, byte miss ratio 0.4108
result/w46.oracleGeneral.bin.zst TwoQ cache size  3675065, 11550125 req, miss ratio 0.3993, byte miss ratio 0.3993
result/w46.oracleGeneral.bin.zst B-LRU cache size     4593, 11550125 req, miss ratio 0.6396, byte miss ratio 0.6396
result/w46.oracleGeneral.bin.zst B-LRU cache size    13781, 11550125 req, miss ratio 0.6061, byte miss ratio 0.6061
result/w46.oracleGeneral.bin.zst B-LRU cache size    45938, 11550125 req, miss ratio 0.5635, byte miss ratio 0.5635
result/w46.oracleGeneral.bin.zst B-LRU cache size   137814, 11550125 req, miss ratio 0.5081, byte miss ratio 0.5081
result/w46.oracleGeneral.bin.zst B-LRU cache size   459383, 11550125 req, miss ratio 0.4878, byte miss ratio 0.4878
result/w46.oracleGeneral.bin.zst B-LRU cache size   918766, 11550125 req, miss ratio 0.4849, byte miss ratio 0.4849
result/w46.oracleGeneral.bin.zst B-LRU cache size  1837532, 11550125 req, miss ratio 0.4849, byte miss ratio 0.4849
result/w46.oracleGeneral.bin.zst B-LRU cache size  3675065, 11550125 req, miss ratio 0.4849, byte miss ratio 0.4849
result/w46.oracleGeneral.bin.zst S3FIFO-d cache size     4593, 11550125 req, miss ratio 0.6290, byte miss ratio 0.6290
result/w46.oracleGeneral.bin.zst S3FIFO-d cache size    13781, 11550125 req, miss ratio 0.5888, byte miss ratio 0.5888
result/w46.oracleGeneral.bin.zst S3FIFO-d cache size    45938, 11550125 req, miss ratio 0.5507, byte miss ratio 0.5507
result/w46.oracleGeneral.bin.zst S3FIFO-d cache size   137814, 11550125 req, miss ratio 0.5113, byte miss ratio 0.5113
result/w46.oracleGeneral.bin.zst S3FIFO-d cache size   459383, 11550125 req, miss ratio 0.4552, byte miss ratio 0.4552
result/w46.oracleGeneral.bin.zst S3FIFO-d cache size   918766, 11550125 req, miss ratio 0.4274, byte miss ratio 0.4274
result/w46.oracleGeneral.bin.zst S3FIFO-d cache size  1837532, 11550125 req, miss ratio 0.4066, byte miss ratio 0.4066
result/w46.oracleGeneral.bin.zst S3FIFO-d cache size  3675065, 11550125 req, miss ratio 0.3984, byte miss ratio 0.3984
result/w46.oracleGeneral.bin.zst S3FIFO cache size     4593, 11550125 req, miss ratio 0.6281, byte miss ratio 0.6281
result/w46.oracleGeneral.bin.zst S3FIFO cache size    13781, 11550125 req, miss ratio 0.5895, byte miss ratio 0.5895
result/w46.oracleGeneral.bin.zst S3FIFO cache size    45938, 11550125 req, miss ratio 0.5508, byte miss ratio 0.5508
result/w46.oracleGeneral.bin.zst S3FIFO cache size   137814, 11550125 req, miss ratio 0.5146, byte miss ratio 0.5146
result/w46.oracleGeneral.bin.zst S3FIFO cache size   459383, 11550125 req, miss ratio 0.4551, byte miss ratio 0.4551
result/w46.oracleGeneral.bin.zst S3FIFO cache size   918766, 11550125 req, miss ratio 0.4274, byte miss ratio 0.4274
result/w46.oracleGeneral.bin.zst S3FIFO cache size  1837532, 11550125 req, miss ratio 0.4066, byte miss ratio 0.4066
result/w46.oracleGeneral.bin.zst S3FIFO cache size  3675065, 11550125 req, miss ratio 0.3984, byte miss ratio 0.3984
result/w46.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     4593, 11550125 req, miss ratio 0.6363, byte miss ratio 0.6363
result/w46.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    13781, 11550125 req, miss ratio 0.6073, byte miss ratio 0.6073
result/w46.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    45938, 11550125 req, miss ratio 0.5742, byte miss ratio 0.5742
result/w46.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   137814, 11550125 req, miss ratio 0.5486, byte miss ratio 0.5486
result/w46.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   459383, 11550125 req, miss ratio 0.5262, byte miss ratio 0.5262
result/w46.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   918766, 11550125 req, miss ratio 0.4841, byte miss ratio 0.4841
result/w46.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size  1837532, 11550125 req, miss ratio 0.4593, byte miss ratio 0.4593
result/w46.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size  3675065, 11550125 req, miss ratio 0.4040, byte miss ratio 0.4040
result/w46.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     4593, 11550125 req, miss ratio 0.6372, byte miss ratio 0.6372
result/w46.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    13781, 11550125 req, miss ratio 0.6080, byte miss ratio 0.6080
result/w46.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    45938, 11550125 req, miss ratio 0.5803, byte miss ratio 0.5803
result/w46.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   137814, 11550125 req, miss ratio 0.5448, byte miss ratio 0.5448
result/w46.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   459383, 11550125 req, miss ratio 0.5103, byte miss ratio 0.5103
result/w46.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   918766, 11550125 req, miss ratio 0.4771, byte miss ratio 0.4771
result/w46.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size  1837532, 11550125 req, miss ratio 0.4371, byte miss ratio 0.4371
result/w46.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size  3675065, 11550125 req, miss ratio 0.4043, byte miss ratio 0.4043
