result/io_traces.ns436.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      166, 2000000 req, miss ratio 0.4736, byte miss ratio 0.4736
result/io_traces.ns436.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      499, 2000000 req, miss ratio 0.4586, byte miss ratio 0.4586
result/io_traces.ns436.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1664, 2000000 req, miss ratio 0.4523, byte miss ratio 0.4523
result/io_traces.ns436.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4994, 2000000 req, miss ratio 0.4455, byte miss ratio 0.4455
result/io_traces.ns436.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    16647, 2000000 req, miss ratio 0.3866, byte miss ratio 0.3866
result/io_traces.ns436.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    33294, 2000000 req, miss ratio 0.2688, byte miss ratio 0.2688
result/io_traces.ns436.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    66588, 2000000 req, miss ratio 0.1028, byte miss ratio 0.1028
result/io_traces.ns436.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   133176, 2000000 req, miss ratio 0.0921, byte miss ratio 0.0921
result/io_traces.ns436.oracleGeneral.zst S4LRU(25:25:25:25) cache size      166, 2000000 req, miss ratio 0.4635, byte miss ratio 0.4635
result/io_traces.ns436.oracleGeneral.zst S4LRU(25:25:25:25) cache size      499, 2000000 req, miss ratio 0.4587, byte miss ratio 0.4587
result/io_traces.ns436.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1664, 2000000 req, miss ratio 0.4504, byte miss ratio 0.4504
result/io_traces.ns436.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4994, 2000000 req, miss ratio 0.4445, byte miss ratio 0.4445
result/io_traces.ns436.oracleGeneral.zst S4LRU(25:25:25:25) cache size    16647, 2000000 req, miss ratio 0.4055, byte miss ratio 0.4055
result/io_traces.ns436.oracleGeneral.zst S4LRU(25:25:25:25) cache size    33294, 2000000 req, miss ratio 0.2355, byte miss ratio 0.2355
result/io_traces.ns436.oracleGeneral.zst S4LRU(25:25:25:25) cache size    66588, 2000000 req, miss ratio 0.0879, byte miss ratio 0.0879
result/io_traces.ns436.oracleGeneral.zst S4LRU(25:25:25:25) cache size   133176, 2000000 req, miss ratio 0.0833, byte miss ratio 0.0833
result/io_traces.ns436.oracleGeneral.zst TwoQ cache size      166, 2000000 req, miss ratio 0.4610, byte miss ratio 0.4610
result/io_traces.ns436.oracleGeneral.zst TwoQ cache size      499, 2000000 req, miss ratio 0.4531, byte miss ratio 0.4531
result/io_traces.ns436.oracleGeneral.zst TwoQ cache size     1664, 2000000 req, miss ratio 0.4500, byte miss ratio 0.4500
result/io_traces.ns436.oracleGeneral.zst TwoQ cache size     4994, 2000000 req, miss ratio 0.4310, byte miss ratio 0.4310
result/io_traces.ns436.oracleGeneral.zst TwoQ cache size    16647, 2000000 req, miss ratio 0.3038, byte miss ratio 0.3038
result/io_traces.ns436.oracleGeneral.zst TwoQ cache size    33294, 2000000 req, miss ratio 0.2119, byte miss ratio 0.2119
result/io_traces.ns436.oracleGeneral.zst TwoQ cache size    66588, 2000000 req, miss ratio 0.1013, byte miss ratio 0.1013
result/io_traces.ns436.oracleGeneral.zst TwoQ cache size   133176, 2000000 req, miss ratio 0.0987, byte miss ratio 0.0987
result/io_traces.ns436.oracleGeneral.zst B-LRU cache size      166, 2000000 req, miss ratio 0.5270, byte miss ratio 0.5270
result/io_traces.ns436.oracleGeneral.zst B-LRU cache size      499, 2000000 req, miss ratio 0.5111, byte miss ratio 0.5111
result/io_traces.ns436.oracleGeneral.zst B-LRU cache size     1664, 2000000 req, miss ratio 0.5054, byte miss ratio 0.5054
result/io_traces.ns436.oracleGeneral.zst B-LRU cache size     4994, 2000000 req, miss ratio 0.5024, byte miss ratio 0.5024
result/io_traces.ns436.oracleGeneral.zst B-LRU cache size    16647, 2000000 req, miss ratio 0.3984, byte miss ratio 0.3984
result/io_traces.ns436.oracleGeneral.zst B-LRU cache size    33294, 2000000 req, miss ratio 0.2809, byte miss ratio 0.2809
result/io_traces.ns436.oracleGeneral.zst B-LRU cache size    66588, 2000000 req, miss ratio 0.1620, byte miss ratio 0.1620
result/io_traces.ns436.oracleGeneral.zst B-LRU cache size   133176, 2000000 req, miss ratio 0.1606, byte miss ratio 0.1606
result/io_traces.ns436.oracleGeneral.zst S3FIFO-d cache size      166, 2000000 req, miss ratio 0.4583, byte miss ratio 0.4583
result/io_traces.ns436.oracleGeneral.zst S3FIFO-d cache size      499, 2000000 req, miss ratio 0.4539, byte miss ratio 0.4539
result/io_traces.ns436.oracleGeneral.zst S3FIFO-d cache size     1664, 2000000 req, miss ratio 0.4500, byte miss ratio 0.4500
result/io_traces.ns436.oracleGeneral.zst S3FIFO-d cache size     4994, 2000000 req, miss ratio 0.4373, byte miss ratio 0.4373
result/io_traces.ns436.oracleGeneral.zst S3FIFO-d cache size    16647, 2000000 req, miss ratio 0.3186, byte miss ratio 0.3186
result/io_traces.ns436.oracleGeneral.zst S3FIFO-d cache size    33294, 2000000 req, miss ratio 0.2126, byte miss ratio 0.2126
result/io_traces.ns436.oracleGeneral.zst S3FIFO-d cache size    66588, 2000000 req, miss ratio 0.0941, byte miss ratio 0.0941
result/io_traces.ns436.oracleGeneral.zst S3FIFO-d cache size   133176, 2000000 req, miss ratio 0.0833, byte miss ratio 0.0833
result/io_traces.ns436.oracleGeneral.zst S3FIFO cache size      166, 2000000 req, miss ratio 0.4617, byte miss ratio 0.4617
result/io_traces.ns436.oracleGeneral.zst S3FIFO cache size      499, 2000000 req, miss ratio 0.4542, byte miss ratio 0.4542
result/io_traces.ns436.oracleGeneral.zst S3FIFO cache size     1664, 2000000 req, miss ratio 0.4503, byte miss ratio 0.4503
result/io_traces.ns436.oracleGeneral.zst S3FIFO cache size     4994, 2000000 req, miss ratio 0.4373, byte miss ratio 0.4373
result/io_traces.ns436.oracleGeneral.zst S3FIFO cache size    16647, 2000000 req, miss ratio 0.3252, byte miss ratio 0.3252
result/io_traces.ns436.oracleGeneral.zst S3FIFO cache size    33294, 2000000 req, miss ratio 0.2106, byte miss ratio 0.2106
result/io_traces.ns436.oracleGeneral.zst S3FIFO cache size    66588, 2000000 req, miss ratio 0.0996, byte miss ratio 0.0996
result/io_traces.ns436.oracleGeneral.zst S3FIFO cache size   133176, 2000000 req, miss ratio 0.0833, byte miss ratio 0.0833
result/io_traces.ns436.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      166, 2000000 req, miss ratio 0.5749, byte miss ratio 0.5749
result/io_traces.ns436.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      499, 2000000 req, miss ratio 0.5027, byte miss ratio 0.5027
result/io_traces.ns436.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1664, 2000000 req, miss ratio 0.4401, byte miss ratio 0.4401
result/io_traces.ns436.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4994, 2000000 req, miss ratio 0.4090, byte miss ratio 0.4090
result/io_traces.ns436.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    16647, 2000000 req, miss ratio 0.2892, byte miss ratio 0.2892
result/io_traces.ns436.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    33294, 2000000 req, miss ratio 0.1513, byte miss ratio 0.1513
result/io_traces.ns436.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    66588, 2000000 req, miss ratio 0.1062, byte miss ratio 0.1062
result/io_traces.ns436.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   133176, 2000000 req, miss ratio 0.0914, byte miss ratio 0.0914
result/io_traces.ns436.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      166, 2000000 req, miss ratio 0.4608, byte miss ratio 0.4608
result/io_traces.ns436.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      499, 2000000 req, miss ratio 0.4519, byte miss ratio 0.4519
result/io_traces.ns436.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1664, 2000000 req, miss ratio 0.4378, byte miss ratio 0.4378
result/io_traces.ns436.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4994, 2000000 req, miss ratio 0.4039, byte miss ratio 0.4039
result/io_traces.ns436.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    16647, 2000000 req, miss ratio 0.2992, byte miss ratio 0.2992
result/io_traces.ns436.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    33294, 2000000 req, miss ratio 0.1709, byte miss ratio 0.1709
result/io_traces.ns436.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    66588, 2000000 req, miss ratio 0.1136, byte miss ratio 0.1136
result/io_traces.ns436.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   133176, 2000000 req, miss ratio 0.0989, byte miss ratio 0.0989
