result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO cache size  1625277, 9980890 req, miss ratio 0.5190, byte miss ratio 0.5190
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO cache size  3250554, 9980890 req, miss ratio 0.4223, byte miss ratio 0.4223
result/tencentBlock.ns5732.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4063, 9980890 req, miss ratio 0.9925, byte miss ratio 0.9925
result/tencentBlock.ns5732.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    12189, 9980890 req, miss ratio 0.9854, byte miss ratio 0.9854
result/tencentBlock.ns5732.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    40631, 9980890 req, miss ratio 0.9697, byte miss ratio 0.9697
result/tencentBlock.ns5732.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   121895, 9980890 req, miss ratio 0.9410, byte miss ratio 0.9410
result/tencentBlock.ns5732.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   406319, 9980890 req, miss ratio 0.8494, byte miss ratio 0.8494
result/tencentBlock.ns5732.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   812638, 9980890 req, miss ratio 0.7710, byte miss ratio 0.7710
result/tencentBlock.ns5732.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1625277, 9980890 req, miss ratio 0.6319, byte miss ratio 0.6319
result/tencentBlock.ns5732.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  3250554, 9980890 req, miss ratio 0.4376, byte miss ratio 0.4376
result/tencentBlock.ns5732.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4063, 9980890 req, miss ratio 0.9926, byte miss ratio 0.9926
result/tencentBlock.ns5732.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    12189, 9980890 req, miss ratio 0.9864, byte miss ratio 0.9864
result/tencentBlock.ns5732.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    40631, 9980890 req, miss ratio 0.9696, byte miss ratio 0.9696
result/tencentBlock.ns5732.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   121895, 9980890 req, miss ratio 0.9452, byte miss ratio 0.9452
result/tencentBlock.ns5732.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   406319, 9980890 req, miss ratio 0.8493, byte miss ratio 0.8493
result/tencentBlock.ns5732.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   812638, 9980890 req, miss ratio 0.7294, byte miss ratio 0.7294
result/tencentBlock.ns5732.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1625277, 9980890 req, miss ratio 0.5599, byte miss ratio 0.5599
result/tencentBlock.ns5732.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  3250554, 9980890 req, miss ratio 0.4234, byte miss ratio 0.4234
