result/cdn2_allcolo.ns1457.oracleGeneral.zst LRB cache size     5462, 8539974 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_allcolo.ns1457.oracleGeneral.zst LRB cache size    10924, 8539974 req, miss ratio 0.0066, byte miss ratio 0.0066
result/cdn2_allcolo.ns1457.oracleGeneral.zst LRB cache size    21849, 8539974 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns1457.oracleGeneral.zst LRB cache size    43699, 8539974 req, miss ratio 0.0064, byte miss ratio 0.0064
result/cdn2_allcolo.ns1457.oracleGeneral.zst TwoQ cache size       54, 8539974 req, miss ratio 0.1091, byte miss ratio 0.1091
result/cdn2_allcolo.ns1457.oracleGeneral.zst TwoQ cache size      163, 8539974 req, miss ratio 0.0406, byte miss ratio 0.0406
result/cdn2_allcolo.ns1457.oracleGeneral.zst TwoQ cache size      546, 8539974 req, miss ratio 0.0092, byte miss ratio 0.0092
result/cdn2_allcolo.ns1457.oracleGeneral.zst TwoQ cache size     1638, 8539974 req, miss ratio 0.0070, byte miss ratio 0.0070
result/cdn2_allcolo.ns1457.oracleGeneral.zst TwoQ cache size     5462, 8539974 req, miss ratio 0.0068, byte miss ratio 0.0068
result/cdn2_allcolo.ns1457.oracleGeneral.zst TwoQ cache size    10924, 8539974 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_allcolo.ns1457.oracleGeneral.zst TwoQ cache size    21849, 8539974 req, miss ratio 0.0066, byte miss ratio 0.0066
result/cdn2_allcolo.ns1457.oracleGeneral.zst TwoQ cache size    43699, 8539974 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns1457.oracleGeneral.zst B-LRU cache size       54, 8539974 req, miss ratio 0.1247, byte miss ratio 0.1247
result/cdn2_allcolo.ns1457.oracleGeneral.zst B-LRU cache size      163, 8539974 req, miss ratio 0.0421, byte miss ratio 0.0421
result/cdn2_allcolo.ns1457.oracleGeneral.zst B-LRU cache size      546, 8539974 req, miss ratio 0.0125, byte miss ratio 0.0125
result/cdn2_allcolo.ns1457.oracleGeneral.zst B-LRU cache size     1638, 8539974 req, miss ratio 0.0098, byte miss ratio 0.0098
result/cdn2_allcolo.ns1457.oracleGeneral.zst B-LRU cache size     5462, 8539974 req, miss ratio 0.0094, byte miss ratio 0.0094
result/cdn2_allcolo.ns1457.oracleGeneral.zst B-LRU cache size    10924, 8539974 req, miss ratio 0.0094, byte miss ratio 0.0094
result/cdn2_allcolo.ns1457.oracleGeneral.zst B-LRU cache size    21849, 8539974 req, miss ratio 0.0093, byte miss ratio 0.0093
result/cdn2_allcolo.ns1457.oracleGeneral.zst B-LRU cache size    43699, 8539974 req, miss ratio 0.0093, byte miss ratio 0.0093
result/cdn2_allcolo.ns1457.oracleGeneral.zst S4LRU(25:25:25:25) cache size       54, 8539974 req, miss ratio 0.0973, byte miss ratio 0.0973
result/cdn2_allcolo.ns1457.oracleGeneral.zst S4LRU(25:25:25:25) cache size      163, 8539974 req, miss ratio 0.0380, byte miss ratio 0.0380
result/cdn2_allcolo.ns1457.oracleGeneral.zst S4LRU(25:25:25:25) cache size      546, 8539974 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns1457.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1638, 8539974 req, miss ratio 0.0074, byte miss ratio 0.0074
result/cdn2_allcolo.ns1457.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5462, 8539974 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_allcolo.ns1457.oracleGeneral.zst S4LRU(25:25:25:25) cache size    10924, 8539974 req, miss ratio 0.0066, byte miss ratio 0.0066
result/cdn2_allcolo.ns1457.oracleGeneral.zst S4LRU(25:25:25:25) cache size    21849, 8539974 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns1457.oracleGeneral.zst S4LRU(25:25:25:25) cache size    43699, 8539974 req, miss ratio 0.0064, byte miss ratio 0.0064
result/cdn2_allcolo.ns1457.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       54, 8539974 req, miss ratio 0.1771, byte miss ratio 0.1771
result/cdn2_allcolo.ns1457.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      163, 8539974 req, miss ratio 0.0466, byte miss ratio 0.0466
result/cdn2_allcolo.ns1457.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      546, 8539974 req, miss ratio 0.0139, byte miss ratio 0.0139
result/cdn2_allcolo.ns1457.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1638, 8539974 req, miss ratio 0.0083, byte miss ratio 0.0083
result/cdn2_allcolo.ns1457.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5462, 8539974 req, miss ratio 0.0070, byte miss ratio 0.0070
result/cdn2_allcolo.ns1457.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    10924, 8539974 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_allcolo.ns1457.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    21849, 8539974 req, miss ratio 0.0066, byte miss ratio 0.0066
result/cdn2_allcolo.ns1457.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    43699, 8539974 req, miss ratio 0.0064, byte miss ratio 0.0064
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-d cache size       54, 8539974 req, miss ratio 0.1099, byte miss ratio 0.1099
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-d cache size      163, 8539974 req, miss ratio 0.0410, byte miss ratio 0.0410
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-d cache size      546, 8539974 req, miss ratio 0.0093, byte miss ratio 0.0093
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-d cache size     1638, 8539974 req, miss ratio 0.0070, byte miss ratio 0.0070
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-d cache size     5462, 8539974 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-d cache size    10924, 8539974 req, miss ratio 0.0066, byte miss ratio 0.0066
